case	source_log	evidence
b526_current_card_current	/tmp/fuelsim-b544-initial-density-ctest.log	[FAIL] b526_friction_reversal_reaction_heat_flux sample time_s=0.28 node=1
b526_current_card_current	/tmp/fuelsim-b544-initial-density-ctest.log	[FAIL] b526_friction_reversal_reaction_heat_flux sample time_s=0.28 node=4
b526_current_card_current	/tmp/fuelsim-b544-initial-density-ctest.log	[FAIL] b526_friction_reversal_reaction_heat_flux sample time_s=0.28 node=7
b526_current_card_current	/tmp/fuelsim-b544-initial-density-ctest.log	[FAIL] b526_friction_reversal_reaction_heat_flux sample time_s=0.28 node=10
b526_current_card_current	/tmp/fuelsim-b544-initial-density-ctest.log	[FAIL] b526_friction_reversal_reaction_heat_flux sample time_s=0.3 node=1
b526_current_card_current	/tmp/fuelsim-b544-initial-density-ctest.log	[FAIL] b526_friction_reversal_reaction_heat_flux sample time_s=0.3 node=4
b526_current_card_current	/tmp/fuelsim-b544-initial-density-ctest.log	[FAIL] b526_friction_reversal_reaction_heat_flux sample time_s=0.3 node=7
b526_current_card_current	/tmp/fuelsim-b544-initial-density-ctest.log	[FAIL] b526_friction_reversal_reaction_heat_flux sample time_s=0.3 node=10
b526_current_card_current	/tmp/fuelsim-b544-initial-density-ctest.log	[FAIL] b526_friction_reversal_reaction_heat_flux sample time_s=0.32 node=1
b526_current_card_current	/tmp/fuelsim-b544-initial-density-ctest.log	[FAIL] b526_friction_reversal_reaction_heat_flux sample time_s=0.32 node=4
b526_current_card_current	/tmp/fuelsim-b544-initial-density-ctest.log	[FAIL] b526_friction_reversal_reaction_heat_flux sample time_s=0.32 node=7
b526_current_card_current	/tmp/fuelsim-b544-initial-density-ctest.log	[FAIL] b526_friction_reversal_reaction_heat_flux sample time_s=0.32 node=10
b526_current_card_current	/tmp/fuelsim-b544-initial-density-ctest.log	[FAIL] b526_friction_reversal_reaction_heat_flux sample time_s=0.34 node=1
b526_current_card_current	/tmp/fuelsim-b544-initial-density-ctest.log	[FAIL] b526_friction_reversal_reaction_heat_flux sample time_s=0.34 node=4
