case	increment	time_s	field	relative_l2_percent	relative_peak_percent	max_pointwise_relative_percent	max_absolute_difference	max_relative_node_or_element	zero_reference_count	maximum_zero_reference_error
b544_initial_density_current	2	200000.0	stress_tensor	0.07340020249180575	0.07175134937567414	0.11260775857212181	201.75156537690174	8	0	0.0
b544_initial_density_current	3	300000.0	temperature	0.0030267578983613013	0.0	0.006790183237403335	0.024362723224101046	4	0	0.0
b544_initial_density_current	3	300000.0	displacement_vector	0.0839504008754584	0.07660029200811289	0.6400592437418428	5.8550703125445576e-05	2	6	0.0
b544_initial_density_current	3	300000.0	stress_tensor	0.05037010592903438	0.05170786422865136	0.07193176665355855	145.44922225111668	8	0	0.0
b544_initial_density_current	4	400000.0	temperature	0.004196616327517263	0.0	0.008770849191819396	0.03367947826870932	4	0	0.0
b544_initial_density_current	4	400000.0	displacement_vector	0.08320750016878743	0.07649110803740114	0.6414909070498881	5.871238131822812e-05	2	6	0.0
b544_initial_density_current	4	400000.0	stress_tensor	0.05036861491564494	0.05168886030097237	0.07245412847922635	145.52614326296367	8	0	0.0
b544_initial_density_current	5	500000.0	temperature	0.00558677660531411	0.0	0.011044669763514373	0.04530484667361634	4	0	0.0
b544_initial_density_current	5	500000.0	displacement_vector	0.08239473984130394	0.0763832644114617	0.6429842870050422	5.888533583098688e-05	2	6	0.0
b544_initial_density_current	5	500000.0	stress_tensor	0.050366113864533296	0.05167233371153701	0.07303342393112497	145.6095423263011	8	0	0.0
b544_initial_density_current	6	600000.0	temperature	0.007096955798505564	0.0	0.013387219239481338	0.058517512342007194	4	0	0.0
b544_initial_density_current	6	600000.0	displacement_vector	0.08153539129138478	0.0762752622703938	0.6445204566737996	5.906882911641462e-05	2	6	0.0
b544_initial_density_current	6	600000.0	stress_tensor	0.05036323694644149	0.0516578911670348	0.073664073833586	145.69842260445046	8	0	0.0
b544_initial_density_current	7	700000.0	temperature	0.006665817311673214	0.0	0.012302272633931414	0.057157542323409416	4	0	0.0
b544_initial_density_current	7	700000.0	displacement_vector	0.0805913004443264	0.07612385352149663	0.6462282464056575	5.9229819936182764e-05	2	6	0.0
b544_initial_density_current	7	700000.0	stress_tensor	0.05035128830983232	0.05163220587190071	0.07426367727914741	145.75513868152973	8	0	0.0
b544_initial_density_current	8	800000.0	temperature	0.007721856335152107	0.0	0.013998301250041527	0.06895016560559952	4	0	0.0
b544_initial_density_current	8	800000.0	displacement_vector	0.07966363496231064	0.07599021902842548	0.6479280806335315	5.941639504361466e-05	2	6	0.0
b544_initial_density_current	8	800000.0	stress_tensor	0.05034773037619281	0.05162047051267746	0.07498123447780483	145.8509709483934	8	0	0.0
b544_initial_density_current	9	900000.0	temperature	0.009275632799698291	0.0	0.01632321367907696	0.08503026990479157	4	0	0.0
b544_initial_density_current	9	900000.0	displacement_vector	0.07872843848843405	0.07586489594943797	0.6496061832998244	5.962215567910112e-05	2	6	0.0
b544_initial_density_current	9	900000.0	stress_tensor	0.05034697354565514	0.051613254873024	0.07573121007480978	145.95925181438582	8	0	0.0
b544_initial_density_current	10	1000000.0	temperature	0.011024911946239474	0.0	0.01887325196874514	0.10324700612920878	24	0	0.0
b544_initial_density_current	10	1000000.0	displacement_vector	0.07779412685108948	0.07574235951693815	0.6512826938318339	5.984382288726039e-05	2	6	0.0
b544_initial_density_current	10	1000000.0	stress_tensor	0.05034750266486788	0.05160951972881839	0.07650936062195438	146.07706105445376	8	0	0.0
