time,node,pressure,gap,shear,slip,normal_r,normal_z,tangential_r,tangential_z,heat
1.0,28,716715.149307975,-7.201532051136158e-07,1433.43029861595,0.0001343826181768226,-3.8839805664561093,0.0003578997063633166,-7.157994127266333e-07,-0.007767961132912219,5099.9001915311055
1.0,35,680703.1565699964,-6.837400547316792e-07,1361.406313139993,0.00013434217742696545,-3.6875975454995817,5.5167800036093596e-05,-1.103356000721872e-07,-0.007375195090999164,5224.432498992883
1.0,42,696312.0334079678,-6.999734451854457e-07,1392.6240668159353,0.0001343035436135868,-3.7751507732936536,-0.0003108069050700771,6.216138101401541e-07,-0.007550301546587306,5099.548347398013
1.0,49,777842.1862163587,-7.830506928282007e-07,1555.6843724327173,0.0001342716292705865,-4.223208867934077,-0.0008785318113049176,1.757063622609835e-06,-0.008446417735868154,5224.625942190414
1.0,56,962446.5507146325,-9.69192833097454e-07,1924.8931014292646,0.00013424577278308856,-5.227121618919758,-0.0021692274439574556,4.338454887914911e-06,-0.010454243237839516,5125.229967249652
1.0,63,1283928.2436821675,-1.2912017329683714e-06,2567.8564873643354,0.00013420515305208154,-3.48189884459057,-0.00214739047500234,4.2947809500046795e-06,-0.00696379768918114,5484.347939408053
1.0,168,1126374.9334149554,-1.1167002283109054e-06,2252.749866829911,0.00013450870336112643,-12.04528808928684,0.004758657467317714,-9.51731493463543e-06,-0.024090576178573683,0.0
1.0,181,902561.6752045854,-8.927872958898918e-07,1805.1233504091708,0.00013444397543993123,-9.630063840355904,0.0026032606527900915,-5.2065213055801826e-06,-0.019260127680711805,0.0
1.0,194,764817.2634452035,-7.569628612423931e-07,1529.634526890407,0.00013440202887926114,-8.165004197720162,0.0011433972766933611,-2.2867945533867225e-06,-0.016330008395440323,0.0
1.0,207,698997.7194116563,-6.930998983888557e-07,1397.9954388233127,0.00013436216344582977,-7.476152585384894,0.0003515259574152449,-7.030519148304898e-07,-0.014952305170769788,0.0
1.0,220,688731.8641473257,-6.824820925236138e-07,1377.4637282946514,0.0001343220187292066,-7.361628116001877,-0.00027262200070114745,5.45244001402295e-07,-0.014723256232003754,0.0
1.0,233,737314.1312622512,-7.289182557724079e-07,1474.6282625245024,0.00013428619653137324,-7.862515999829246,-0.0011345003394278507,2.269000678855702e-06,-0.015725031999658495,0.0
1.0,246,869902.687483652,-8.57464536525522e-07,1739.805374967304,0.0001342582478116686,-9.249084592573617,-0.0029327520466683205,5.865504093336642e-06,-0.018498169185147233,0.0
1.0,259,1122923.7937467308,-1.1083768151748184e-06,2245.847587493461,0.00013422925286681503,-11.955551202416459,-0.0065248648795820504,1.30497297591641e-05,-0.02391110240483292,0.0
1.4375,13,1348884.5560777402,-1.3538140241478548e-06,2697.7691121554803,0.00021321860726223644,-3.650832963587699,0.0019025924571081584,-3.8051849142163167e-06,-0.007301665927175396,9832.269158532199
1.4375,14,1057635.8188977074,-1.0626001740382291e-06,2115.2716377954143,0.00021312905344486336,-5.731036550359579,0.0022668598803074168,-4.533719760614833e-06,-0.011462073100719157,9538.184136652944
