time,node,pressure,gap,shear,slip,normal_r,normal_z,tangential_r,tangential_z,heat
0.5625,56,881694.5738947472,-8.816945738952886e-07,1763.3891477894945,5.5525458957711165e-05,-14.265319949337547,-0.001614344932201592,3.228689864403184e-06,-0.028530639898675093,1946.3508125086264
0.5625,63,1179307.8084363216,-1.1793078084367177e-06,2358.6156168726434,5.54680677105868e-05,-9.540234687456024,-0.008454905753634103,1.690981150726821e-05,-0.019080469374912052,2061.2122635779997
1.0,13,1259154.18979788,-1.2591541897978046e-06,2518.3083795957605,0.0001345326219505723,-10.186592031415017,0.006148715425792062,-1.2297430851584125e-05,-0.020373184062830042,5511.811306921572
1.0,14,969286.0883634185,-9.69286088364511e-07,1938.5721767268371,0.00013445102217192234,-15.682865048181576,-0.00028513109620641506,5.702621924128301e-07,-0.031365730096363155,5107.374215126129
1.0,21,812006.9741168712,-8.120069741174851e-07,1624.0139482337424,0.00013439355045645788,-13.138081764008781,0.0012709929044342485,-2.541985808868497e-06,-0.026276163528017562,5240.884208263196
1.0,28,716879.1302903999,-7.168791302909042e-07,1433.7582605807997,0.00013437397908664747,-11.598988111624587,-0.0007382794035522586,1.476558807104517e-06,-0.023197976223249175,5075.058907809762
1.0,35,683384.2607311175,-6.833842607313247e-07,1366.7685214622352,0.000134322010047907,-11.0570215349222,0.00015051236422789974,-3.0102472845579947e-07,-0.0221140430698444,5243.018201573705
1.0,42,693399.0754257987,-6.933990754251544e-07,1386.7981508515973,0.00013428731859925475,-11.219096258678196,-0.0029103332136513776,5.8206664273027545e-06,-0.02243819251735639,5074.405326586657
1.0,49,774253.9116940884,-7.742539116939913e-07,1548.5078233881768,0.00013424409201492131,-12.527280520627226,-0.0022350965961833364,4.470193192366674e-06,-0.025054561041254458,5241.401228135146
1.0,56,939022.6410325804,-9.390226410325023e-07,1878.0452820651608,0.00013422954038637172,-15.19323715326507,-0.011565803993710374,2.3131607987420747e-05,-0.03038647430653014,5103.615655513295
1.0,63,1275828.6860463356,-1.2758286860456354e-06,2551.657372092671,0.0001341897015931195,-10.321312155451354,-0.007968126023184263,1.5936252046368526e-05,-0.020642624310902705,5518.278408072547
1.4375,13,1330839.0627612874,-1.330839062761803e-06,2661.6781255225746,0.00021317513161963578,-10.766759152487028,0.007571501951529192,-1.5143003903058385e-05,-0.021533518304974054,9797.264753286981
1.4375,14,1058556.9588160107,-1.05855695881507e-06,2117.1139176320216,0.0002130953017386247,-17.127738022166696,0.0024880007913862393,-4.976001582772478e-06,-0.03425547604433339,9590.719471712873
1.4375,21,865155.4547859022,-8.651554547851018e-07,1730.3109095718044,0.00021304880359856933,-13.998446779760298,0.003210595830707354,-6.421191661414708e-06,-0.0279968935595206,9153.133102753145
1.4375,28,776566.4272565542,-7.765664272557491e-07,1553.1328545131084,0.00021303932121493518,-12.565107191279742,0.000888797084171628,-1.777594168343256e-06,-0.02513021438255948,9535.74627204398
1.4375,35,722889.683559174,-7.228896835593202e-07,1445.7793671183479,0.00021300447609989034,-11.696599148567646,0.0019482954418222297,-3.896590883644459e-06,-0.023393198297135293,9162.415104003685
1.4375,42,760154.4424125778,-7.601544424121588e-07,1520.3088848251555,0.00021297839304272378,-12.299588849479306,-0.002923942046310446,5.847884092620892e-06,-0.024599177698958613,9535.708412935946
1.4375,49,838428.5900370381,-8.384285900375771e-07,1676.857180074076,0.0002129386564862683,-13.56607772854311,-0.002181203538592089,4.362407077184177e-06,-0.027132155457086225,9154.988931016305
1.4375,56,1042388.6638526273,-1.0423886638527123e-06,2084.7773277052543,0.0002129352146635283,-16.8662423163802,-0.008631949198224752,1.7263898396449502e-05,-0.03373248463276041,9587.458908253211
1.4375,63,1350326.2249996243,-1.3503262250002318e-06,2700.652449999249,0.00021291300257981292,-10.924364231709033,-0.005126451355894943,1.0252902711789885e-05,-0.02184872846341807,9807.1625212242
1.5,13,1342319.422016025,-1.3423194220151396e-06,2684.63884403205,0.00022440686621752216,-10.859677679318292,0.0077897804654162815,-1.5579560930832562e-05,-0.021719355358636585,10456.4458299119
1.5,14,1071321.8639153838,-1.0713218639160126e-06,2142.6437278307676,0.00022432897681650557,-17.334357838557434,0.002989651533583591,-5.979303067167182e-06,-0.03466871567711487,10289.099043541682
1.5,21,872544.3723896601,-8.725443723896385e-07,1745.0887447793205,0.00022428281145480918,-14.118072277102376,0.00354905443764081,-7.098108875281621e-06,-0.028236144554204753,9727.493504690756
1.5,28,784980.1505287936,-7.849801505295463e-07,1569.9603010575872,0.00022427659142615382,-12.701307840896172,0.0011531627586358559,-2.306325517271712e-06,-0.025402615681792345,10232.565779072502
1.5,35,728065.7068928251,-7.280657068926322e-07,1456.1314137856502,0.00022424322618145678,-11.78041211037653,0.0022257664477779078,-4.4515328955558155e-06,-0.023560824220753056,9738.586149056573
1.5,42,770876.3981229931,-7.708763981234974e-07,1541.7527962459862,0.0002242192506913299,-12.473140211373892,-0.002902595600291629,5.805191200583259e-06,-0.024946280422747786,10232.618166697193
1.5,49,848717.8497688946,-8.487178497694911e-07,1697.435699537789,0.0002241787664102014,-13.732637571662712,-0.0021514911953437925,4.302982390687585e-06,-0.027465275143325425,9729.60160083494
1.5,56,1055542.6889133016,-1.0555426889131989e-06,2111.0853778266032,0.0002241793211452045,-17.07917152268583,-0.00808192487763481,1.616384975526962e-05,-0.03415834304537166,10287.94552143745
1.5,63,1358288.708445889,-1.358288708445927e-06,2716.577416891778,0.0002241584489521823,-10.988843074393436,-0.004649550457367658,9.299100914735317e-06,-0.02197768614878687,10462.296329826131
1.5625,13,1376543.2167964883,-1.3765432167980523e-06,2753.0864335929764,0.000229383100571926,-11.136604235792936,0.00830769060987057,-1.6615381219741138e-05,-0.02227320847158587,11130.618674900688
1.5625,14,1098320.4950564066,-1.0983204950556857e-06,2196.640990112813,0.00022930601187298984,-17.771288404411486,0.0034630283743351375,-6.926056748670275e-06,-0.03554257680882297,10967.818085843646
1.5625,21,890872.2501128721,-8.908722501120217e-07,1781.7445002257443,0.00022926082068812828,-14.414694886442218,0.003936037135642778,-7.872074271285557e-06,-0.028829389772884437,10336.011002263149
1.5625,28,801304.9989381861,-8.013049989391752e-07,1602.6099978763723,0.00022925734856408741,-12.965516471477784,0.0013553866273076707,-2.7107732546153416e-06,-0.02593103294295557,10908.80605903294
1.5625,35,741140.7569688936,-7.411407569694157e-07,1482.2815139377872,0.00022922584668839968,-11.992035515759497,0.0024486909848625,-4.897381969725e-06,-0.02398407103151899,10348.843414228668
1.5625,42,786641.5078272169,-7.866415078271726e-07,1573.2830156544337,0.0002292037958536659,-12.728295081563237,-0.002934385717660112,5.868771435320225e-06,-0.025456590163126475,10908.849492405807
1.5625,49,864290.1422445822,-8.642901422439481e-07,1728.5802844891643,0.00022916385909877812,-13.984680855316707,-0.0021426543011412312,4.285308602282462e-06,-0.02796936171063341,10338.085868341295
1.5625,56,1073240.1010955255,-1.0732401010955623e-06,2146.480202191052,0.00022916728659105168,-17.365618199371486,-0.007925444173214138,1.5850888346428278e-05,-0.03473123639874298,10966.860252068727
1.5625,63,1374530.4150951465,-1.3745304150950359e-06,2749.0608301902926,0.0002291478874014456,-11.120302878939382,-0.004466961046711966,8.933922093423932e-06,-0.022240605757878763,11132.323230260681
2.25,13,1784614.8972896675,-1.78461489729072e-06,3569.2297945793352,0.0002841522879933957,-14.438692281345787,0.007821814684004856,-1.564362936800971e-05,-0.028877384562691576,17288.089983213922
2.25,14,1384080.8031569303,-1.3840808031564817e-06,2768.1616063138604,0.0002840770715477419,-22.395948965507475,0.012488138940977828,-2.4976277881955655e-05,-0.04479189793101495,16537.954401244406
2.25,21,1104916.836593912,-1.1049168365941492e-06,2209.833673187824,0.0002840281074586029,-17.878784155770596,0.0026891420257248067,-5.378284051449613e-06,-0.03575756831154119,16300.31487262977
2.25,28,985137.8885554436,-9.851378885559252e-07,1970.2757771108872,0.0002840545175962304,-15.940748413444968,0.003345151283028937,-6.690302566057873e-06,-0.031881496826889934,16458.06027941535
2.25,35,922604.1627586783,-9.226041627585768e-07,1845.2083255173566,0.00028402806825349663,-14.928895707140375,-0.0026163557166491245,5.232711433298248e-06,-0.02985779141428075,16324.151474100745
2.25,42,961957.7344830717,-9.619577344818117e-07,1923.9154689661434,0.0002840254348804206,-15.56576230597243,-0.0020017739209695186,4.003547841939037e-06,-0.03113152461194486,16458.570489886824
2.25,49,1049043.9252161249,-1.0490439252165393e-06,2098.08785043225,0.0002839886126546133,-16.974916105210546,-0.005262790882285197,1.0525581764570395e-05,-0.0339498322104211,16299.414187879393
2.25,56,1272409.2681954792,-1.272409268195006e-06,2544.8185363909583,0.0002840198152288278,-20.589304300169,-0.006812631909314164,1.3625263818628328e-05,-0.041178608600338,16551.360848794502
2.25,63,1624461.6395499432,-1.624461639549513e-06,3248.9232790998863,0.00028400893663699613,-13.14294163937333,-0.013514822332384746,2.7029644664769492e-05,-0.02628588327874666,17251.86958149743
2.9375,13,2175915.1103333607,-2.175915110332808e-06,4351.830220666721,0.0003389471421284767,-17.605252210136474,0.017907952153119463,-3.5815904306238936e-05,-0.035210504420272945,21177.11194382082
2.9375,14,1627680.8433425082,-1.6276808433419753e-06,3255.361686685017,0.00033886070730019684,-26.338404892667715,0.02851061821541399,-5.702123643082799e-05,-0.052676809785335434,19539.988436667045
2.9375,21,1324561.7773051737,-1.324561777305282e-06,2649.1235546103476,0.0003388129956578821,-21.433452014987683,0.0039015386825068774,-7.803077365013755e-06,-0.042866904029975374,20158.256579662066
2.9375,28,1172154.7816811188,-1.1721547816802184e-06,2344.3095633622374,0.0003388579277631344,-18.96748779291401,0.006274097356819564,-1.2548194713639127e-05,-0.03793497558582803,19441.53835097768
2.9375,35,1118924.532452478,-1.1189245324522466e-06,2237.849064904957,0.0003388283909018583,-18.106141516156214,-0.0010265442517977384,2.0530885035954766e-06,-0.03621228303231243,20183.759446590557
2.9375,42,1144465.1454433776,-1.1444651454435207e-06,2288.9302908867553,0.00033883019853772097,-18.51958045409628,0.0007966618297688303,-1.5933236595376607e-06,-0.03703916090819256,19442.920773673904
2.9375,49,1255342.0875360698,-1.2553420875362597e-06,2510.6841750721396,0.0003387937246812945,-20.31372956516737,-0.004864936011872557,9.729872023745112e-06,-0.04062745913033474,20159.265442393007
2.9375,56,1487761.8322443722,-1.4877618322431071e-06,2975.523664488744,0.00033883793011486895,-24.07480831295675,-0.003754673631094126,7.509347262188253e-06,-0.04814961662591351,19550.696445350695
2.9375,63,1938796.3238764924,-1.9387963238762364e-06,3877.592647752985,0.00033882978131941077,-15.68660317975286,-0.01817584707352577,3.6351694147051537e-05,-0.03137320635950572,21143.41891214508
3.0,13,2210026.7210360537,-2.2100267210348023e-06,4420.053442072108,0.00034392917366991746,-17.881307508234844,0.01910866175979826,-3.8217323519596526e-05,-0.03576261501646969,21438.973394872846
3.0,14,1647243.145134228,-1.647243145134503e-06,3294.4862902684567,0.0003438407302680385,-26.65500757395185,0.03033967223785662,-6.0679344475713247e-05,-0.0533100151479037,19711.941225653845
3.0,21,1344803.5598974964,-1.344803559896597e-06,2689.6071197949927,0.00034379406419446455,-21.7610347191436,0.004061931498025167,-8.123862996050335e-06,-0.043522069438287195,20415.904375306127
3.0,28,1188900.4002470297,-1.1889004002474994e-06,2377.80080049406,0.00034383977223410704,-19.238502925022928,0.0066226512747024424,-1.3245302549404882e-05,-0.03847700585004585,19611.933330768352
3.0,35,1136601.8892270694,-1.1366018892266957e-06,2273.203778454139,0.00034381011952129374,-18.392229346390828,-0.0007852152262984867,1.5704304525969735e-06,-0.036784458692781644,20441.4636676147
3.0,42,1160474.2359235655,-1.1604742359237874e-06,2320.948471847131,0.00034381139249361754,-18.778681564703977,0.0011704245165516847,-2.3408490331033693e-06,-0.03755736312940795,19613.45087634436
3.0,49,1273985.2698781746,-1.2739852698783508e-06,2547.9705397563494,0.00034377517649699627,-20.615455152598905,-0.004726532229612207,9.453064459224414e-06,-0.041230910305197814,20417.02201217913
3.0,56,1505895.1539473818,-1.5058951539469157e-06,3011.7903078947634,0.00034381950223754857,-24.368298858795864,-0.003284383231262186,6.568766462524373e-06,-0.048736597717591715,19721.133613903476
3.0,63,1967013.4206187644,-1.967013420618139e-06,3934.026841237529,0.0003438117770560168,-15.914939285650833,-0.01859088814159959,3.718177628319918e-05,-0.03182987857130167,21408.098870510457
3.0625,13,2198779.2164164768,-2.1987792164160397e-06,4397.558432832952,0.00034892536224998645,-17.79035141873257,0.019438981726975224,-3.8877963453950444e-05,-0.035580702837465145,21702.625025079215
3.0625,14,1633618.748264305,-1.6336187482646175e-06,3267.2374965286103,0.00034883624496582767,-26.434595362997225,0.030643868936445738,-6.128773787289147e-05,-0.052869190725994455,19882.913590444332
3.0625,21,1336909.6527801484,-1.3369096527798405e-06,2673.819305560297,0.0003487915745123476,-21.63333936777085,0.0040881839865350945,-8.17636797307019e-06,-0.04326667873554171,20673.903519191754
3.0625,28,1180559.3987017507,-1.180559398701417e-06,2361.1187974035015,0.00034883806217534123,-19.10357125466764,0.006610214339186652,-1.3220428678373307e-05,-0.03820714250933528,19781.280640026125
3.0625,35,1129666.4535531595,-1.12966645355253e-06,2259.3329071063185,0.0003488099668241852,-18.280039740562486,-0.0005148979823236968,1.0297959646473937e-06,-0.03656007948112498,20699.536471622196
3.0625,42,1152179.1262280347,-1.1521791262281323e-06,2304.3582524560693,0.0003488114270696328,-18.6444934809624,0.0013837563988103232,-2.7675127976206464e-06,-0.03728898696192479,19782.903098215684
3.0625,49,1267058.2678954692,-1.2670582678957386e-06,2534.1165357909385,0.00034877701545535275,-20.503408792714087,-0.004482403995595997,8.964807991191995e-06,-0.04100681758542818,20675.12839104984
3.0625,56,1496829.6609736388,-1.4968296609736705e-06,2993.6593219472775,0.0003488215552834207,-24.221658940652784,-0.002971455311264554,5.942910622529108e-06,-0.04844331788130557,19890.28045078703
3.0625,63,1961563.9337250781,-1.9615639337263955e-06,3923.127867450157,0.00034881587217717915,-15.870883784172513,-0.01835825670231912,3.6716513404638246e-05,-0.03174176756834503,21675.03814202064
3.75,13,2074729.638998252,-2.074729638999207e-06,4149.459277996504,0.0004038763126018221,-16.78698825172802,0.019585125662830934,-3.917025132566187e-05,-0.03357397650345604,25262.45337291266
3.75,14,1550854.8495134087,-1.5508548495135737e-06,3101.7096990268174,0.000403783016438729,-25.09596912182496,0.0059223754618184365,-1.1844750923636874e-05,-0.05019193824364992,23887.089325328816
3.75,21,1254083.3027405895,-1.2540833027399923e-06,2508.1666054811794,0.0004037595529917364,-20.293612996329518,0.005817529559332851,-1.16350591186657e-05,-0.040587225992659036,24000.446277723313
