step,frame,time,element,point,r,z,s_rr,s_zz,s_hoop,s_rz,ee_rr,ee_zz,ee_hoop,ee_rz,pe_rr,pe_zz,pe_hoop,pe_rz,peeq,ce_rr,ce_zz,ce_hoop,ce_rz,ceeq
RELAX_FAST,1,0.15000000223517418,1,4,0.0047886751345948154,0.0079656188594076308,5753466.117234176,13368689.656078912,5753466.117234176,-1.1286249757665333e-24,1.6819385240249192e-05,0.0099166099857384074,1.6819385240249192e-05,-1.4672124684964933e-33,nan,nan,nan,nan,nan,-1.6819385240249192e-05,3.3638770480498391e-05,-1.6819385240249192e-05,-7.4782223380657342e-36,3.363877048049839e-05
RELAX_FAST,2,0.20000000298023224,1,1,0.0042113248654051857,0.0021343811405923688,5745874.7895354703,13383872.31147632,5745874.7895354703,-4.2246823581469471e-24,6.9506592319344351e-06,0.009936347437755037,6.9506592319344351e-06,-5.4920870655910311e-33,nan,nan,nan,nan,nan,-6.9506592319344351e-06,1.3901318463868874e-05,-6.9506592319344351e-06,-1.1533518052457947e-35,1.3901318463868874e-05
RELAX_FAST,2,0.20000000298023224,1,2,0.0047886751345948145,0.0021343811405923688,5752287.7826980762,13371046.325151108,5752287.7826980762,-4.2140410117734438e-24,1.5287550343323361e-05,0.0099196736555322573,1.5287550343323361e-05,-5.4782533153054744e-33,nan,nan,nan,nan,nan,-1.5287550343323361e-05,3.0575100686646728e-05,-1.5287550343323361e-05,-2.5367268338014659e-35,3.057510068664672e-05
RELAX_FAST,2,0.20000000298023224,1,3,0.0042113248654051857,0.0079656188594076308,5796155.7283237949,13283310.433899667,5796155.7283237949,-1.1096443531876661e-24,7.231587965675617e-05,0.0098056169969053929,7.231587965675617e-05,-1.442537659143966e-33,nan,nan,nan,nan,nan,-7.231587965675617e-05,0.00014463175931351234,-7.231587965675617e-05,-3.2153031690593138e-35,0.00014463175931351234
RELAX_FAST,2,0.20000000298023224,1,4,0.0047886751345948154,0.0079656188594076308,5766254.6781939138,13343112.534159431,5766254.6781939138,-1.1229389354698896e-24,3.344451448791096e-05,0.009883359727243083,3.344451448791096e-05,-1.4598206161108565e-33,nan,nan,nan,nan,nan,-3.344451448791096e-05,6.6889028975821935e-05,-3.344451448791096e-05,-1.4870074723703361e-35,6.688902897582193e-05
RELAX_FAST,3,0.2500000074505806,1,1,0.0042113248654051857,0.0021343811405923688,5748538.8942555832,13378544.102036092,5748538.8942555832,-4.2202616983422069e-24,1.0413995368080249e-05,0.0099294207654827462,1.0413995368080249e-05,-5.4863402078448702e-33,nan,nan,nan,nan,nan,-1.0413995368080249e-05,2.0827990736160506e-05,-1.0413995368080249e-05,-1.7280375798618924e-35,2.0827990736160506e-05
RELAX_FAST,3,0.2500000074505806,1,2,0.0047886751345948145,0.0021343811405923688,5758122.0815201234,13359377.727507006,5758122.0815201234,-4.2043599169963666e-24,2.2872138811985802e-05,0.0099045044785949325,2.2872138811985802e-05,-5.4656678920952735e-33,nan,nan,nan,nan,nan,-2.2872138811985802e-05,4.5744277623971617e-05,-2.2872138811985802e-05,-3.7952691548215258e-35,4.5744277623971603e-05
RELAX_FAST,3,0.2500000074505806,1,3,0.0042113248654051857,0.0079656188594076308,5822924.9106935589,13229772.069160137,5822924.9106935589,-1.0977422595790201e-24,0.00010711581673744798,0.009736017122744009,0.00010711581673744798,-1.4270649374527268e-33,nan,nan,nan,nan,nan,-0.00010711581673744798,0.00021423163347489597,-0.00010711581673744798,-4.7625753381832317e-35,0.000214231633474896
RELAX_FAST,3,0.2500000074505806,1,4,0.0047886751345948154,0.0079656188594076308,5778896.4897457715,13317828.91105571,5778896.4897457715,-1.1173181427839299e-24,4.9878869505328082e-05,0.0098504910172082481,4.9878869505328082e-05,-1.4525135856191089e-33,nan,nan,nan,nan,nan,-4.9878869505328082e-05,9.9757739010656178e-05,-4.9878869505328082e-05,-2.2177105215451027e-35,9.975773901065618e-05
RELAX_FAST,4,0.30000000447034836,1,1,0.0042113248654051857,0.0021343811405923688,5751196.8775827875,13373228.135381691,5751196.8775827875,-4.2158511960194103e-24,1.3869373693442797e-05,0.0099225100088320209,1.3869373693442797e-05,-5.4806065548252344e-33,nan,nan,nan,nan,nan,-1.3869373693442797e-05,2.77387473868856e-05,-1.3869373693442797e-05,-2.3014028818254801e-35,2.77387473868856e-05
