step,frame,time,element,point,r,z,s_rr,s_zz,s_hoop,s_rz,ee_rr,ee_zz,ee_hoop,ee_rz,pe_rr,pe_zz,pe_hoop,pe_rz,peeq,ce_rr,ce_zz,ce_hoop,ce_rz,ceeq
RELAX_FAST,2,0.20000000298023224,1,1,0.0042113248654051857,0.0021132486540518503,5774648.8564008325,13450702.287198337,5774648.8564008316,-4.2715852428252081e-24,7.0435133210820029e-06,0.0099859129733578383,7.0435133210809221e-06,-5.5530608156727716e-33,nan,nan,nan,nan,nan,-7.0435133210809187e-06,1.4087026642161841e-05,-7.0435133210809221e-06,-5.8725376556024584e-36,1.408702664216184e-05
RELAX_FAST,2,0.20000000298023224,1,2,0.0047886751345948145,0.0021132486540518503,5781184.7453581076,13437630.509283792,5781184.7453581067,-4.2661378255171268e-24,1.5540168965538325e-05,0.0099689196620689272,1.5540168965537247e-05,-5.5459791731722654e-33,nan,nan,nan,nan,nan,-1.5540168965537241e-05,3.1080337931074488e-05,-1.5540168965537247e-05,-1.2954180156108884e-35,3.108033793107449e-05
RELAX_FAST,2,0.20000000298023224,1,3,0.0042113248654051857,0.0078867513459481495,5826966.3031824231,13346067.393635159,5826966.3031824222,-1.1329056201784475e-24,7.5056194137148829e-05,0.0098498876117257064,7.5056194137147975e-05,-1.472777306231982e-33,nan,nan,nan,nan,nan,-7.5056194137147961e-05,0.00015011238827429595,-7.5056194137147975e-05,-1.6734396570800837e-35,0.00015011238827429595
RELAX_FAST,2,0.20000000298023224,1,4,0.0047886751345948154,0.0078867513459481495,5795556.4023466511,13408887.195306698,5795556.4023466511,-1.1399010524783602e-24,3.4223323050647404e-05,0.0099315533538987064,3.4223323050646537e-05,-1.4818713682218686e-33,nan,nan,nan,nan,nan,-3.4223323050646537e-05,6.8446646101293101e-05,-3.4223323050646537e-05,-7.6403345808993623e-36,6.84466461012931e-05
RELAX_FAST,3,0.2500000074505806,1,1,0.0042113248654051857,0.0021132486540518503,5777348.4614535971,13445303.077092804,5777348.4614535971,-4.267078398308501e-24,1.0552999889676725e-05,0.0099788940002206485,1.0552999889675645e-05,-5.5472019178010518e-33,nan,nan,nan,nan,nan,-1.0552999889675641e-05,2.1105999779351289e-05,-1.0552999889675645e-05,-1.1731435527322329e-35,2.1105999779351286e-05
RELAX_FAST,3,0.2500000074505806,1,2,0.0047886751345948145,0.0021132486540518503,5787114.7888679802,13425770.422264045,5787114.7888679802,-4.2562252432154425e-24,2.3249225528373145e-05,0.0099535015489432572,2.3249225528372067e-05,-5.5330928161800762e-33,nan,nan,nan,nan,nan,-2.324922552837206e-05,4.6498451056744134e-05,-2.3249225528372067e-05,-2.5840537148298208e-35,4.6498451056744134e-05
RELAX_FAST,3,0.2500000074505806,1,3,0.0042113248654051857,0.0078867513459481495,5854698.6470840322,13290602.705831943,5854698.6470840313,-1.1203702939916194e-24,0.00011110824120923906,0.0097777835175815262,0.00011110824120923822,-1.4564813821891055e-33,nan,nan,nan,nan,nan,-0.00011110824120923819,0.00022221648241847644,-0.00011110824120923822,-3.3030320613677246e-35,0.00022221648241847644
RELAX_FAST,3,0.2500000074505806,1,4,0.0047886751345948154,0.0078867513459481495,5808486.9960626243,13383026.00787475,5808486.9960626233,-1.1340929780152211e-24,5.1033094881411949e-05,0.0098979338102371771,5.1033094881411089e-05,-1.4743208714197877e-33,nan,nan,nan,nan,nan,-5.1033094881411082e-05,0.0001020661897628222,-5.1033094881411089e-05,-1.5190831382980256e-35,0.0001020661897628222
RELAX_FAST,4,0.30000000447034836,1,1,0.0042113248654051857,0.0021132486540518503,5780041.804241742,13439916.391516516,5780041.8042417411,-4.2625820083036253e-24,1.4054345514265e-05,0.0099718913089714718,1.4054345514263921e-05,-5.5413566107947137e-33,nan,nan,nan,nan,nan,-1.4054345514263916e-05,2.8108691028527839e-05,-1.4054345514263921e-05,-1.7576742533660352e-35,2.810869102852784e-05
RELAX_FAST,4,0.30000000447034836,1,2,0.0047886751345948145,0.0021132486540518503,5793013.8752047485,13413972.249590507,5793013.8752047475,-4.2463644085148882e-24,3.0918037766171637e-05,0.0099381639244676603,3.0918037766170566e-05,-5.5202737310693552e-33,nan,nan,nan,nan,nan,-3.0918037766170553e-05,6.1836075532341133e-05,-3.0918037766170566e-05,-3.8659622259019184e-35,6.183607553234113e-05
RELAX_FAST,4,0.30000000447034836,1,3,0.0042113248654051857,0.0078867513459481495,5881715.2683045482,13236569.463390913,5881715.2683045464,-1.1081584823731462e-24,0.00014622984879591008,0.0097075403024081842,0.00014622984879590926,-1.4406060270850903e-33,nan,nan,nan,nan,nan,-0.00014622984879590921,0.00029245969759181847,-0.00014622984879590926,-4.8905675717692401e-35,0.00029245969759181847
RELAX_FAST,4,0.30000000447034836,1,4,0.0047886751345948154,0.0078867513459481495,5821266.5569596412,13357466.886080718,5821266.5569596402,-1.1283527434268892e-24,6.7646524047534123e-05,0.0098647069519049325,6.7646524047533269e-05,-1.466858566454956e-33,nan,nan,nan,nan,nan,-6.7646524047533255e-05,0.00013529304809506654,-6.7646524047533269e-05,-2.265313634781199e-35,0.00013529304809506657
