step,node,temperature,rfl,u1,u2,u3
REFERENCE,180,370,-9.5833333333315701e-21,0,0,0
REFERENCE,181,390,7.0833333333320649e-21,0,0,0
REFERENCE,182,410,9.2500000000000194e-20,0,0,0
REFERENCE,183,431,381766.66666666797,0,0,0
REFERENCE,184,450,1.8999999999999978e-19,0,0,0
REFERENCE,185,310,-1.9166666666666716e-19,0,0,0
REFERENCE,186,330,-1.0916666666666695e-19,0,0,0
REFERENCE,187,350,-9.2916666666667159e-20,0,0,0
REFERENCE,188,370,-7.499999999998964e-21,0,0,0
REFERENCE,189,390,9.1666666666661319e-21,0,0,0
REFERENCE,190,410,9.0416666666667702e-20,0,0,0
REFERENCE,191,430,1.0666666666666567e-19,0,0,0
REFERENCE,192,451,390433.33333333326,0,0,0
REFERENCE,193,301,914011.41389015806,0,0,0
REFERENCE,194,300,4.092248764538251e-22,0,0,0
REFERENCE,195,300,-9.817932753293722e-22,0,0,0
REFERENCE,196,300,-4.4220422613867825e-22,0,0,0
REFERENCE,197,300,-6.6103257643281014e-23,0,0,0
REFERENCE,198,300,-7.809582896125015e-22,0,0,0
REFERENCE,199,300,-9.6161388093743467e-22,0,0,0
REFERENCE,200,300,-9.5756907743052393e-22,0,0,0
REFERENCE,201,300,4.0922487645397176e-22,0,0,0
REFERENCE,202,301,943814.58937803435,0,0,0
REFERENCE,203,300,-3.2343649503498199e-22,0,0,0
REFERENCE,204,300,-8.0458157488252356e-22,0,0,0
REFERENCE,205,300,-8.5030690388631776e-22,0,0,0
REFERENCE,206,300,-1.9913470883951624e-22,0,0,0
REFERENCE,207,300,-1.0280620178910335e-21,0,0,0
REFERENCE,208,300,-7.7325115433123995e-22,0,0,0
REFERENCE,209,300,-9.8179327532926537e-22,0,0,0
REFERENCE,210,300,-3.2343649503498255e-22,0,0,0
REFERENCE,211,301,811403.92119620985,0,0,0
REFERENCE,212,300,6.4704813688460667e-22,0,0,0
REFERENCE,213,300,-1.0251224164041684e-21,0,0,0
REFERENCE,214,300,-1.2409569235059458e-21,0,0,0
REFERENCE,215,300,-4.6719777694768095e-22,0,0,0
REFERENCE,216,300,-6.9211939539864341e-22,0,0,0
REFERENCE,217,300,-4.4220422613878188e-22,0,0,0
REFERENCE,218,300,-8.0458157488256719e-22,0,0,0
REFERENCE,219,300,6.470481368845605e-22,0,0,0
REFERENCE,220,301,946695.04319668189,0,0,0
REFERENCE,221,300,-1.2732110381940744e-21,0,0,0
REFERENCE,222,300,-9.7401105205375885e-22,0,0,0
REFERENCE,223,300,-1.0359707341841453e-21,0,0,0
REFERENCE,224,300,-7.8836419066779703e-23,0,0,0
REFERENCE,225,300,-6.6103257643386397e-23,0,0,0
REFERENCE,226,300,-8.5030690388637381e-22,0,0,0
REFERENCE,227,300,-1.0251224164041094e-21,0,0,0
REFERENCE,228,300,-1.2732110381941395e-21,0,0,0
REFERENCE,229,301,1066773.1621371303,0,0,0
REFERENCE,230,300,2.6463461303748353e-22,0,0,0
REFERENCE,231,300,-9.336703043796765e-22,0,0,0
REFERENCE,232,300,-1.6455272378472087e-22,0,0,0
REFERENCE,233,300,-7.8095828961253469e-22,0,0,0
REFERENCE,234,300,-1.9913470883954541e-22,0,0,0
REFERENCE,235,300,-1.2409569235060893e-21,0,0,0
REFERENCE,236,300,-9.7401105205387114e-22,0,0,0
REFERENCE,237,300,2.646346130375101e-22,0,0,0
REFERENCE,238,301,1125565.3734700016,0,0,0
REFERENCE,239,300,1.9968968788001594e-22,0,0,0
REFERENCE,240,300,-6.3193382291377597e-22,0,0,0
REFERENCE,241,300,-9.6161388093740984e-22,0,0,0
REFERENCE,242,300,-1.0280620178908721e-21,0,0,0
REFERENCE,243,300,-4.6719777694755767e-22,0,0,0
REFERENCE,244,300,-1.0359707341841282e-21,0,0,0
REFERENCE,245,300,-9.3367030437981135e-22,0,0,0
REFERENCE,246,300,1.9968968787982302e-22,0,0,0
REFERENCE,247,301,979540.66944319266,0,0,0
REFERENCE,248,300,2.1173044677077373e-22,0,0,0
REFERENCE,249,300,-9.5756907743068343e-22,0,0,0
REFERENCE,250,300,-7.7325115433128039e-22,0,0,0
REFERENCE,251,300,-6.921193953987256e-22,0,0,0
REFERENCE,252,300,-7.8836419066838337e-23,0,0,0
REFERENCE,253,300,-1.6455272378467566e-22,0,0,0
REFERENCE,254,300,-6.3193382291376976e-22,0,0,0
