type	geometry	material	step	element	node	rule	prediction	measured_ratio	relative_error
C3D8T	regular	CONSTANT	DEFORM_B	1	1	local_volume_ratio_current_density	1.0991762800611762	1.100713041769179	0.0013961510854207937
C3D8T	regular	CONSTANT	DEFORM_B	1	1	global_over_local_current_density	1.1007130417691784	1.100713041769179	5.551115123125783e-16
C3D8T	regular	CONSTANT	DEFORM_B	1	1	current_rows_over_initial_rows_current_density	1.1451237037037043	1.100713041769179	0.040347175193948814
C3D8T	regular	CONSTANT	DEFORM_B	1	1	rows_over_local_current_density	1.0418016877510956	1.100713041769179	0.053521082954913535
C3D8T	regular	CONSTANT	DEFORM_B	1	1	rows_over_global_current_density	0.946478917045087	1.100713041769179	0.14012201079782893
C3D8T	regular	CONSTANT	DEFORM_B	1	1	integrated_density_current_density	1.0000000000000002	1.100713041769179	0.09149799988496776
C3D8T	regular	CONSTANT	RETURN	1	1	rows_over_mean_f	0.9999999999999996	1.0	4.440892098500626e-16
C3D8T	regular	CONSTANT	RETURN	1	1	rows_over_center	1.0	1.0	0.0
C3D8T	regular	CONSTANT	RETURN	1	1	fixed_initial_mass	1.0	1.0	0.0
C3D8T	regular	CONSTANT	RETURN	1	1	global_volume_ratio	1.0	1.0	0.0
C3D8T	regular	CONSTANT	RETURN	1	1	local_volume_ratio	1.0	1.0	0.0
C3D8T	regular	CONSTANT	RETURN	1	1	global_over_local	1.0	1.0	0.0
C3D8T	regular	CONSTANT	RETURN	1	1	current_rows_over_initial_rows	1.0	1.0	0.0
C3D8T	regular	CONSTANT	RETURN	1	1	rows_over_local	1.0	1.0	0.0
C3D8T	regular	CONSTANT	RETURN	1	1	rows_over_global	1.0	1.0	0.0
C3D8T	regular	CONSTANT	RETURN	1	1	integrated_density	1.0000000000000002	1.0	2.220446049250313e-16
C3D8T	regular	CONSTANT	RETURN	1	1	rows_over_mean_f_current_density	0.9999999999999996	1.0	4.440892098500626e-16
C3D8T	regular	CONSTANT	RETURN	1	1	rows_over_center_current_density	1.0	1.0	0.0
C3D8T	regular	CONSTANT	RETURN	1	1	fixed_initial_mass_current_density	1.0	1.0	0.0
C3D8T	regular	CONSTANT	RETURN	1	1	global_volume_ratio_current_density	1.0	1.0	0.0
C3D8T	regular	CONSTANT	RETURN	1	1	local_volume_ratio_current_density	1.0	1.0	0.0
C3D8T	regular	CONSTANT	RETURN	1	1	global_over_local_current_density	1.0	1.0	0.0
C3D8T	regular	CONSTANT	RETURN	1	1	current_rows_over_initial_rows_current_density	1.0	1.0	0.0
C3D8T	regular	CONSTANT	RETURN	1	1	rows_over_local_current_density	1.0	1.0	0.0
C3D8T	regular	CONSTANT	RETURN	1	1	rows_over_global_current_density	1.0	1.0	0.0
C3D8T	regular	CONSTANT	RETURN	1	1	integrated_density_current_density	1.0000000000000002	1.0	2.220446049250313e-16
C3D8T	regular	CONSTANT	REFERENCE	2	2	rows_over_mean_f	1.0000000000000007	1.0	6.661338147750939e-16
C3D8T	regular	CONSTANT	REFERENCE	2	2	rows_over_center	1.0	1.0	0.0
C3D8T	regular	CONSTANT	REFERENCE	2	2	fixed_initial_mass	1.0	1.0	0.0
C3D8T	regular	CONSTANT	REFERENCE	2	2	global_volume_ratio	1.0	1.0	0.0
C3D8T	regular	CONSTANT	REFERENCE	2	2	local_volume_ratio	1.0	1.0	0.0
C3D8T	regular	CONSTANT	REFERENCE	2	2	global_over_local	1.0	1.0	0.0
C3D8T	regular	CONSTANT	REFERENCE	2	2	current_rows_over_initial_rows	1.0	1.0	0.0
C3D8T	regular	CONSTANT	REFERENCE	2	2	rows_over_local	1.0	1.0	0.0
C3D8T	regular	CONSTANT	REFERENCE	2	2	rows_over_global	1.0	1.0	0.0
C3D8T	regular	CONSTANT	REFERENCE	2	2	integrated_density	1.0	1.0	0.0
C3D8T	regular	CONSTANT	REFERENCE	2	2	rows_over_mean_f_current_density	1.0000000000000007	1.0	6.661338147750939e-16
C3D8T	regular	CONSTANT	REFERENCE	2	2	rows_over_center_current_density	1.0	1.0	0.0
C3D8T	regular	CONSTANT	REFERENCE	2	2	fixed_initial_mass_current_density	1.0	1.0	0.0
C3D8T	regular	CONSTANT	REFERENCE	2	2	global_volume_ratio_current_density	1.0	1.0	0.0
C3D8T	regular	CONSTANT	REFERENCE	2	2	local_volume_ratio_current_density	1.0	1.0	0.0
C3D8T	regular	CONSTANT	REFERENCE	2	2	global_over_local_current_density	1.0	1.0	0.0
C3D8T	regular	CONSTANT	REFERENCE	2	2	current_rows_over_initial_rows_current_density	1.0	1.0	0.0
C3D8T	regular	CONSTANT	REFERENCE	2	2	rows_over_local_current_density	1.0	1.0	0.0
C3D8T	regular	CONSTANT	REFERENCE	2	2	rows_over_global_current_density	1.0	1.0	0.0
C3D8T	regular	CONSTANT	REFERENCE	2	2	integrated_density_current_density	1.0	1.0	0.0
C3D8T	regular	CONSTANT	DEFORM_A	2	2	rows_over_mean_f	0.983485846402526	1.030359933504564	0.045492924926345935
C3D8T	regular	CONSTANT	DEFORM_A	2	2	rows_over_center	0.983485846402527	1.030359933504564	0.045492924926344935
C3D8T	regular	CONSTANT	DEFORM_A	2	2	fixed_initial_mass	1.0	1.030359933504564	0.029465366924061764
C3D8T	regular	CONSTANT	DEFORM_A	2	2	global_volume_ratio	1.3838876458333342	1.030359933504564	0.343110888567179
