node,temperature_k,reaction_heat_flux_w,u1_m,u2_m,u3_m,rf1_n,rf2_n,rf3_n
64,400,646.1046752929688,-0.01448888704180717,-0.003882285673171282,-9.512696299224016e-34,-93010.4296875,-24922.068359375,1902.539306640625
65,400,0,-0.01385819260030985,-0.005740251392126083,-9.501305024280579e-34,-78465.34375,-32501.408203125,1900.261108398438
66,400,646.1046752929688,-0.01385819260030985,-0.005740251392126083,9.512696299224016e-34,-88961.7265625,-36849.15234375,-1902.539306640625
67,400,0,-0.01385819260030985,-0.005740251392126083,9.501305024280579e-34,-78465.34375,-32501.408203125,-1900.261108398438
68,400,646.1046752929688,-0.01385819260030985,-0.005740251392126083,-9.512696299224016e-34,-88961.7265625,-36849.15234375,1902.539306640625
69,400,0,-0.0129903806373477,-0.007499999832361937,-9.501305024280579e-34,-73551.7734375,-42465.13671875,1900.261108398438
70,400,646.1046752929688,-0.0129903806373477,-0.007499999832361937,9.512696299224016e-34,-83390.8671875,-48145.73828125,-1902.539306640625
71,400,0,-0.0129903806373477,-0.007499999832361937,9.501305024280579e-34,-73551.7734375,-42465.13671875,-1900.261108398438
72,400,646.1046752929688,-0.0129903806373477,-0.007499999832361937,-9.512696299224016e-34,-83390.8671875,-48145.73828125,1902.539306640625
73,400,0,-0.01190030016005039,-0.009131421335041523,-9.501305024280579e-34,-67379.71875,-51702.2734375,1900.261108398438
74,400,646.1046752929688,-0.01190030016005039,-0.009131421335041523,9.512696299224016e-34,-76393.1640625,-58618.5390625,-1902.539306640625
75,400,0,-0.01190030016005039,-0.009131421335041523,9.501305024280579e-34,-67379.71875,-51702.2734375,-1900.261108398438
76,400,646.1046752929688,-0.01190030016005039,-0.009131421335041523,-9.512696299224016e-34,-76393.1640625,-58618.5390625,1902.539306640625
77,400,0,-0.01060660183429718,-0.01060660183429718,-9.501305024280579e-34,-60054.7734375,-60054.7734375,1900.261108398438
78,400,646.1046752929688,-0.01060660183429718,-0.01060660183429718,9.512696299224016e-34,-68088.359375,-68088.359375,-1902.539306640625
79,400,0,-0.01060660183429718,-0.01060660183429718,9.501305024280579e-34,-60054.7734375,-60054.7734375,-1900.261108398438
80,400,646.1046752929688,-0.01060660183429718,-0.01060660183429718,-9.512696299224016e-34,-68088.359375,-68088.359375,1902.539306640625
81,400,0,-0.009131421335041523,-0.01190030016005039,-9.501305024280579e-34,-51702.2734375,-67379.71875,1900.261108398438
82,400,646.1046752929688,-0.009131421335041523,-0.01190030016005039,9.512696299224016e-34,-58618.5390625,-76393.1640625,-1902.539306640625
83,400,0,-0.009131421335041523,-0.01190030016005039,9.501305024280579e-34,-51702.2734375,-67379.71875,-1900.261108398438
84,400,646.1046752929688,-0.009131421335041523,-0.01190030016005039,-9.512696299224016e-34,-58618.5390625,-76393.1640625,1902.539306640625
85,400,0,-0.007499999832361937,-0.0129903806373477,-9.501305024280579e-34,-42465.13671875,-73551.7734375,1900.261108398438
86,400,646.1046752929688,-0.007499999832361937,-0.0129903806373477,9.512696299224016e-34,-48145.73828125,-83390.8671875,-1902.539306640625
87,400,0,-0.007499999832361937,-0.0129903806373477,9.501305024280579e-34,-42465.13671875,-73551.7734375,-1900.261108398438
88,400,646.1046752929688,-0.007499999832361937,-0.0129903806373477,-9.512696299224016e-34,-48145.73828125,-83390.8671875,1902.539306640625
89,400,0,-0.005740251392126083,-0.01385819260030985,-9.501305024280579e-34,-32501.408203125,-78465.34375,1900.261108398438
90,400,646.1046752929688,-0.005740251392126083,-0.01385819260030985,9.512696299224016e-34,-36849.15234375,-88961.7265625,-1902.539306640625
91,400,0,-0.005740251392126083,-0.01385819260030985,9.501305024280579e-34,-32501.408203125,-78465.34375,-1900.261108398438
92,400,646.1046752929688,-0.005740251392126083,-0.01385819260030985,-9.512696299224016e-34,-36849.15234375,-88961.7265625,1902.539306640625
93,400,0,-0.003882285673171282,-0.01448888704180717,-9.501305024280579e-34,-21981.572265625,-82036.34375,1900.261108398438
94,400,646.1046752929688,-0.003882285673171282,-0.01448888704180717,9.512696299224016e-34,-24922.068359375,-93010.4296875,-1902.539306640625
95,400,0,-0.003882285673171282,-0.01448888704180717,9.501305024280579e-34,-21981.572265625,-82036.34375,-1900.261108398438
96,400,646.1046752929688,-0.003882285673171282,-0.01448888704180717,-9.512696299224016e-34,-24922.068359375,-93010.4296875,1902.539306640625
97,400,0,-0.001957892905920744,-0.01487167272716761,-9.501305024280579e-34,-11085.625,-84203.6875,1900.261108398438
98,400,646.1046752929688,-0.001957892905920744,-0.01487167272716761,9.512696299224016e-34,-12546.87109375,-95475.96875,-1902.539306640625
99,400,0,-0.001957892905920744,-0.01487167272716761,9.501305024280579e-34,-11085.625,-84203.6875,-1900.261108398438
100,400,646.1046752929688,-0.001957892905920744,-0.01487167272716761,-9.512696299224016e-34,-12546.87109375,-95475.96875,1902.539306640625
