state,copy,local_node,node,temperature_k,reaction_heat_flux_w
D05_PLUS,steady,1,177,360,-150.401889482767
D05_PLUS,steady,2,178,410,-83.76444125800188
D05_PLUS,steady,3,179,445,3.723932664550524
D05_PLUS,steady,4,180,385,-104.9942799536438
D05_PLUS,steady,5,181,470,56.80351140134292
D05_PLUS,steady,6,182,430.001,38.25197721137869
D05_PLUS,steady,7,183,515,174.6858465459451
D05_PLUS,steady,8,184,455,65.69534287119549
D05_PLUS,transient,1,185,360,47382201.29417606
D05_PLUS,transient,2,186,410,83116004.23454663
D05_PLUS,transient,3,187,445,88306715.27555718
D05_PLUS,transient,4,188,385,15177309.9382492
D05_PLUS,transient,5,189,470,100498622.8621266
D05_PLUS,transient,6,190,430.001,25358071.63826011
D05_PLUS,transient,7,191,515,102844108.6520246
D05_PLUS,transient,8,192,455,6286967.926998574
D05_MINUS,steady,1,193,360,-150.4012647161355
D05_MINUS,steady,2,194,410,-83.76428195023482
D05_MINUS,steady,3,195,445,3.724925430089325
D05_MINUS,steady,4,196,385,-104.9935007448023
D05_MINUS,steady,5,197,470,56.80329969365241
D05_MINUS,steady,6,198,429.999,38.24928707498205
D05_MINUS,steady,7,199,515,174.685686794195
D05_MINUS,steady,8,200,455,65.69584841825383
D05_MINUS,transient,1,201,360,47382201.29480095
D05_MINUS,transient,2,202,410,83116004.23470615
D05_MINUS,transient,3,203,445,88306715.27654995
D05_MINUS,transient,4,204,385,15177309.93902842
D05_MINUS,transient,5,205,470,100498622.8619149
D05_MINUS,transient,6,206,429.999,25355478.33294955
D05_MINUS,transient,7,207,515,102844108.6518651
D05_MINUS,transient,8,208,455,6286967.927504133
D06_PLUS,steady,1,209,360,-150.4019617450038
D06_PLUS,steady,2,210,410,-83.7647728289253
D06_PLUS,steady,3,211,445,3.724242168209152
D06_PLUS,steady,4,212,385,-104.9943047375169
D06_PLUS,steady,5,213,470,56.80303207937583
D06_PLUS,steady,6,214,430,38.25071201905571
D06_PLUS,steady,7,215,515.001,174.6873727079019
D06_PLUS,steady,8,216,455,65.69568033690332
D06_PLUS,transient,1,217,360,47382201.29410386
D06_PLUS,transient,2,218,410,83116004.23421521
D06_PLUS,transient,3,219,445,88306715.2758667
D06_PLUS,transient,4,220,385,15177309.9382244
D06_PLUS,transient,5,221,470,100498622.8616474
D06_PLUS,transient,6,222,430,25356774.98424394
D06_PLUS,transient,7,223,515.001,102845425.1574643
D06_PLUS,transient,8,224,455,6286967.927336053
D06_MINUS,steady,1,225,360,-150.4011924538991
D06_MINUS,steady,2,226,410,-83.76395037931105
D06_MINUS,steady,3,227,445,3.724615926430761
D06_MINUS,steady,4,228,385,-104.9934759609292
D06_MINUS,steady,5,229,470,56.80377901561936
D06_MINUS,steady,6,230,430,38.25055226730505
D06_MINUS,steady,7,231,514.999,174.6841606322382
D06_MINUS,steady,8,232,455,65.69551095254604
D06_MINUS,transient,1,233,360,47382201.29487316
D06_MINUS,transient,2,234,410,83116004.23503773
D06_MINUS,transient,3,235,445,88306715.27624047
D06_MINUS,transient,4,236,385,15177309.93905317
D06_MINUS,transient,5,237,470,100498622.8623943
D06_MINUS,transient,6,238,430,25356774.9840842
D06_MINUS,transient,7,239,514.999,102842792.1489328
D06_MINUS,transient,8,240,455,6286967.927166665
D07_PLUS,steady,1,241,360,-150.4019601270823
D07_PLUS,steady,2,242,410,-83.76467090457994
D07_PLUS,steady,3,243,445,3.724152199561836
D07_PLUS,steady,4,244,385,-104.9939218837905
D07_PLUS,steady,5,245,470,56.80333972640805
D07_PLUS,steady,6,246,430,38.25037936965109
D07_PLUS,steady,7,247,515,174.6858513622486
D07_PLUS,steady,8,248,455.001,65.69683025758317
D07_PLUS,transient,1,249,360,47382201.29410547
D07_PLUS,transient,2,250,410,83116004.23431712
D07_PLUS,transient,3,251,445,88306715.27577674
D07_PLUS,transient,4,252,385,15177309.93860726
D07_PLUS,transient,5,253,470,100498622.8619551
D07_PLUS,transient,6,254,430,25356774.98391131
D07_PLUS,transient,7,255,515,102844108.6520294
D07_PLUS,transient,8,256,455.001,6288232.257174932
D07_MINUS,steady,1,257,360,-150.4011940718202
D07_MINUS,steady,2,258,410,-83.76405230365631
D07_MINUS,steady,3,259,445,3.724705895078003
D07_MINUS,steady,4,260,385,-104.9938588146554
D07_MINUS,steady,5,261,470,56.80347136858713
D07_MINUS,steady,6,262,430,38.2508849167094
D07_MINUS,steady,7,263,515,174.6856819778913
D07_MINUS,steady,8,264,454.999,65.69436103186615
D07_MINUS,transient,1,265,360,47382201.29487155
D07_MINUS,transient,2,266,410,83116004.23493578
D07_MINUS,transient,3,267,445,88306715.27633046
D07_MINUS,transient,4,268,385,15177309.93867033
D07_MINUS,transient,5,269,470,100498622.8620867
D07_MINUS,transient,6,270,430,25356774.98441686
D07_MINUS,transient,7,271,515,102844108.6518601
D07_MINUS,transient,8,272,454.999,6285703.600106529
