step,time,id,x,y,z,cnormf_x,cnormf_y,cnormf_z,cshearf_x,cshearf_y,cshearf_z,cslip1,cslip2,copen,cpress
2,2,77,1,2,4.125053004366027e-32,-323.4776327893512,-2.117879206333405e-14,0,-3.27994800502707e-15,49.25750019461928,0,0,-4.479229452665096e-06,-5.194513189104747e-08,5083.334042155905
2,2,79,1,2,1,-323.3230847294262,-1.011504405855251e-13,0,-1.414015489239669e-14,49.23703516520167,0,0,-4.478981091652885e-06,-5.201520359061822e-08,5090.560436801973
2,2,82,1,1.600000023841858,-4.123017048150403e-34,1303.884498859607,1.204972353119644e-13,0,1.799755328172835e-14,-193.0149862835835,0,0,-4.895993253091715e-06,-4.629166458594386e-08,5011.594131193416
2,2,84,1,2,0.5,1327.747988119168,2.78055524236358e-14,0,4.87139624186896e-15,-191.9266868144189,0,0,-4.614432593640212e-06,-5.247016618180494e-08,5086.947239478939
2,2,87,1,1.600000023841858,1,1304.419397403557,6.89912525730735e-14,0,1.113177931222822e-14,-193.0908091580854,0,0,-4.895781087080688e-06,-4.635329899955568e-08,5017.319123176638
3,3,56,1,2.777936478323686e-32,1.551477688300735e-32,-499.3454061486648,1.088520866537771e-13,0,3.265158732308088e-14,149.8036434454003,0,0,-1.917473013293858e-05,-5.244301883832362e-08,5026.557985294392
3,3,59,1,1.200000047683716,0,-816.29088964378,1.559854818076589e-14,0,4.665028136721814e-15,244.8872440525301,0,0,-2.074979946009462e-05,-5.148724169697145e-08,5038.585683227483
3,3,60,1,6.449304205380386e-33,1,-500.0720319385616,-4.568974925256059e-14,0,-1.371278407071398e-14,150.0215936818467,0,0,-1.917801809327388e-05,-5.221205462136888e-08,5002.151792639755
3,3,63,1,1.200000047683716,1,-816.002755062869,8.014334237726656e-14,0,2.403652855183557e-14,244.8008035164798,0,0,-2.075007148631741e-05,-5.155757407093738e-08,5045.334281905512
3,3,67,1,0.6000000238418579,0,2010.377432010536,-3.259511982084609e-14,0,-9.750261275722114e-15,-603.1131612813111,0,0,-2.015242260197458e-05,-5.11271015847608e-08,5096.085327466015
