step,node,temperature_k,reaction_heat_flux_w,u1_m,reaction_force_x_n
GAP_MINUS,6,400,1250.25,0.05000999942421913,-5.044217132876838e-08
GAP_MINUS,7,400,1250.25,0.05000999942421913,-3.736561060563304e-10
GAP_MINUS,8,400,3.00927021474294e-14,0.05000999942421913,6.392872364813229e-08
GAP_MINUS,9,300,-1250.25,0,-0
GAP_MINUS,10,300,-3.076355901791838e-15,0,-0
GAP_MINUS,11,300,1.131569356038796e-14,0,-0
GAP_MINUS,12,300,-1250.25,0,-0
GAP_MINUS,13,300,-1250.25,0,-0
GAP_MINUS,14,300,8.441626067059397e-15,0,-0
GAP_MINUS,15,300,-1.765240887220253e-14,0,-0
GAP_MINUS,16,300,-1250.25,0,-0
SECONDARY_PLUS,1,401,1.895390379477897e-14,0.05000000074505806,7.047128036674621e-08
SECONDARY_PLUS,2,401,1263.762451171875,0.05000000074505806,1.188572582577763e-07
SECONDARY_PLUS,3,401,1263.762451171875,0.05000000074505806,-6.80433984712181e-08
SECONDARY_PLUS,4,401,-3.833695736167993e-16,0.05000000074505806,-8.225386238791543e-08
SECONDARY_PLUS,5,401,-2.990122865563667e-14,0.05000000074505806,-5.214176823642447e-08
SECONDARY_PLUS,6,401,1263.762451171875,0.05000000074505806,-5.045059481290082e-08
SECONDARY_PLUS,7,401,1263.762451171875,0.05000000074505806,-3.632636691452973e-10
SECONDARY_PLUS,8,401,3.741805102187314e-16,0.05000000074505806,6.392434670488001e-08
SECONDARY_PLUS,9,300,-1263.762451171875,0,-0
SECONDARY_PLUS,10,300,-3.076355901791838e-15,0,-0
SECONDARY_PLUS,11,300,1.131569356038796e-14,0,-0
SECONDARY_PLUS,12,300,-1263.762451171875,0,-0
SECONDARY_PLUS,13,300,-1263.762451171875,0,-0
SECONDARY_PLUS,14,300,8.441626067059397e-15,0,-0
SECONDARY_PLUS,15,300,-1.765240887220253e-14,0,-0
SECONDARY_PLUS,16,300,-1263.762451171875,0,-0
SECONDARY_MINUS,1,399,-3.625083496187551e-14,0.05000000074505806,7.047128036674621e-08
SECONDARY_MINUS,2,399,1236.262451171875,0.05000000074505806,1.188572582577763e-07
SECONDARY_MINUS,3,399,1236.262451171875,0.05000000074505806,-6.80433984712181e-08
SECONDARY_MINUS,4,399,5.496171822782364e-14,0.05000000074505806,-8.225386238791543e-08
SECONDARY_MINUS,5,399,1.561687350346962e-14,0.05000000074505806,-5.214176823642447e-08
SECONDARY_MINUS,6,399,1236.262451171875,0.05000000074505806,-5.045059481290082e-08
SECONDARY_MINUS,7,399,1236.262451171875,0.05000000074505806,-3.632636691452973e-10
SECONDARY_MINUS,8,399,-9.826522394721336e-15,0.05000000074505806,6.392434670488001e-08
SECONDARY_MINUS,9,300,-1236.262451171875,0,-0
SECONDARY_MINUS,10,300,-3.076355901791838e-15,0,-0
SECONDARY_MINUS,11,300,1.131569356038796e-14,0,-0
SECONDARY_MINUS,12,300,-1236.262451171875,0,-0
SECONDARY_MINUS,13,300,-1236.262451171875,0,-0
SECONDARY_MINUS,14,300,8.441626067059397e-15,0,-0
SECONDARY_MINUS,15,300,-1.765240887220253e-14,0,-0
SECONDARY_MINUS,16,300,-1236.262451171875,0,-0
PRIMARY_PLUS,1,400,-1.651606165741816e-14,0.05000000074505806,7.047128036674621e-08
PRIMARY_PLUS,2,400,1238.737548828125,0.05000000074505806,1.188572582577763e-07
PRIMARY_PLUS,3,400,1238.737548828125,0.05000000074505806,-6.80433984712181e-08
PRIMARY_PLUS,4,400,2.203448850855998e-15,0.05000000074505806,-8.225386238791543e-08
PRIMARY_PLUS,5,400,-1.902300897778072e-15,0.05000000074505806,-5.214176823642447e-08
PRIMARY_PLUS,6,400,1238.737548828125,0.05000000074505806,-5.045059481290082e-08
PRIMARY_PLUS,7,400,1238.737548828125,0.05000000074505806,-3.632636691452973e-10
PRIMARY_PLUS,8,400,3.00927021474294e-14,0.05000000074505806,6.392434670488001e-08
PRIMARY_PLUS,9,301,-1238.737548828125,0,-0
PRIMARY_PLUS,10,301,2.092064145346999e-14,0,-0
PRIMARY_PLUS,11,301,-1.383534891605817e-14,0,-0
PRIMARY_PLUS,12,301,-1238.737548828125,0,-0
PRIMARY_PLUS,13,301,-1238.737548828125,0,-0
PRIMARY_PLUS,14,301,5.074784557050551e-16,0,-0
PRIMARY_PLUS,15,301,-5.073952241300755e-15,0,-0
PRIMARY_PLUS,16,301,-1238.737548828125,0,-0
PRIMARY_MINUS,1,400,-1.651606165741816e-14,0.05000000074505806,7.047128036674621e-08
PRIMARY_MINUS,2,400,1261.237548828125,0.05000000074505806,1.188572582577763e-07
PRIMARY_MINUS,3,400,1261.237548828125,0.05000000074505806,-6.80433984712181e-08
PRIMARY_MINUS,4,400,2.203448850855998e-15,0.05000000074505806,-8.225386238791543e-08
PRIMARY_MINUS,5,400,-1.902300897778072e-15,0.05000000074505806,-5.214176823642447e-08
PRIMARY_MINUS,6,400,1261.237548828125,0.05000000074505806,-5.045059481290082e-08
PRIMARY_MINUS,7,400,1261.237548828125,0.05000000074505806,-3.632636691452973e-10
PRIMARY_MINUS,8,400,3.00927021474294e-14,0.05000000074505806,6.392434670488001e-08
PRIMARY_MINUS,9,299,-1261.237548828125,0,-0
PRIMARY_MINUS,10,299,3.571098698327245e-14,0,-0
PRIMARY_MINUS,11,299,2.626178557930091e-14,0,-0
PRIMARY_MINUS,12,299,-1261.237548828125,0,-0
PRIMARY_MINUS,13,299,-1261.237548828125,0,-0
PRIMARY_MINUS,14,299,-1.798685474922821e-14,0,-0
PRIMARY_MINUS,15,299,-3.42367701842896e-14,0,-0
PRIMARY_MINUS,16,299,-1261.237548828125,0,-0
