increment,time_s,node,temperature_k,u1_m,u2_m,u3_m,reaction_heat_flux_w,rf1_n,rf2_n,rf3_n
3,0.05999999865889549,24,300.6,-0.00012,-1.203606134569064e-40,-1.203606196580547e-40,65.49190508201063,-296.0866877382314,-83.01428551337717,-83.01428551336454
4,0.07999999821186066,1,300,-6.172094327654556e-40,-6.491420967867686e-41,-6.491423875301135e-41,-4.226826350091503e-06,842.5649798352507,107.989521126716,107.9895211267096
4,0.07999999821186066,2,300.000000563557,-1.283733279500316e-05,-4.765003559075372e-06,-4.765003559073256e-06,0,0,0,0
4,0.07999999821186066,3,300.0000303742792,-2.70767933884123e-05,-3.606076047855244e-06,-3.606076047849127e-06,0,0,0,0
4,0.07999999821186066,4,300,-6.172094138208994e-40,6.491411009146373e-41,-6.491412044575414e-41,-4.226826372363214e-06,842.5649798347981,-107.9895211266897,107.9895211267745
4,0.07999999821186066,5,300.000000563557,-1.283733279497307e-05,4.765003559052828e-06,-4.765003559080254e-06,0,0,0,0
4,0.07999999821186066,6,300.0000303742792,-2.707679338838596e-05,3.606076047789844e-06,-3.60607604786971e-06,0,0,0,0
4,0.07999999821186066,7,300,-6.172091541992266e-40,-6.491414638760851e-41,6.491413610815544e-41,-4.226826275598895e-06,842.5649798348587,107.9895211267677,-107.9895211266831
4,0.07999999821186066,8,300.000000563557,-1.283733279497831e-05,-4.765003559080743e-06,4.765003559053355e-06,0,0,0,0
4,0.07999999821186066,9,300.0000303742792,-2.707679338839681e-05,-3.606076047874174e-06,3.606076047794423e-06,0,0,0,0
4,0.07999999821186066,10,300,-6.172093388124307e-40,6.491424844445614e-41,6.49142192739022e-41,-4.226826283794416e-06,842.5649798344589,-107.989521126794,-107.9895211268001
4,0.07999999821186066,11,300.000000563557,-1.283733279493483e-05,4.765003559066498e-06,4.765003559068574e-06,0,0,0,0
4,0.07999999821186066,12,300.0000303742792,-2.707679338827133e-05,3.606076047790093e-06,3.606076047796188e-06,0,0,0,0
4,0.07999999821186066,13,300.0004539611321,-0.0001304469994211215,-3.99850094971993e-06,-3.998500949712241e-06,0,0,0,0
4,0.07999999821186066,14,300.0155131076138,-0.0001479351042488787,-7.772484478832274e-06,-7.772484478829645e-06,0,0,0,0
4,0.07999999821186066,15,300.8,-0.00016,2.868675870050262e-41,2.868673402293913e-41,66.47475092963269,-842.5649798304537,172.7002589201771,172.7002589201703
4,0.07999999821186066,16,300.0004539611321,-0.0001304469994211535,3.998500949640278e-06,-3.998500949737296e-06,0,0,0,0
4,0.07999999821186066,17,300.0155131076138,-0.0001479351042489154,7.772484478804818e-06,-7.772484478838144e-06,0,0,0,0
4,0.07999999821186066,18,300.8,-0.00016,-2.86868608776978e-41,2.868685132841064e-41,66.47475092963271,-842.564979830001,-172.7002589201511,172.700258920235
4,0.07999999821186066,19,300.0004539611321,-0.00013044699942114,-3.998500949743028e-06,3.998500949645907e-06,0,0,0,0
4,0.07999999821186066,20,300.0155131076138,-0.0001479351042489088,-7.772484478838815e-06,7.772484478805474e-06,0,0,0,0
4,0.07999999821186066,21,300.8,-0.00016,2.868682317082397e-41,-2.868683286138137e-41,66.47475092963278,-842.5649798300636,172.7002589202288,-172.7002589201445
4,0.07999999821186066,22,300.0004539611321,-0.000130446999421293,3.998500949640443e-06,3.998500949648123e-06,0,0,0,0
