stage,time_s,node,temperature_k,ux_m,uy_m,uz_m,reaction_heat_flux_w,rfx_n,rfy_n,rfz_n
8,0.8,3,600,0.005,-0.002284600131805078,-1.871212282309999e-34,0,51403517.07811624,0,-3.100255827715888e-06
8,0.8,4,600,-1.852609875933246e-34,-0.002284600131805078,-1.871212282302993e-34,-1.248103095684551e-14,-51403517.07811624,0,-3.099923689714302e-06
8,0.8,5,600,-1.852609875961272e-34,-1.871212282309999e-34,-0.002284600131805078,1.601753011839413e-14,-51403517.07811624,-3.100127406418105e-06,0
8,0.8,6,600,0.005,-1.871212282302993e-34,-0.002284600131805078,0,51403517.07811624,-3.100012975605479e-06,0
8,0.8,7,600,0.005,-0.002284600131805078,-0.002284600131805078,0,51403517.07811624,0,0
8,0.8,8,600,-1.852609875933246e-34,-0.002284600131805078,-0.002284600131805078,1.646282013519475e-14,-51403517.07811624,0,0
9,0.9,1,600,-1.835987460951429e-34,-1.855796369008865e-34,-1.855796368924787e-34,4.129744540567506e-15,-51579106.56406186,-3.071479299247285e-06,-3.071509782717659e-06
9,0.9,2,600,0.005500000000000001,-1.855796368987845e-34,-1.855796368910774e-34,0,51579106.56406186,-3.071366347200653e-06,-3.071374979739454e-06
9,0.9,3,600,0.005500000000000001,-0.002531889157778284,-1.855796368924787e-34,0,51579106.56406186,0,-3.071164658523775e-06
9,0.9,4,600,-1.835987460944422e-34,-0.002531889157778284,-1.855796368903767e-34,-1.215069040230016e-15,-51579106.56406186,0,-3.071299461501979e-06
9,0.9,5,600,-1.835987460951429e-34,-1.855796368994852e-34,-0.002531889157778284,-1.215069040230016e-15,-51579106.56406186,-3.071308094040781e-06,0
9,0.9,6,600,0.005500000000000001,-1.855796368987845e-34,-0.002531889157778284,0,51579106.56406186,-3.071195141994149e-06,0
9,0.9,7,600,0.005500000000000001,-0.002531889157778284,-0.002531889157778284,0,51579106.56406186,0,0
9,0.9,8,600,-1.835987460951429e-34,-0.002531889157778284,-0.002531889157778284,-6.559882621027539e-15,-51579106.56406186,0,0
10,1,1,600,-1.819455604637641e-34,-1.840447548560981e-34,-1.840447548574994e-34,-7.825622491330656e-16,-51753886.42514687,-3.031164953664597e-06,-3.031281170266398e-06
10,1,2,600,0.006,-1.840447548567987e-34,-1.840447548574994e-34,0,51753886.42514687,-3.031078141133779e-06,-3.030844634639495e-06
10,1,3,600,0.006,-0.002778996148138621,-1.840447548582e-34,0,51753886.42514687,0,-3.030501603530838e-06
10,1,4,600,-1.819455604644647e-34,-0.002778996148138621,-1.840447548582e-34,3.312182962977798e-16,-51753886.42514687,0,-3.030938139157741e-06
10,1,5,600,-1.819455604644647e-34,-1.840447548582e-34,-0.002778996148138621,3.312182962977798e-16,-51753886.42514687,-3.030704632663457e-06,0
10,1,6,600,0.006,-1.840447548582e-34,-0.002778996148138622,0,51753886.42514687,-3.030617820132639e-06,0
10,1,7,600,0.006,-0.002778996148138621,-0.002778996148138621,0,51753886.42514687,0,0
10,1,8,600,-1.819455604651654e-34,-0.00277899614813862,-0.002778996148138621,1.444998841728625e-15,-51753886.42514687,0,0
