stage,time_s,node,temperature_k,ux_m,uy_m,uz_m,reaction_heat_flux_w,rfx_n,rfy_n,rfz_n
4,0.004,7,600,0.02400000000000002,-1.76164592114901e-28,-1.76164592114901e-28,-1.900237701437733e-15,1596299999.110784,700547656.7526184,700547656.7526183
4,0.004,8,600,3.967054556445521e-28,-1.76164592114901e-28,-1.76164592114901e-28,1.485582411233589e-14,-1596299999.110784,700547656.7526182,700547656.7526181
5,0.005,1,600,3.943810096153851e-28,1.77181694503208e-28,1.77181694503208e-28,4.742141783271728e-15,-1989528970.723397,-878234931.3621852,-878234931.3621851
5,0.005,2,600,0.03000000000000003,1.771816945032081e-28,1.771816945032081e-28,-3.467558619332435e-15,1989528970.723397,-878234931.3621851,-878234931.3621851
5,0.005,3,600,0.03000000000000003,-1.771816945032081e-28,1.771816945032081e-28,-1.679916598716541e-15,1989528970.723397,878234931.362185,-878234931.3621851
5,0.005,4,600,3.943810096153851e-28,-1.771816945032081e-28,1.771816945032081e-28,-1.113716962967723e-14,-1989528970.723397,878234931.3621852,-878234931.3621852
5,0.005,5,600,3.94381009615385e-28,1.771816945032081e-28,-1.771816945032081e-28,-8.4522539192838e-15,-1989528970.723398,-878234931.3621852,878234931.3621851
5,0.005,6,600,0.03000000000000003,1.771816945032081e-28,-1.771816945032081e-28,6.963258933713773e-15,1989528970.723398,-878234931.3621852,878234931.3621852
5,0.005,7,600,0.03000000000000003,-1.771816945032081e-28,-1.771816945032081e-28,2.777764048721789e-15,1989528970.723397,878234931.3621852,878234931.3621851
5,0.005,8,600,3.94381009615385e-28,-1.77181694503208e-28,-1.77181694503208e-28,1.025373400130272e-14,-1989528970.723397,878234931.3621849,878234931.362185
6,0.006,1,600,1.537776188276072e-28,1.424774168705918e-28,8.968310171678829e-44,-4.429326259684444e-15,-2142094066.215021,-1020730992.812333,-878234931.3621857
6,0.006,2,600,0.03000000000000003,-1.424774168705916e-28,8.968310171678829e-44,-1.793866236353662e-15,1834538716.146485,-735776340.9693404,-878234931.3621858
6,0.006,3,600,0.03800000000000003,-1.424774168705918e-28,6.726232628759122e-44,-3.42341334138653e-15,2142094066.215021,1020730992.812333,-878234931.3621857
6,0.006,4,600,0.008,1.424774168705916e-28,1.569454280043795e-43,-1.89589722702984e-15,-1834538716.146485,735776340.9693406,-878234931.3621858
6,0.006,5,600,1.537776188276071e-28,1.424774168705918e-28,-1.121038771459854e-43,-6.996865061101233e-15,-2142094066.215021,-1020730992.812333,878234931.3621858
6,0.006,6,600,0.03000000000000003,-1.424774168705916e-28,-1.345246525751824e-43,6.072996836114885e-15,1834538716.146485,-735776340.9693404,878234931.3621857
6,0.006,7,600,0.03800000000000003,-1.424774168705918e-28,-4.484155085839415e-44,3.682319354780636e-15,2142094066.215021,1020730992.812333,878234931.3621858
