id,x,y,z,disp_x,disp_y,disp_z
42,0.3635492607468353,0.8776855558857224,0.5,-1.953325380479922e-07,-4.965194694840388e-07,1.844942933129971e-06
43,0.5000132097176421,0.7483226510722907,0.5,0,0,1.854999464659454e-06
44,6.123233995736766e-17,1,0,-5.310036319303021e-07,-1.171828362448628e-06,0
45,5.51091059616309e-17,0.9,0,0,0,0
46,6.123233995736766e-17,1,0.5,-5.349506701486097e-07,-1.171463589279298e-06,1.828590120256319e-06
47,5.51091059616309e-17,0.9,0.5,0,0,1.830434862581481e-06
48,0.1950903220161283,0.9807852804032304,0,-2.694242399699346e-07,-1.005492951228576e-06,0
49,5.817072295949927e-17,0.95,0,-3.151934992344799e-07,-5.922096693274794e-07,0
50,0.1755812898145155,0.8827067523629074,0,0,0,0
51,6.123233995736766e-17,1,0.25,-5.945085631505872e-07,-1.173109152771118e-06,9.213735579919771e-07
52,5.51091059616309e-17,0.9,0.25,0,0,9.199531524953457e-07
53,0.1950903220161283,0.9807852804032304,0.5,-2.69790484395307e-07,-1.004052698254364e-06,1.839195723845581e-06
54,5.817072295949927e-17,0.95,0.5,-3.178095007055116e-07,-5.91571714255969e-07,1.828851330384087e-06
55,0.1755812898145155,0.8827067523629074,0.5,0,0,1.838000826553774e-06
56,0.9,0,1,0,0,3.631568198569928e-06
57,1,0,1,-1.152425110536246e-06,-5.586707527216822e-07,3.614667807908606e-06
58,0.9238795325112867,0.3826834323650898,1,-9.393894513565789e-07,-4.592416953432264e-07,3.670801630241695e-06
59,0.831491579260158,0.3444150891285808,1,0,0,3.652387239730105e-06
60,0.9,0,0.75,0,0,2.752092417224259e-06
61,1,0,0.75,-1.148512888665821e-06,-6.195950134797751e-07,2.763227245737397e-06
62,0.9238795325112867,0.3826834323650898,0.75,-9.278956603736906e-07,-4.45113734719626e-07,2.774258819033697e-06
63,0.831491579260158,0.3444150891285808,0.75,0,0,2.768515057779399e-06
64,0.95,0,1,-5.847575144392753e-07,-3.297633642392348e-07,3.620219436057084e-06
65,0.9807852804032304,0.1950903220161282,1,-9.695540820804064e-07,-3.141875828746955e-07,3.615759042711152e-06
66,0.8776855558857224,0.3635492607468353,1,-4.74759950764662e-07,-2.342753700234611e-07,3.659024491842774e-06
67,0.8827067523629074,0.1755812898145154,1,0,0,3.619823088311566e-06
68,0.7071067811865476,0.7071067811865475,1,-6.982740996957597e-07,-7.644716030528077e-07,3.686819281137923e-06
69,0.6363961030678928,0.6363961030678927,1,0,0,3.68389079926596e-06
70,0.7071067811865476,0.7071067811865475,0.75,-6.947067111886822e-07,-7.635178968609101e-07,2.78000514887343e-06
71,0.6363961030678928,0.6363961030678927,0.75,0,0,2.775802356426875e-06
72,0.8314696123025452,0.5555702330196022,1,-8.266967479874494e-07,-6.10595085128899e-07,3.686749788101217e-06
73,0.6717514421272202,0.67175144212722,1,-3.597896842886472e-07,-3.939193699930542e-07,3.684254606520093e-06
74,0.7483226510722907,0.500013209717642,1,0,0,3.677210330187726e-06
75,0.3826834323650898,0.9238795325112867,1,-4.005726678687384e-07,-9.802852213224189e-07,3.654596850145379e-06
76,0.3444150891285809,0.831491579260158,1,0,0,3.643093876450401e-06
77,0.3826834323650898,0.9238795325112867,0.75,-3.860145966323466e-07,-9.760979917959965e-07,2.755051303825848e-06
78,0.3444150891285809,0.831491579260158,0.75,0,0,2.75111514704835e-06
79,0.5555702330196023,0.8314696123025452,1,-5.413261359828534e-07,-8.816347547912374e-07,3.678529895700911e-06
80,0.3635492607468353,0.8776855558857224,1,-2.031995496897175e-07,-4.951895900202866e-07,3.647475935670558e-06
81,0.5000132097176421,0.7483226510722907,1,0,0,3.672172578847e-06
82,6.123233995736766e-17,1,1,-5.422958994324268e-07,-1.168479522449058e-06,3.58592349488171e-06
83,5.51091059616309e-17,0.9,1,0,0,3.610989358982824e-06
84,6.123233995736766e-17,1,0.75,-6.0197752982421e-07,-1.170720616576543e-06,2.732144947294874e-06
85,5.51091059616309e-17,0.9,0.75,0,0,2.724912143364824e-06
86,0.1950903220161283,0.9807852804032304,1,-2.758619760289335e-07,-9.996063183035711e-07,3.592362579471394e-06
87,5.817072295949927e-17,0.95,1,-3.224708873123335e-07,-5.911314002089535e-07,3.597475186679192e-06
88,0.1755812898145155,0.8827067523629074,1,0,0,3.604027823494019e-06
89,1,0,0,-1.253655995520196e-06,0,0
90,1.1,0,0,-2.150346286548602e-06,0,0
91,1.016267485762415,0.4209517756015988,0,-1.770722979897561e-06,-1.046538128573481e-06,0
92,0.9238795325112867,0.3826834323650898,0,-9.46832913523826e-07,-6.62383000745322e-07,0
93,1,0,0.5,-1.253728424394981e-06,0,1.905366181321663e-06
94,1.1,0,0.5,-2.145729251153693e-06,0,1.911440805434706e-06
95,1.016267485762415,0.4209517756015988,0.5,-1.766875947265898e-06,-1.045086509064178e-06,1.910973079759099e-06
96,0.9238795325112867,0.3826834323650898,0.5,-9.47118331944164e-07,-6.629353382772065e-07,1.905229887202264e-06
97,1.05,0,0,-1.71282784929013e-06,0,0
