element,integration_point,current_x,current_y,current_z,ivol,vonmises_stress,effective_plastic_strain,effective_creep_strain
3,6,0.72185362778536877,0.49999999999999972,0.035124665490892076,0.012353924281879505,14055.10372740527,0,0
3,7,0.52811985398896311,0.96480276728174152,0.035197232718258253,0.007716705970033275,19655.88960378732,0,0
3,8,0.62493668875869057,0.96483542374741904,0.035164576252580737,0.012349149239230387,21767.58694622317,0,0
3,9,0.72175888006637523,0.96488001961681369,0.035119980383186235,0.0077201275555728319,27843.50628013466,0,0
3,10,0.52818564127720213,0.035203615699375426,0.49999999999999989,0.012348405714407013,4597.366165790845,0,0
3,11,0.62501695626230691,0.035170110296992116,0.50000000000000011,0.019761355940815125,7862.674243497202,0,0
3,12,0.72185362778536877,0.035124665490892139,0.49999999999999989,0.012353924281879515,14055.10372740527,0,0
3,13,0.52825142856544083,0.5,0.50000000000000011,0.019760130812335179,10200.88191919857,0,0
3,14,0.62509722376592303,0.50000000000000011,0.50000000000000022,0.031622516640484356,8628.35441241949,0,0
3,15,0.72194837550436253,0.5,0.5,0.019769030952715465,4648.212928533263,0,0
3,16,0.52818564127720213,0.96479638430062442,0.49999999999999994,0.012348405714407013,4597.366165790857,0,0
3,17,0.6250169562623068,0.96482988970300809,0.49999999999999989,0.019761355940815128,7862.674243497214,0,0
3,18,0.72185362778536888,0.96487533450910767,0.49999999999999989,0.012353924281879503,14055.10372740526,0,0
3,19,0.52811985398896322,0.03519723271825824,0.96480276728174175,0.007716705970033288,19655.88960378729,0,0
3,20,0.62493668875869057,0.035164576252580668,0.96483542374741904,0.012349149239230387,21767.58694622315,0,0
3,21,0.72175888006637523,0.035119980383186263,0.96488001961681358,0.0077201275555728302,27843.50628013466,0,0
3,22,0.52818564127720202,0.49999999999999989,0.96479638430062442,0.012348405714407007,4597.366165790857,0,0
3,23,0.62501695626230658,0.50000000000000011,0.96482988970300787,0.019761355940815125,7862.674243497206,0,0
3,24,0.72185362778536888,0.49999999999999983,0.96487533450910767,0.012353924281879498,14055.10372740528,0,0
3,25,0.52811985398896311,0.96480276728174152,0.96480276728174164,0.007716705970033281,19655.88960378731,0,0
3,26,0.62493668875869057,0.96483542374741904,0.96483542374741904,0.012349149239230391,21767.58694622316,0,0
3,27,0.72175888006637523,0.96488001961681347,0.96488001961681358,0.0077201275555728293,27843.50628013469,0,0
4,1,0.77811390024306126,0.035086577299364506,0.035086577299364499,0.0077226265037129427,27930.30414605903,0,0
4,2,0.87497120874360812,0.035026410300172173,0.035026410300172318,0.012363236327467988,17559.38663825552,0,0
4,3,0.97185857138399179,0.034969836963006012,0.034969836963005964,0.0077313008883925461,23037.39206311244,0,0
4,4,0.77821428783547353,0.49999999999999989,0.035090754210642033,0.01235671337198198,19827.05268757783,0,0
4,5,0.87507649749868177,0.5,0.035029689735361441,0.019782034099617249,15102.89044955298,0,0
4,6,0.97196876130172705,0.49999999999999989,0.034972218922106862,0.012370640456533136,26696.56468099837,0,0
4,7,0.77811390024306126,0.96491342270063529,0.035086577299364513,0.0077226265037129435,27930.30414605908,0,0
4,8,0.87497120874360812,0.96497358969982772,0.0350264103001722,0.012363236327467983,17559.38663825552,0,0
4,9,0.97185857138399179,0.96503016303699407,0.034969836963006019,0.0077313008883925565,23037.39206311249,0,0
4,10,0.7782142878354732,0.035090754210642061,0.49999999999999989,0.012356713371981975,19827.05268757784,0,0
4,11,0.87507649749868177,0.035029689735361476,0.50000000000000011,0.019782034099617259,15102.89044955299,0,0
4,12,0.97196876130172727,0.034972218922106856,0.5,0.012370640456533138,26696.56468099837,0,0
4,13,0.77831467542788502,0.5,0.5,0.019771558759630135,3880.628164702396,0,0
4,14,0.8751817862537552,0.5,0.5,0.031652623827314603,12893.41145828309,0,0
4,15,0.97207895121946231,0.5,0.5,0.019793919000958914,30384.52879677767,0,0
4,16,0.77821428783547353,0.96490924578935788,0.49999999999999989,0.01235671337198198,19827.05268757788,0,0
4,17,0.87507649749868166,0.96497031026463853,0.5,0.019782034099617259,15102.89044955299,0,0
4,18,0.97196876130172738,0.96502778107789311,0.49999999999999994,0.012370640456533145,26696.56468099831,0,0
4,19,0.77811390024306126,0.035086577299364506,0.9649134227006354,0.0077226265037129401,27930.30414605904,0,0
4,20,0.87497120874360834,0.035026410300172194,0.96497358969982772,0.012363236327467983,17559.38663825551,0,0
4,21,0.97185857138399179,0.034969836963005985,0.96503016303699396,0.0077313008883925271,23037.3920631125,0,0
4,22,0.77821428783547364,0.49999999999999989,0.96490924578935799,0.012356713371981997,19827.05268757786,0,0
4,23,0.87507649749868177,0.50000000000000011,0.96497031026463853,0.019782034099617256,15102.89044955299,0,0
4,24,0.97196876130172727,0.5,0.96502778107789333,0.012370640456533124,26696.56468099832,0,0
4,25,0.77811390024306126,0.96491342270063529,0.9649134227006354,0.007722626503712934,27930.30414605906,0,0
4,26,0.87497120874360834,0.96497358969982772,0.96497358969982772,0.012363236327467988,17559.3866382555,0,0
4,27,0.97185857138399179,0.96503016303699396,0.96503016303699396,0.0077313008883925418,23037.3920631125,0,0
5,1,1.0279203863607114,0.11101290199935418,0.11101290199935421,0.0053562634395440583,174627.3015662388,0.007462730156623878,7.455352385853093e-06
5,2,1.1238678864092597,0.11101685116562858,0.11101685116562852,0.0085697537007112072,174708.7805778339,0.007470878057783389,7.460013618061546e-06
5,3,1.2198143404581534,0.11101981150036923,0.11101981150036921,0.0053559558260258596,174865.5385433343,0.007486553854333423,7.472124245880317e-06
5,4,1.0279051264325512,0.49999999999999989,0.11091605096162807,0.0085674721737199026,178570.8234653314,0.007857082346533139,7.82000696253338e-06
5,5,1.1238001858650444,0.49999999999999994,0.11090886636828323,0.013707919598825016,178692.8503659593,0.007869285036595933,7.82911600789874e-06
5,6,1.2196941992978827,0.49999999999999989,0.11090069294340472,0.0085674708246562033,178856.9742618368,0.007885697426183679,7.842964362242352e-06
5,7,1.0279203863607114,0.88898709800064557,0.11101290199935421,0.0053562634395440505,174627.301566239,0.007462730156623905,7.455352385853132e-06
5,8,1.1238678864092599,0.88898314883437113,0.11101685116562854,0.0085697537007112055,174708.780577834,0.007470878057783395,7.460013618061561e-06
5,9,1.2198143404581536,0.88898018849963045,0.11101981150036921,0.0053559558260258692,174865.5385433341,0.007486553854333413,7.472124245880313e-06
5,10,1.0279051264325512,0.11091605096162806,0.49999999999999989,0.0085674721737199339,178570.8234653314,0.00785708234653314,7.820006962533365e-06
5,11,1.1238001858650444,0.11090886636828326,0.49999999999999983,0.013707919598825018,178692.8503659594,0.00786928503659594,7.829116007898731e-06
5,12,1.2196941992978827,0.1109006929434047,0.49999999999999989,0.0085674708246561964,178856.9742618368,0.007885697426183684,7.842964362242341e-06
5,13,1.027889866504391,0.5,0.5,0.013703870517423116,182671.9822313841,0.008267198223138414,8.211185450646526e-06
5,14,1.1237324853208284,0.5,0.49999999999999989,0.021926763283592502,182852.0808914094,0.008285208089140933,8.22643466207892e-06
5,15,1.2195740581376124,0.49999999999999994,0.5,0.013704653241496469,183047.7469875855,0.008304774698758547,8.244099742983014e-06
5,16,1.0279051264325512,0.88908394903837185,0.49999999999999989,0.0085674721737199165,178570.8234653315,0.007857082346533151,7.820006962533377e-06
5,17,1.1238001858650444,0.8890911336317171,0.49999999999999978,0.013707919598825025,178692.8503659595,0.007869285036595949,7.829116007898743e-06
5,18,1.2196941992978827,0.88909930705659512,0.49999999999999989,0.0085674708246561877,178856.9742618369,0.007885697426183693,7.842964362242353e-06
5,19,1.0279203863607114,0.11101290199935418,0.88898709800064568,0.0053562634395440617,174627.3015662389,0.007462730156623888,7.455352385853082e-06
5,20,1.1238678864092597,0.11101685116562855,0.88898314883437113,0.0085697537007112072,174708.780577834,0.007470878057783409,7.460013618061543e-06
5,21,1.2198143404581534,0.11101981150036926,0.88898018849963067,0.0053559558260258726,174865.5385433344,0.007486553854333437,7.472124245880307e-06
