stage,time_s,element,integration_point,x_m,y_m,z_m,temperature_k,s11_pa,s22_pa,s33_pa,s12_pa,s13_pa,s23_pa,e11,e22,e33,e12_engineering,e13_engineering,e23_engineering,ee11,ee22,ee33,ee12_engineering,ee13_engineering,ee23_engineering,pe11,pe22,pe33,pe12_engineering,pe13_engineering,pe23_engineering,peeq,ivol_m3
4,0.4,1,2,0.7886751345948151,0.2113248654051851,0.2113248654051851,600,-194059405.9405935,1.341104507446289e-07,2.086162567138672e-07,-2.751782429580914e-09,-2.944741683515534e-10,-1.463416111580475e-09,0.002000000000000001,-0.001194059405940594,-0.001194059405940594,3.218725199566341e-20,3.422013106907373e-19,-7.962109704190423e-20,-0.0009702970297029681,0.0002910891089108906,0.0002910891089108912,-3.577317158455189e-20,-3.828164188570185e-21,-1.902440945054617e-20,0.002970297029702969,-0.001485148514851484,-0.001485148514851485,6.79604235802153e-20,3.460294748793075e-19,-6.059668759135806e-20,0.002970297029703191,0.125
4,0.4,1,3,0.211324865405185,0.7886751345948151,0.2113248654051851,600,-194059405.9405933,1.71363353729248e-07,1.043081283569336e-07,-1.374268764359442e-08,-5.86614929418888e-10,2.638326044006481e-08,0.002,-0.001194059405940594,-0.001194059405940594,1.592421940838085e-19,2.710505431213761e-20,3.659182332138577e-19,-0.0009702970297029673,0.0002910891089108907,0.0002910891089108903,-1.786549393667275e-19,-7.625994082445543e-21,3.429823857208425e-19,0.002970297029702968,-0.001485148514851484,-0.001485148514851484,3.378971334505359e-19,3.473104839458316e-20,2.293584749301523e-20,0.00297029702970319,0.1250000000000001
4,0.4,1,4,0.7886751345948151,0.7886751345948151,0.211324865405185,600,-194059405.9405932,2.533197402954102e-07,2.235174179077148e-07,-1.374268764359443e-08,-9.653401549725332e-09,4.415855953918462e-08,0.002,-0.001194059405940594,-0.001194059405940594,1.592421940838085e-19,2.439454888092385e-19,-2.422514229147299e-19,-0.0009702970297029668,0.0002910891089108908,0.0002910891089108905,-1.786549393667275e-19,-1.254942201464293e-19,5.740612740094002e-19,0.002970297029702968,-0.001485148514851485,-0.001485148514851484,3.37897133450536e-19,3.694397089556678e-19,-8.163126969241302e-19,0.002970297029703189,0.125
4,0.4,1,5,0.211324865405185,0.211324865405185,0.7886751345948151,600,-194059405.9405935,5.960464477539062e-08,7.450580596923828e-08,2.320484032488989e-09,2.377345424789676e-08,-2.725225630365802e-08,0.002,-0.001194059405940594,-0.001194059405940594,-1.524659305057741e-19,6.403569081242511e-19,7.182839392716467e-19,-0.0009702970297029677,0.0002910891089108904,0.0002910891089108905,3.016629242235686e-20,3.090549052226579e-19,-3.542793319475543e-19,0.002970297029702968,-0.001485148514851484,-0.001485148514851485,-1.826322229281309e-19,3.313020029015931e-19,1.072563271219201e-18,0.00297029702970319,0.125
4,0.4,1,6,0.7886751345948151,0.211324865405185,0.788675134594815,600,-194059405.9405932,1.043081283569336e-07,4.470348358154297e-08,5.195030233578237e-09,2.251126908512275e-08,-3.824596943868645e-08,0.002000000000000001,-0.001194059405940594,-0.001194059405940594,-1.524659305057741e-19,7.047314121155779e-19,2.032879073410321e-19,-0.0009702970297029664,0.0002910891089108903,0.0002910891089108899,6.753539303651708e-20,2.926464981065957e-19,-4.971976027029239e-19,0.002970297029702968,-0.001485148514851484,-0.001485148514851484,-2.200013235422911e-19,4.120849140089822e-19,7.00485510043956e-19,0.002970297029703189,0.125
4,0.4,1,7,0.211324865405185,0.7886751345948151,0.7886751345948151,600,-194059405.9405937,-1.490116119384766e-08,-8.940696716308594e-08,1.299605732615996e-08,2.590924309248451e-09,-3.836768500783781e-09,0.002,-0.001194059405940594,-0.001194059405940594,-5.963111948670274e-19,1.084202172485504e-19,5.827586677109586e-19,-0.0009702970297029681,0.0002910891089108905,0.0002910891089108901,1.689487452400795e-19,3.368201602022986e-20,-4.987799051018914e-20,0.002970297029702968,-0.001485148514851484,-0.001485148514851484,-7.652599401071068e-19,7.473820122832058e-20,6.326366582211478e-19,0.00297029702970319,0.125
4,0.4,1,8,0.7886751345948151,0.7886751345948151,0.7886751345948151,600,-194059405.9405935,1.192092895507812e-07,-4.470348358154297e-08,2.438288550634486e-08,-1.772958252384211e-08,9.20551246409384e-09,0.002,-0.001194059405940594,-0.001194059405940594,-3.388131789017201e-19,5.421010862427522e-19,1.01643953670516e-20,-0.0009702970297029677,0.000291089108910891,0.0002910891089108899,3.169775115824831e-19,-2.304845728099474e-19,1.196716620332199e-19,0.002970297029702968,-0.001485148514851485,-0.001485148514851484,-6.557906904842032e-19,7.725856590526996e-19,-1.095072666661683e-19,0.00297029702970319,0.125
5,0.5,1,1,0.2113248654051851,0.211324865405185,0.211324865405185,600,-209783354.5730819,-5.960464477539062e-07,-5.662441253662109e-07,-5.081292854004989e-09,2.048896276548113e-10,-9.971261890135586e-09,-4.336808689942018e-19,-0.0002097833545730817,-0.0002097833545730828,-1.406074692442139e-19,1.084202172485504e-19,-8.809142651444724e-20,-0.001048916772865408,0.0003146750318596211,0.0003146750318596211,-6.605680710206487e-20,2.66356515951255e-21,-1.296264045717626e-19,0.001048916772865408,-0.0005244583864327028,-0.0005244583864327037,-7.4550662142149e-20,1.057566520890379e-19,4.153497805731535e-20,0.004891677286540752,0.1250000000000001
5,0.5,1,2,0.7886751345948151,0.2113248654051851,0.2113248654051851,600,-209783354.5730815,-5.960464477539062e-08,5.960464477539062e-08,-4.734267842320427e-09,-1.601282704646538e-09,-1.307068304192302e-09,8.673617379884035e-19,-0.0002097833545730819,-0.0002097833545730819,-1.236668102991278e-19,2.812149384884277e-19,-1.135024149320762e-19,-0.001048916772865407,0.000314675031859622,0.0003146750318596226,-6.154548195016555e-20,-2.0816675160405e-20,-1.699188795449993e-20,0.001048916772865408,-0.0005244583864327037,-0.0005244583864327047,-6.21213283489623e-20,3.020316136488327e-19,-9.651052697757632e-20,0.004891677286540753,0.125
5,0.5,1,3,0.211324865405185,0.7886751345948151,0.2113248654051851,600,-209783354.5730814,1.192092895507812e-07,1.490116119384766e-07,-2.048530546890083e-08,-8.580517613069519e-10,-1.898193442512533e-08,4.336808689942018e-19,-0.0002097833545730817,-0.0002097833545730821,-4.912791094074942e-19,0,-7.453889935837843e-19,-0.001048916772865408,0.0003146750318596226,0.0003146750318596225,-2.663089710957109e-19,-1.115467289699038e-20,-2.467651475266293e-19,0.001048916772865408,-0.0005244583864327041,-0.0005244583864327046,-2.249701383117833e-19,1.115467289699038e-20,-4.98623846057155e-19,0.00489167728654075,0.1250000000000001
