case,node,temperature_k,ux_m,uy_m,uz_m,rfl_w,rf_x_n,rf_y_n,rf_z_n
D12_PLUS,2,410,0.04800000000000001,-0.008,0.012,-66.39501810852819,6045068775.773341,-5290890449.016399,-5677705024.437475
D12_PLUS,3,445,0.068,0.036,-0.016,21.00298645302283,6728529669.470229,5797418629.578444,-5773396191.849415
D12_PLUS,4,385,-0.016,0.04399999999999999,0.008,-98.03990073801513,-6216787986.612522,5098314703.767301,-5772191683.678141
D12_PLUS,5,470,0.0120001,-0.02,0.056,44.8795247583761,-6598358432.072145,-5791883813.368027,5559820797.788162
D12_PLUS,6,430,0.04,0.016,0.04,25.05443464614019,6264346844.275482,-5142731642.176952,5732498439.99266
D12_PLUS,7,515,0.09200000000000001,0.064,0.07199999999999999,148.8188153219687,6783102638.662353,5984728309.457368,5906806024.905313
D12_PLUS,8,455,-0.032,0.028,0.04399999999999999,66.75644107899814,-6194704559.180493,5289528858.882788,5889478169.783123
D12_MINUS,1,360,6.454976050572e-27,5.474975559999999e-27,5.43987712e-27,-142.0772941452561,-6811199931.821429,-5944486624.270849,-5865311229.464641
D12_MINUS,2,410,0.04800000000000001,-0.008,0.012,-66.39502019964458,6045071792.914446,-5290890744.479298,-5677707067.58615
D12_MINUS,3,445,0.068,0.036,-0.016,21.00298708685684,6728534772.878231,5797420641.36882,-5773398257.948458
D12_MINUS,4,385,-0.016,0.04399999999999999,0.008,-98.03990605739635,-6216788904.996101,5098314971.643782,-5772191980.566996
D12_MINUS,5,470,0.0119999,-0.02,0.056,44.87953046254012,-6598363565.617205,-5791885821.288368,5559822803.904939
