case,node,temperature_k,ux_m,uy_m,uz_m,rfl_w,rf_x_n,rf_y_n,rf_z_n
D01_MINUS,1,360,6.454974710000002e-27,5.474974709999999e-27,5.43987727e-27,-142.0772916928817,-6811198602.239631,-5944485776.418776,-5865311045.099907
D01_MINUS,2,409.999,0.04800000000000001,-0.008,0.012,-66.39642297603487,6045070447.364016,-5290890763.739459,-5677706208.516079
D01_MINUS,3,445,0.068,0.036,-0.016,21.00299670700561,6728532383.347354,5797419801.829567,-5773397394.489819
D01_MINUS,4,385,-0.016,0.04399999999999999,0.008,-98.03955925618143,-6216788609.867798,5098315004.070984,-5772191998.488019
D01_MINUS,5,470,0.012,-0.02,0.056,44.87987605154903,-6598361157.715819,-5791884983.259054,5559821964.657569
D01_MINUS,6,430,0.04,0.016,0.04,25.05441892373592,6264347488.242779,-5142732139.315256,5732498938.678901
D01_MINUS,7,515,0.09200000000000001,0.064,0.07199999999999999,148.8191749212659,6783104294.550799,5984729493.724329,5906806356.567331
D01_MINUS,8,455,-0.032,0.028,0.04399999999999999,66.75680732154161,-6194706243.681702,5289529363.107663,5889479386.690026
D02_PLUS,1,360,6.45497441e-27,5.474974409999999e-27,5.43987697e-27,-142.0776378428612,-6811198275.317393,-5944485440.266449,-5865310712.204511
D02_PLUS,2,410,0.04800000000000001,-0.008,0.012,-66.39502909115207,6045070116.690564,-5290890425.010091,-5677705878.8888
D02_PLUS,3,445.001,0.068,0.036,-0.016,21.00439520614907,6728532054.391941,5797419464.389509,-5773397050.487932
D02_PLUS,4,385,-0.016,0.04399999999999999,0.008,-98.03987875311086,-6216788277.077985,5098314666.611752,-5772191661.028784
D02_PLUS,5,470,0.012,-0.02,0.056,44.87917691782894,-6598360835.45821,-5791884646.681224,5559821632.379645
D02_PLUS,6,430,0.04,0.016,0.04,25.0540646386194,6264347152.068072,-5142731798.895033,5732498603.318418
D02_PLUS,7,515,0.09200000000000001,0.064,0.07199999999999999,148.8188032316583,6783103970.176832,5984729155.876364,5906806021.758739
D02_PLUS,8,455,-0.032,0.028,0.04399999999999999,66.7561056928684,-6194705905.473819,5289529023.975174,5889479045.153226
D02_MINUS,1,360,6.454974710000002e-27,5.474974709999999e-27,5.43987727e-27,-142.076939714357,-6811198606.820361,-5944485781.128834,-5865311049.76432
D02_MINUS,2,410,0.04800000000000001,-0.008,0.012,-66.39500921701995,6045070451.99731,-5290890768.485621,-5677706213.134715
D02_MINUS,3,444.999,0.068,0.036,-0.016,21.00157833373015,6728532387.956573,5797419806.55767,-5773397399.309867
D02_MINUS,4,385,-0.016,0.04399999999999999,0.008,-98.03992804230181,-6216788614.530744,5098315008.799349,-5772192003.21638
D02_MINUS,5,470,0.012,-0.02,0.056,44.87987830308726,-6598361162.231191,-5791884987.975076,5559821969.313345
