creep_q0,creep_q1,creep_q2,creep_q3,id,plastic_q0,plastic_q1,plastic_q2,plastic_q3,stress_q0,stress_q1,stress_q2,stress_q3,x,y,z
2.0194300743637e-07,1.9941897278105e-07,1.9243464326577e-07,1.9003147939653e-07,74,0.00035911715949639,0.000355628100402,0.0003593144357851,0.00035565515485295,4953239.7982623,5084776.3820339,4336075.2273475,4511498.132954,0.00426375,0.002375,0
1.8089416520901e-07,1.9051111194749e-07,1.7715589108431e-07,1.8695383236511e-07,75,0.00034249312935971,0.00034827262123917,0.00034004314359443,0.00034595326541805,4945337.7625513,5290029.469367,4872557.7734672,5229725.6091211,0.00454925,0.002375,0
1.9284024685142e-07,1.8733666575962e-07,1.9446866388554e-07,1.8898322614784e-07,76,0.00035759731280884,0.00035317532975049,0.00035282852968201,0.00034874176269037,4526163.4668387,4535761.3644625,4855606.4959513,4850580.2873002,0.00426375,0.002625,0
1.7279466214898e-07,1.8118067709872e-07,1.7093870693973e-07,1.7937151511434e-07,77,0.00033609757091547,0.00034130735630491,0.00033469869285777,0.00034000511728282,4850287.5743117,5094762.2916657,4780433.6077834,5030768.0772188,0.00454925,0.002625,0
1.9277365513563e-07,1.870290748748e-07,1.8964057315783e-07,1.8430456139486e-07,78,0.00035059682498092,0.00034807282368298,0.00035100532851333,0.0003484085947221,4856740.0437335,4755437.4547017,4565143.5422191,4490370.5294586,0.00426375,0.002875,0
1.6849428853673e-07,1.7593909661442e-07,1.6801021726988e-07,1.7548850561828e-07,79,0.00033429337888992,0.00033732954241171,0.00033393445448766,0.00033697878054304,4536813.0686386,4865491.852696,4489757.7322244,4824567.9153665,0.00454925,0.002875,0
1.9036522604114e-07,1.8519474377309e-07,1.9065459496789e-07,1.8539129368387e-07,80,0.0003522727753108,0.00034781234803114,0.00035414462315339,0.00034956419919402,4426077.3483046,4577957.383648,4279109.398478,4441079.4688127,0.00426375,0.003125,0
1.6915835024668e-07,1.7457528440086e-07,1.6942922646332e-07,1.7484185006026e-07,81,0.00033219422391683,0.0003369593355076,0.00033263625885498,0.00033739333097134,4651233.9199032,4673722.191631,4622963.1205138,4647419.8884181,0.00454925,0.003125,0
1.9188862937995e-07,1.863363532953e-07,1.9741753479172e-07,1.9203067672922e-07,82,0.0003543683858982,0.00035075433096168,0.00035383579461872,0.00035040638250371,4451236.344348,4387361.1594006,4810250.6077422,4716418.0817188,0.00426375,0.003375,0
1.6864960525092e-07,1.7611798468142e-07,1.7088562461192e-07,1.7825316527345e-07,83,0.00033534646556752,0.00033970850558124,0.00033676797077252,0.00034107605466718,4369588.4207828,4544248.2811574,4368238.5750694,4540802.5225255,0.00454925,0.003375,0
1.9946768634892e-07,1.9582821576428e-07,2.0039716586949e-07,1.9650962489567e-07,84,0.00035530620964332,0.00035206410010994,0.00036221998794866,0.00035849104315081,4843099.5500528,4790352.3326475,4363383.8099314,4350353.3178654,0.00426375,0.003625,0
1.7610680536998e-07,1.8291349417438e-07,1.7897136347353e-07,1.857372779678e-07,85,0.00033891369762034,0.00034490732201557,0.00034143426247816,0.00034726521042345,4520763.9899017,4522727.027826,4510502.4480028,4517847.2362078,0.00454925,0.003625,0
2.0562680668332e-07,2.0063691109881e-07,2.15222329818e-07,2.0975513496098e-07,86,0.00036579533352753,0.00036204943938616,0.00036779962697606,0.00036407189276828,4419229.0751827,4326608.0618136,4867080.9856734,4749647.5266279,0.00426375,0.003875,0
1.8393000366381e-07,1.9350238833976e-07,1.8896285919368e-07,1.9832733664182e-07,87,0.00034483971611739,0.00035248732978205,0.00034845260513889,0.00035588564811043,4546644.7276318,4522655.9190907,4549045.9359754,4521690.5620875,0.00454925,0.003875,0
2.2241803371e-07,2.1682152452763e-07,2.3142078042912e-07,2.2567850754825e-07,88,0.00037001404477907,0.00036923526260462,0.00037730303256104,0.00037612072333679,5036378.161033,4762887.7307451,4791154.6172232,4544264.7039697,0.00426375,0.004125,0
1.9712674374797e-07,2.084109562044e-07,2.0371437391922e-07,2.1474337833182e-07,89,0.00035526768045578,0.00036236248440166,0.00036007052819553,0.0003668431880922,4420893.2799492,4516336.9301581,4424592.4727638,4521224.6502242,0.00454925,0.004125,0
2.4210405776338e-07,2.3666495893404e-07,2.5082829539425e-07,2.4434773897999e-07,90,0.00038584613714952,0.0003827203789606,0.00039459342321736,0.00039105330812842,4584157.730804,4663310.5487636,4451409.0852857,4533304.1020635,0.00426375,0.004375,0
2.1574739713179e-07,2.2666245133438e-07,2.2337114520288e-07,2.343162206464e-07,91,0.00036616827996262,0.00037523743613803,0.00037213620562157,0.00038081749858718,4704367.6880933,4519423.4573581,4698015.3921228,4512744.4930966,0.00454925,0.004375,0
2.673950686781e-07,2.6002519266322e-07,2.8474548087376e-07,2.7636182735533e-07,92,0.00040443127941417,0.00040083086325667,0.0004097710586465,0.00040610109524435,4706564.8285997,4524178.0338584,5206344.9668303,4985590.2270342,0.00426375,0.004625,0
2.3708602293089e-07,2.4665860748757e-07,2.4848049130267e-07,2.5761877832822e-07,93,0.00038389761962828,0.00038973441839268,0.00039131082756643,0.00039666266392831,4468765.421109,4548331.5769311,4492398.296691,4568049.2362184,0.00454925,0.004625,0
