T,disp_x,disp_y,id,x,y,z
676.33905461381,3.3075783179371e-06,1.6333776500743e-06,111,0.002987,0.002,0
671.3589993137,3.3454446160158e-06,1.6338915854096e-06,112,0.00309,0.002,0
666.24500848036,3.3758967428148e-06,1.6344565724182e-06,113,0.003193,0.002,0
661.00036376564,3.3987428081803e-06,1.6350710169106e-06,114,0.003296,0.002,0
655.6284219355,3.4137963193112e-06,1.6357326275334e-06,115,0.003399,0.002,0
650.13261180962,3.4208763457582e-06,1.6364383959568e-06,116,0.003502,0.002,0
644.51643112619,3.419807680071e-06,1.6371845815566e-06,117,0.003605,0.002,0
638.78344333423,3.4104209899072e-06,1.6379666920038e-06,118,0.003708,0.002,0
632.93727431585,3.3925529567546e-06,1.6387794446725e-06,119,0.003811,0.002,0
626.98160904127,3.3660464030723e-06,1.6396167004643e-06,120,0.003914,0.002,0
620.92018815947,3.3307504412038e-06,1.6404714291676e-06,121,0.004017,0.002,0
614.75680452756,3.2865207793978e-06,1.6413360325354e-06,122,0.00412,0.002,0
750.98412308995,1.504032752537e-07,2.462507552057e-06,123,0.000103,0.003,0
751.10816838252,0,2.4625636207268e-06,124,0,0.003,0
750.69475363302,3.0048064513034e-07,2.4623771683579e-06,125,0.000206,0.003,0
750.22370771708,4.500022366034e-07,2.4621663515256e-06,126,0.000309,0.003,0
749.56893235065,5.9870616777968e-07,2.4618763811419e-06,127,0.000412,0.003,0
748.73007235633,7.4632782560301e-07,2.4615101900567e-06,128,0.000515,0.003,0
747.7073245788,8.9260193341581e-07,2.4610718174545e-06,129,0.000618,0.003,0
746.50117312892,1.0372633222387e-06,2.460566256083e-06,130,0.000721,0.003,0
745.11230073378,1.1800473435981e-06,2.4599993738864e-06,131,0.000824,0.003,0
743.54155180327,1.3206901495599e-06,2.4593778531894e-06,132,0.000927,0.003,0
741.78991448229,1.4589289143929e-06,2.4587091323786e-06,133,0.00103,0.003,0
739.85851077962,1.5945020275761e-06,2.4580013451109e-06,134,0.001133,0.003,0
737.74859050536,1.7271492716919e-06,2.4572632552005e-06,135,0.001236,0.003,0
735.46152713939,1.8566119920351e-06,2.4565041864858e-06,136,0.001339,0.003,0
732.99881472732,1.9826332616727e-06,2.4557339474681e-06,137,0.001442,0.003,0
730.36206533667,2.1049580441524e-06,2.4549627507475e-06,138,0.001545,0.003,0
727.55300681747,2.2233333552407e-06,2.4542011274229e-06,139,0.001648,0.003,0
724.57348072016,2.3375084246207e-06,2.4534598367177e-06,140,0.001751,0.003,0
721.42544028287,2.4472348582186e-06,2.45274977118e-06,141,0.001854,0.003,0
718.11094843366,2.5522668016707e-06,2.452081857891e-06,142,0.001957,0.003,0
