effective_creep_strain,effective_plastic_strain,id,stress_xx,stress_xy,stress_xz,stress_yy,stress_yz,stress_zz,x,y,z
0.0002829956671188,0.00070973377640343,12,201423958.36032,10107.020193034,-559.19496117678,-4022.3547089891,3643.0562136216,13006.961207977,0.0005,0.0035,0.0005
0.00028300800359951,0.00071009561819348,13,201438027.82114,11202.514260153,-1378.5281414324,14520.961618978,7258.3314635177,21155.125720153,0.0015,0.0035,0.0005
0.00028294093626913,0.00070995725691936,14,201445371.02709,2053.1615019119,2965.2430025695,25798.683770652,7513.2237624992,25115.615899084,0.0025,0.0035,0.0005
0.00028245864631224,0.00070938126513797,15,201411657.95445,6173.5782090886,2552.8142152868,-7516.9989401484,3878.0961359597,-6691.1267549265,0.0035,0.0035,0.0005
0.00028297273341159,0.00070939662118853,16,201432165.93546,-1308.8658149022,360.1430629306,6359.4461111538,-1732.8181992563,20386.81906986,0.0005,0.0005,0.0015
0.00028301531902119,0.00071001648426701,17,201425756.70641,-7834.1054999348,1678.5390597008,-13082.200332986,-7966.1847536141,24538.886014996,0.0015,0.0005,0.0015
0.00028294481348232,0.00071006010990179,18,201417173.27149,10535.957369428,7809.3972015835,-22721.796797272,-7555.7395913035,16839.03273781,0.0025,0.0005,0.0015
0.00028245217099032,0.00070952404005779,19,201406204.90684,4019.0325888061,8267.0980543919,-22316.657176239,-558.84505549451,-3366.9117734674,0.0035,0.0005,0.0015
0.00028296290685313,0.00070913321567063,20,201422238.18447,-6324.5982878096,-6324.5982877911,3972.9895233326,-3078.2573780205,3972.9895233437,0.0005,0.0015,0.0015
0.00028302185859137,0.00070986932523111,21,201398048.37018,-11091.827152782,-11091.827152771,-21684.295938078,-14215.213931849,-21684.295938075,0.0015,0.0015,0.0015
0.00028293866940474,0.00070985813170363,22,201389674.49674,19553.270508714,19553.270508675,-30032.330698039,-13292.733604922,-30032.330698021,0.0025,0.0015,0.0015
0.00028233553160076,0.00070915605187001,23,201396743.41112,14806.26578615,14806.26578617,-21564.631884894,-435.30164332122,-21564.631884865,0.0035,0.0015,0.0015
0.0002829818997892,0.00070927458826463,24,201421309.40989,17260.060301936,-6649.648620646,208.65866603423,5823.6344116474,5319.2220050711,0.0005,0.0025,0.0015
0.00028304336057372,0.00070987846196615,25,201399483.5056,28967.062325503,-11822.462785322,-17846.745330309,17577.342490678,-22674.800835235,0.0015,0.0025,0.0015
0.0002829610959343,0.00070975907982125,26,201394925.73812,-15164.141416503,18220.585737526,-20522.525349692,18416.206740813,-28642.761640789,0.0025,0.0025,0.0015
0.00028224121718426,0.00070911650963676,27,201401701.3744,-4094.3407743578,14185.755575014,-15432.404676031,7604.161537827,-17625.164189637,0.0035,0.0025,0.0015
0.0002829991790356,0.00070965718276718,28,201425216.67118,12640.199375336,-675.76883509234,-5882.1885238448,6776.1270861103,17692.153657699,0.0005,0.0035,0.0015
0.00028302383440536,0.00071007461529825,29,201440366.39838,21021.961232025,-528.77119581129,5896.5089991819,16225.662920845,34552.529121678,0.0015,0.0035,0.0015
0.00028294886893198,0.00070990798584536,30,201447484.18667,-8596.3184025657,5032.5090413535,15995.772658901,16494.256258806,39349.840437505,0.0025,0.0035,0.0015
0.00028238608686237,0.00070930041505376,31,201414552.09831,2735.2772506127,6329.7307245731,-10173.638722145,6398.4503054598,2078.2258231118,0.0035,0.0035,0.0015
0.00028299596658287,0.00070954925558405,32,201429628.35462,-1267.5647700882,10279.30254754,8601.3424611744,4715.1526096947,12460.633727338,0.0005,0.0005,0.0025
