time,node,r,z,temperature,ur,uz,rf_r,rf_z,reaction_heat
0.4000000059604645,3,0.005,0.01,616.0,4.0000000000000003e-05,0.00016000000000000001,-5307.3903550446767,68.739609039891292,-33.118500845767194
0.4000000059604645,4,0.004,0.01,640.0,8.0000000000000007e-05,0.00016000000000000001,5386.6850116228852,55.015351412145925,42.75229474631037
0.5,1,0.004,0.0,650.0,0.0001,3.888010191575828e-51,6734.8661141863186,-63.059872457218823,52.53461638685222
0.5,2,0.005,0.0,620.0,5.0000000000000002e-05,5.2495749074610766e-51,-6643.8415731333453,-82.674079514466385,-42.93015503426078
0.5,3,0.005,0.01,620.0,5.0000000000000002e-05,0.00020000000000000001,-6643.8415731333462,82.674079514466428,-42.930155034260764
0.5,4,0.004,0.01,650.0,0.0001,0.00020000000000000001,6734.8661141863186,63.059872457218766,52.5346163868522
0.6000000238418579,1,0.004,0.0,660.0,0.00010999999999999999,1.6198651768049435e-34,1372.6005993499132,-230.3201051919749,62.441518095523904
0.6000000238418579,2,0.005,0.0,624.0,8.9999999999999992e-05,1.6036319636972266e-34,-658.72217279403344,-255.79385015839097,-52.54208909010315
0.6000000238418579,3,0.005,0.01,624.0,8.9999999999999992e-05,0.00014000000000000004,-658.72217279403299,255.79385015839105,-52.54208909010313
0.6000000238418579,4,0.004,0.01,660.0,0.00010999999999999999,0.00014000000000000004,1372.6005993499125,230.32010519197482,62.44151809552389
0.699999988079071,1,0.004,0.0,670.0,0.00011999999999999999,4.276423536147513e-50,-3649.9092059054633,-397.46440130505357,69.88184084465401
0.699999988079071,2,0.005,0.0,628.0,0.00012999999999999999,4.276423536147513e-50,4980.7557592673356,-426.91679961467611,-59.68856347303457
0.699999988079071,3,0.005,0.01,628.0,0.00012999999999999999,8.0000000000000047e-05,4980.7557592673365,426.91679961467617,-59.688563473034606
0.699999988079071,4,0.004,0.01,670.0,0.00011999999999999999,8.0000000000000047e-05,-3649.9092059054633,397.4644013050534,69.88184084465405
0.800000011920929,1,0.004,0.0,680.0,0.00012999999999999999,-2.3520329448811322e-49,-8350.301993379866,-564.17755940498228,76.8778766621321
0.800000011920929,2,0.005,0.0,632.0,0.00016999999999999996,-2.7796752984958835e-49,10290.723254898279,-595.49437977744287,-66.39192449766563
0.800000011920929,3,0.005,0.01,632.0,0.00016999999999999996,2.0000000000000046e-05,10290.723254898279,595.4943797774431,-66.39192449766564
0.800000011920929,4,0.004,0.01,680.0,0.00012999999999999999,2.0000000000000046e-05,-8350.301993379866,564.17755940498205,76.87787666213212
0.8999999761581421,1,0.004,0.0,690.0,0.00013999999999999999,2.6480106513662973e-49,-12744.856011053742,-730.16659769805051,83.46630076108366
0.8999999761581421,2,0.005,0.0,636.0,0.00020999999999999995,2.773831139748827e-49,15286.047324468534,-760.99623321194576,-72.6889016638429
0.8999999761581421,3,0.005,0.01,636.0,0.00020999999999999995,-3.9999999999999942e-05,15286.047324468533,760.99623321194599,-72.68890166384287
0.8999999761581421,4,0.004,0.01,690.0,0.00013999999999999999,-3.9999999999999942e-05,-12744.856011053744,730.16659769805005,83.46630076108364
1.0,1,0.004,0.0,700.0,0.00014999999999999999,-1.2380247031977007e-50,-16848.636526125265,-895.1596058829557,89.67967444783243
1.0,2,0.005,0.0,640.0,0.00024999999999999995,-1.3665086504381945e-50,19980.472536788649,-922.90914867236529,-78.61211056461116
1.0,3,0.005,0.01,640.0,0.00024999999999999995,-9.9999999999999937e-05,19980.472536788649,922.90914867236529,-78.61211056461119
1.0,4,0.004,0.01,700.0,0.00014999999999999999,-9.9999999999999937e-05,-16848.636526125265,895.1596058829557,89.67967444783247
