task	status	started_utc	finished_utc	runner	arguments	log
090_run_b9_rz	success	2026-09-13T15:09:12.2581133Z	2026-09-13T15:09:16.3291158Z	../production/run_b9_rz.ps1	"{""Cases"": ""b93_cax4rt_small_coupled"", ""DestinationDirectory"": ""$SOURCE""}"	logs/090_run_b9_rz.log
091_run_b9_rz	success	2026-09-13T15:09:16.4761114Z	2026-09-13T15:09:20.4102505Z	../production/run_b9_rz.ps1	"{""Cases"": ""b94_cax4rt_finite_coupled"", ""DestinationDirectory"": ""$SOURCE""}"	logs/091_run_b9_rz.log
092_run_b9_rz	success	2026-09-13T15:09:17.0302883Z	2026-09-13T15:09:21.0585021Z	../production/run_b9_rz.ps1	"{""Cases"": ""b95_cax4rt_small_creep"", ""DestinationDirectory"": ""$SOURCE""}"	logs/092_run_b9_rz.log
093_run_b9_rz	success	2026-09-13T15:09:17.1137844Z	2026-09-13T15:09:23.2806836Z	../production/run_b9_rz.ps1	"{""Cases"": ""b96_cax4rt_finite_creep"", ""DestinationDirectory"": ""$SOURCE""}"	logs/093_run_b9_rz.log
094_run_b9_rz	success	2026-09-13T15:09:17.5911108Z	2026-09-13T15:09:23.6080463Z	../production/run_b9_rz.ps1	"{""Cases"": ""b97_cax4rt_small_plastic"", ""DestinationDirectory"": ""$SOURCE""}"	logs/094_run_b9_rz.log
095_run_b9_rz	success	2026-09-13T15:09:17.6755331Z	2026-09-13T15:09:23.8610353Z	../production/run_b9_rz.ps1	"{""Cases"": ""b98_cax4rt_finite_plastic"", ""DestinationDirectory"": ""$SOURCE""}"	logs/095_run_b9_rz.log
096_run_b9_rz	success	2026-09-13T15:09:18.8036514Z	2026-09-13T15:09:22.7432845Z	../production/run_b9_rz.ps1	"{""Cases"": ""b99_cax4rt_small_thermal"", ""DestinationDirectory"": ""$SOURCE""}"	logs/096_run_b9_rz.log
097_run_b9_rz	success	2026-09-13T15:09:21.2964248Z	2026-09-13T15:09:25.2713577Z	../production/run_b9_rz.ps1	"{""Cases"": ""b911_cax4rt_small_contact"", ""DestinationDirectory"": ""$SOURCE""}"	logs/097_run_b9_rz.log
098_run_b9_rz	success	2026-09-13T15:09:22.4271842Z	2026-09-13T15:09:26.3979205Z	../production/run_b9_rz.ps1	"{""Cases"": ""b912_cax4rt_finite_contact"", ""DestinationDirectory"": ""$SOURCE""}"	logs/098_run_b9_rz.log
099_run_b9_rz	success	2026-09-13T15:09:23.5297286Z	2026-09-13T15:09:29.6426041Z	../production/run_b9_rz.ps1	"{""Cases"": ""b913_cax4rt_small_friction"", ""DestinationDirectory"": ""$SOURCE""}"	logs/099_run_b9_rz.log
100_run_b9_rz	success	2026-09-13T15:09:23.8491797Z	2026-09-13T15:09:30.0443582Z	../production/run_b9_rz.ps1	"{""Cases"": ""b914_cax4rt_finite_sliding"", ""DestinationDirectory"": ""$SOURCE""}"	logs/100_run_b9_rz.log
101_run_b9_rz	success	2026-09-13T15:09:24.1009580Z	2026-09-13T15:09:28.1518943Z	../production/run_b9_rz.ps1	"{""Cases"": ""b915_cax4rt_thermal_identification"", ""DestinationDirectory"": ""$SOURCE""}"	logs/101_run_b9_rz.log
102_run_b9_rz	success	2026-09-13T15:09:25.2488890Z	2026-09-13T15:09:29.2042533Z	../production/run_b9_rz.ps1	"{""Cases"": ""b916_cax4rt_variable_conductivity"", ""DestinationDirectory"": ""$SOURCE""}"	logs/102_run_b9_rz.log
103_run_b10_rz	success	2026-09-13T15:09:26.5552517Z	2026-09-13T15:09:30.7554673Z	../production/run_b10_rz.ps1	"{""Cases"": ""b100_cax8t_small_probe"", ""DestinationDirectory"": ""$SOURCE""}"	logs/103_run_b10_rz.log
104_run_b10_rz	success	2026-09-13T15:09:27.6997366Z	2026-09-13T15:09:31.7522770Z	../production/run_b10_rz.ps1	"{""Cases"": ""b102_cax8t_small_contact"", ""DestinationDirectory"": ""$SOURCE""}"	logs/104_run_b10_rz.log
105_run_b10_rz	success	2026-09-13T15:09:29.4586936Z	2026-09-13T15:09:35.6029279Z	../production/run_b10_rz.ps1	"{""Cases"": ""b103_cax8t_finite_contact"", ""DestinationDirectory"": ""$SOURCE""}"	logs/105_run_b10_rz.log
106_run_b10_rz	success	2026-09-13T15:09:29.8797461Z	2026-09-13T15:09:36.0357856Z	../production/run_b10_rz.ps1	"{""Cases"": ""b104_cax8t_small_coupled"", ""DestinationDirectory"": ""$SOURCE""}"	logs/106_run_b10_rz.log
107_run_b10_rz	success	2026-09-13T15:09:30.2918227Z	2026-09-13T15:09:34.3964994Z	../production/run_b10_rz.ps1	"{""Cases"": ""b105_cax8t_finite_coupled"", ""DestinationDirectory"": ""$SOURCE""}"	logs/107_run_b10_rz.log
108_run_b10_rz	success	2026-09-13T15:09:31.0046478Z	2026-09-13T15:09:37.2101115Z	../production/run_b10_rz.ps1	"{""Cases"": ""b106_cax8t_small_creep"", ""DestinationDirectory"": ""$SOURCE""}"	logs/108_run_b10_rz.log
109_run_b10_rz	success	2026-09-13T15:09:32.0093949Z	2026-09-13T15:09:38.0719862Z	../production/run_b10_rz.ps1	"{""Cases"": ""b107_cax8t_finite_creep"", ""DestinationDirectory"": ""$SOURCE""}"	logs/109_run_b10_rz.log
110_run_b10_rz	success	2026-09-13T15:09:33.1482207Z	2026-09-13T15:09:37.1582889Z	../production/run_b10_rz.ps1	"{""Cases"": ""b108_cax8t_small_plastic"", ""DestinationDirectory"": ""$SOURCE""}"	logs/110_run_b10_rz.log
111_run_b10_rz	success	2026-09-13T15:09:35.6897598Z	2026-09-13T15:09:39.7596838Z	../production/run_b10_rz.ps1	"{""Cases"": ""b109_cax8t_finite_plastic"", ""DestinationDirectory"": ""$SOURCE""}"	logs/111_run_b10_rz.log
112_run_b10_rz	success	2026-09-13T15:09:36.3312583Z	2026-09-13T15:09:40.3328538Z	../production/run_b10_rz.ps1	"{""Cases"": ""b110_cax8t_small_thermal"", ""DestinationDirectory"": ""$SOURCE""}"	logs/112_run_b10_rz.log
113_run_b10_rz	success	2026-09-13T15:09:37.3970491Z	2026-09-13T15:09:43.6546217Z	../production/run_b10_rz.ps1	"{""Cases"": ""b112_cax8t_small_friction"", ""DestinationDirectory"": ""$SOURCE""}"	logs/113_run_b10_rz.log
114_run_b10_rz	success	2026-09-13T15:09:38.3285531Z	2026-09-13T15:09:44.4536981Z	../production/run_b10_rz.ps1	"{""Cases"": ""b113_cax8t_finite_sliding"", ""DestinationDirectory"": ""$SOURCE""}"	logs/114_run_b10_rz.log
115_run_b10_rz	success	2026-09-13T15:09:38.4171841Z	2026-09-13T15:09:44.5325327Z	../production/run_b10_rz.ps1	"{""Cases"": ""b114_cax8t_recovery"", ""DestinationDirectory"": ""$SOURCE""}"	logs/115_run_b10_rz.log
116_run_b12_rz	success	2026-09-13T15:09:39.5546117Z	2026-09-13T15:09:43.5943867Z	../production/run_b12_rz.ps1	"{""Cases"": ""b120_cax8rt_small_probe"", ""DestinationDirectory"": ""$SOURCE""}"	logs/116_run_b12_rz.log
117_run_b12_rz	success	2026-09-13T15:09:40.5773322Z	2026-09-13T15:09:44.5948580Z	../production/run_b12_rz.ps1	"{""Cases"": ""b122_cax8rt_small_contact"", ""DestinationDirectory"": ""$SOURCE""}"	logs/117_run_b12_rz.log
118_run_b12_rz	success	2026-09-13T15:09:41.7172104Z	2026-09-13T15:09:45.7046375Z	../production/run_b12_rz.ps1	"{""Cases"": ""b123_cax8rt_finite_contact"", ""DestinationDirectory"": ""$SOURCE""}"	logs/118_run_b12_rz.log
119_run_b12_rz	success	2026-09-13T15:09:43.9074430Z	2026-09-13T15:09:48.3212342Z	../production/run_b12_rz.ps1	"{""Cases"": ""b124_cax8rt_small_coupled"", ""DestinationDirectory"": ""$SOURCE""}"	logs/119_run_b12_rz.log
120_run_b12_rz	success	2026-09-13T15:09:44.6950482Z	2026-09-13T15:09:50.8818679Z	../production/run_b12_rz.ps1	"{""Cases"": ""b125_cax8rt_finite_coupled"", ""DestinationDirectory"": ""$SOURCE""}"	logs/120_run_b12_rz.log
121_run_b12_rz	success	2026-09-13T15:09:44.8301200Z	2026-09-13T15:09:50.9206999Z	../production/run_b12_rz.ps1	"{""Cases"": ""b126_cax8rt_small_creep"", ""DestinationDirectory"": ""$SOURCE""}"	logs/121_run_b12_rz.log
122_run_b12_rz	success	2026-09-13T15:09:44.9192647Z	2026-09-13T15:09:50.9472904Z	../production/run_b12_rz.ps1	"{""Cases"": ""b127_cax8rt_finite_creep"", ""DestinationDirectory"": ""$SOURCE""}"	logs/122_run_b12_rz.log
