geometry	element	local_node	node	rule	weight_m3	prediction_w	native_rfl_w	relative_error	absolute_error_w
regular	8	8	64	current_corner	0.09043426562499984	542605.5937499991	518957.86718749977	0.04556771957357256	23647.7265624993
regular	8	8	64	current_row_sum	0.08782579456018506	526954.7673611104	518957.86718749977	0.015409536456109594	7996.900173610658
regular	8	8	64	reference_gauss_volume_ratio	0.08649297786458335	518957.8671875001	518957.86718749977	6.729755680813712e-16	3.4924596548080444e-10
regular	8	8	64	reference_corner_volume_ratio	0.0864929778645833	518957.8671874998	518957.86718749977	1.1216259468022854e-16	5.820766091346741e-11
regular	8	8	64	reference_gauss_determinant_average_f	0.08648712597656252	518922.7558593751	518957.86718749977	6.765737711027899e-05	35.111328124650754
regular	8	8	64	native_ivol	0.08649297786458329	518957.86718749977	518957.86718749977	0.0	0.0
warped	9	1	65	reference_gauss	0.15233523564835924	914011.4138901555	1131893.6117460157	0.19249353083613882	217882.19785586023
warped	9	1	65	reference_corner	0.13646875000000006	818812.5000000003	1131893.6117460157	0.2765994157905604	313081.1117460154
warped	9	1	65	current_gauss	0.18620339943997594	1117220.3966398556	1131893.6117460157	0.012963422492972469	14673.215106160147
warped	9	1	65	current_corner	0.16795287500000008	1007717.2500000005	1131893.6117460157	0.10970674315801249	124176.36174601526
warped	9	1	65	current_row_sum	0.19457783188657402	1167466.991319444	1131893.6117460157	0.031428200675639624	35573.379573428305
warped	9	1	65	reference_gauss_volume_ratio	0.18864893529100266	1131893.611746016	1131893.6117460157	2.0570011283544042e-16	2.3283064365386963e-10
warped	9	1	65	reference_corner_volume_ratio	0.16900019406817596	1014001.1644090557	1131893.6117460157	0.10415506025791914	117892.44733696
warped	9	1	65	reference_gauss_determinant_average_f	0.18862411695957895	1131744.7017574736	1131893.6117460157	0.00013155829045839788	148.90998854208738
warped	9	1	65	native_ivol	0.18864893529100263	1131893.6117460157	1131893.6117460157	0.0	0.0
warped	10	2	74	reference_gauss	0.15730243156300722	943814.5893780433	1168801.2733264228	0.19249353083614001	224986.68394837948
warped	10	2	74	reference_corner	0.15962500000000007	957750.0000000005	1168801.2733264228	0.180570707906373	211051.27332642232
warped	10	2	74	current_gauss	0.18952855232968055	1137171.3139780832	1168801.2733264228	0.027061879611339174	31629.959348339587
warped	10	2	74	current_corner	0.186239875	1117439.25	1168801.2733264228	0.04394418837365383	51362.023326422786
warped	10	2	74	current_row_sum	0.1941156524884259	1164693.9149305555	1168801.2733264228	0.003514163176925441	4107.3583958672825
warped	10	2	74	reference_gauss_volume_ratio	0.1948002122210702	1168801.2733264212	1168801.2733264228	1.39443252054185e-15	1.6298145055770874e-09
warped	10	2	74	reference_corner_volume_ratio	0.19767643492105397	1186058.6095263239	1168801.2733264228	0.014764987507916102	17257.336199901067
warped	10	2	74	reference_gauss_determinant_average_f	0.19477458463816943	1168647.5078290165	1168801.2733264228	0.00013155829045995786	153.76549740624614
warped	10	2	74	native_ivol	0.19480021222107047	1168801.2733264228	1168801.2733264228	0.0	0.0
warped	11	3	83	reference_gauss	0.13523398686603305	811403.9211961983	1004826.5273173254	0.192493530836138	193422.60612112703
warped	11	3	83	reference_corner	0.10518749999999999	631124.9999999999	1004826.5273173254	0.3719065103854589	373701.52731732547
warped	11	3	83	current_gauss	0.17716227171149906	1062973.6302689945	1004826.5273173254	0.05786780242248343	58147.102951669134
warped	11	3	83	current_corner	0.15487371874999978	929242.3124999987	1004826.5273173254	0.075221157844151	75584.21481732663
warped	11	3	83	current_row_sum	0.18882035011574055	1132922.1006944433	1004826.5273173254	0.1274802862929048	128095.57337711798
warped	11	3	83	reference_gauss_volume_ratio	0.167471087886221	1004826.527317326	1004826.5273173254	6.951368340428222e-16	6.984919309616089e-10
warped	11	3	83	reference_corner_volume_ratio	0.13026211431955112	781572.6859173067	1004826.5273173254	0.22218147643460337	223253.84140001866
warped	11	3	83	reference_gauss_determinant_average_f	0.1674490556761974	1004694.3340571843	1004826.5273173254	0.00013155829045834844	132.19326014106628
warped	11	3	83	native_ivol	0.1674710878862209	1004826.5273173254	1004826.5273173254	0.0	0.0
warped	12	4	92	reference_gauss	0.15778250719944623	946695.0431966773	1172368.3702211594	0.1924935308361401	225673.32702448207
warped	12	4	92	reference_corner	0.16449999999999995	986999.9999999998	1172368.3702211594	0.15811444161206017	185368.37022115965
warped	12	4	92	current_gauss	0.18944131913683485	1136647.9148210092	1172368.3702211594	0.03046862770053396	35720.45540015027
warped	12	4	92	current_corner	0.18339840625000017	1100390.437500001	1172368.3702211594	0.061395321256901815	71977.93272115849
warped	12	4	92	current_row_sum	0.19447939814814805	1166876.3888888883	1172368.3702211594	0.0046845185112210945	5491.981332271127
warped	12	4	92	reference_gauss_volume_ratio	0.19539472837019295	1172368.3702211578	1172368.3702211594	1.3901897620025639e-15	1.6298145055770874e-09
warped	12	4	92	reference_corner_volume_ratio	0.20371353825850183	1222281.229551011	1172368.3702211594	0.04257438241909908	49912.85932985158
warped	12	4	92	reference_gauss_determinant_average_f	0.19536902257376373	1172214.1354425824	1172368.3702211594	0.0001315582904611294	154.23477857699618
warped	12	4	92	native_ivol	0.19539472837019325	1172368.3702211594	1172368.3702211594	0.0	0.0
warped	13	5	101	reference_gauss	0.17779552702285578	1066773.1621371347	1321070.7317821681	0.1924935308361405	254297.56964503345
