case	capacity_rule	conduction_rule	samples	maximum_absolute_error_w	maximum_absolute_increment	maximum_absolute_node	relative_l2
original_friction_heat	current_row_sum	current_volume_ratio	160	20.40277418360074	20	24	0.0015138437406820653
original_friction_heat	current_row_sum	midpoint_physical	160	24.201628437913314	20	24	0.0017514528700275525
original_friction_heat	current_row_sum	midpoint_volume_ratio	160	21.83550166504483	20	24	0.001664681395775737
original_friction_heat	current_row_sum	native_hfl_current	160	20.402774183598922	20	24	0.0015138437406819341
original_friction_heat	current_row_sum	native_hfl_midpoint	160	20.579939484910938	20	24	0.0015727252546409625
original_friction_heat	native_ivol	current_physical	160	2.496594312903653	20	24	0.00014269602483602542
original_friction_heat	native_ivol	current_volume_ratio	160	2.1827872842550278e-11	11	15	1.6805977845899698e-15
original_friction_heat	native_ivol	midpoint_physical	160	3.798854254321668	20	24	0.0002455731476653987
original_friction_heat	native_ivol	midpoint_volume_ratio	160	1.4327274814540942	20	24	0.00015775706349758232
original_friction_heat	native_ivol	native_hfl_current	160	2.1373125491663814e-11	11	15	1.668718911334647e-15
original_friction_heat	native_ivol	native_hfl_midpoint	160	1.1058049201601534	20	15	9.466493479704149e-05
no_friction_heat	current_gauss	current_physical	160	37.48386029610447	20	24	0.00270389526835195
no_friction_heat	current_gauss	current_volume_ratio	160	34.987226413759345	20	24	0.002612730708602501
no_friction_heat	current_gauss	midpoint_physical	160	38.78613906046303	20	24	0.002849258386144277
no_friction_heat	current_gauss	midpoint_volume_ratio	160	36.4199770735886	20	24	0.0027636591623581928
no_friction_heat	current_gauss	native_hfl_current	160	34.987226413758435	20	24	0.0026127307086024013
no_friction_heat	current_gauss	native_hfl_midpoint	160	35.16439430880564	20	24	0.002671560430057548
no_friction_heat	current_corner	current_physical	160	61.976748108047104	20	24	0.004581404090205304
no_friction_heat	current_corner	current_volume_ratio	160	59.48011422570198	20	24	0.00449310256209769
no_friction_heat	current_corner	midpoint_physical	160	63.279026872405666	20	24	0.00472819897102639
no_friction_heat	current_corner	midpoint_volume_ratio	160	60.912864885531235	20	24	0.004644478182483456
no_friction_heat	current_corner	native_hfl_current	160	59.48011422570107	20	24	0.0044931025620975635
no_friction_heat	current_corner	native_hfl_midpoint	160	59.65728212074828	20	24	0.00455267487695991
no_friction_heat	reference_gauss_volume_ratio	current_physical	160	2.4966338823542173	20	24	0.00014269755949256185
no_friction_heat	reference_gauss_volume_ratio	current_volume_ratio	160	2.4556356947869062e-11	11	18	1.910367962974525e-15
no_friction_heat	reference_gauss_volume_ratio	midpoint_physical	160	3.798912646712779	20	24	0.00024557580862516297
no_friction_heat	reference_gauss_volume_ratio	midpoint_volume_ratio	160	1.432750659838348	20	24	0.0001577589013928763
no_friction_heat	reference_gauss_volume_ratio	native_hfl_current	160	2.3646862246096134e-11	11	18	1.835141203478678e-15
no_friction_heat	reference_gauss_volume_ratio	native_hfl_midpoint	160	1.105822276723302	20	15	9.466589430768446e-05
no_friction_heat	reference_corner_volume_ratio	current_physical	160	2.4966338823523984	20	24	0.00014269755949247438
no_friction_heat	reference_corner_volume_ratio	current_volume_ratio	160	2.2737367544323206e-11	11	18	1.813976344995698e-15
no_friction_heat	reference_corner_volume_ratio	midpoint_physical	160	3.79891264671096	20	24	0.00024557580862494906
no_friction_heat	reference_corner_volume_ratio	midpoint_volume_ratio	160	1.432750659836529	20	24	0.00015775890139261276
no_friction_heat	reference_corner_volume_ratio	native_hfl_current	160	2.2737367544323206e-11	15	15	1.762752242236559e-15
no_friction_heat	reference_corner_volume_ratio	native_hfl_midpoint	160	1.1058222767223924	20	15	9.466589430747667e-05
no_friction_heat	current_row_sum	current_physical	160	22.89926256999388	20	24	0.001607632554679301
no_friction_heat	current_row_sum	current_volume_ratio	160	20.402628687648757	20	24	0.00151381907097521
no_friction_heat	current_row_sum	midpoint_physical	160	24.20154133435244	20	24	0.0017514310252779014
no_friction_heat	current_row_sum	midpoint_volume_ratio	160	21.83537934747801	20	24	0.001664658281777557
no_friction_heat	current_row_sum	native_hfl_current	160	20.402628687648757	20	24	0.0015138190709751114
no_friction_heat	current_row_sum	native_hfl_midpoint	160	20.579796582695053	20	24	0.0015727009580139384
no_friction_heat	native_ivol	current_physical	160	2.496633882353308	20	24	0.0001426975594924658
no_friction_heat	native_ivol	current_volume_ratio	160	2.2737367544323206e-11	15	18	1.7299673476381738e-15
no_friction_heat	native_ivol	midpoint_physical	160	3.79891264671096	20	24	0.0002455758086248807
no_friction_heat	native_ivol	midpoint_volume_ratio	160	1.4327506598374384	20	24	0.00015775890139255175
no_friction_heat	native_ivol	native_hfl_current	160	2.1827872842550278e-11	15	18	1.6761778876957905e-15
no_friction_heat	native_ivol	native_hfl_midpoint	160	1.1058222767223924	20	15	9.466589430741674e-05
