node,temperature_k,u1_m,u2_m,u3_m,reaction_heat_flux_w
83,301,0.059999999999999998,0.10000000000000001,-0.035000000000000003,767018.26006813697
84,300,-0.014999999999999999,0.029999999999999999,0.01,6.550142982832978e-22
85,300,0.029999999999999999,-0.02,0.080000000000000002,-1.147096965614936e-21
86,300,0.14000000000000001,0.014999999999999999,0.02,-1.30065832604188e-21
87,300,0.089999999999999997,0.044999999999999998,0.14999999999999999,-2.4528670807040909e-22
88,300,-0.040000000000000001,0.11,0.025000000000000001,-7.8095681138135494e-22
89,300,7.9566758966422038e-27,9.4020811488097867e-27,8.3647444939292745e-27,-5.3910375030387058e-22
90,300,0.12,0.025000000000000001,0.040000000000000001,-8.3420863297364961e-22
91,300,0.059999999999999998,0.10000000000000001,-0.035000000000000003,6.5501429828309374e-22
92,301,-0.014999999999999999,0.029999999999999999,0.01,976446.01324387663
93,300,0.029999999999999999,-0.02,0.080000000000000002,-1.3968220867646812e-21
94,300,0.14000000000000001,0.014999999999999999,0.02,-9.7958950886838559e-22
95,300,0.089999999999999997,0.044999999999999998,0.14999999999999999,-9.8305780177438264e-22
96,300,-0.040000000000000001,0.11,0.025000000000000001,-2.0129493803601344e-22
97,300,7.9566758966421995e-27,9.4020811488097881e-27,8.3647444939292659e-27,-1.1107643133756192e-22
98,300,0.12,0.025000000000000001,0.040000000000000001,-9.728314588543263e-22
99,300,0.059999999999999998,0.10000000000000001,-0.035000000000000003,-1.147096965614811e-21
100,300,-0.014999999999999999,0.029999999999999999,0.01,-1.3968220867644677e-21
101,301,0.029999999999999999,-0.02,0.080000000000000002,1050881.855087114
102,300,0.14000000000000001,0.014999999999999999,0.02,3.6566138469730889e-22
103,300,0.089999999999999997,0.044999999999999998,0.14999999999999999,-1.0644150025463863e-21
104,300,-0.040000000000000001,0.11,0.025000000000000001,-7.1544162514545537e-23
105,300,7.9566758966422024e-27,9.4020811488097738e-27,8.3647444939292616e-27,-8.3287664841441857e-22
106,300,0.12,0.025000000000000001,0.040000000000000001,-3.8678356694173105e-22
107,300,0.059999999999999998,0.10000000000000001,-0.035000000000000003,-1.3006583260417207e-21
108,300,-0.014999999999999999,0.029999999999999999,0.01,-9.7958950886837054e-22
109,300,0.029999999999999999,-0.02,0.080000000000000002,3.6566138469748206e-22
110,301,0.14000000000000001,0.014999999999999999,0.02,1173093.1027838134
111,300,0.089999999999999997,0.044999999999999998,0.14999999999999999,6.6688438007501442e-23
112,300,-0.040000000000000001,0.11,0.025000000000000001,-5.8029714964510532e-22
113,300,7.956675896642201e-27,9.4020811488098054e-27,8.3647444939293061e-27,-1.0432692787811175e-21
114,300,0.12,0.025000000000000001,0.040000000000000001,-1.1508219702042061e-21
115,300,0.059999999999999998,0.10000000000000001,-0.035000000000000003,-2.4528670807029117e-22
116,300,-0.014999999999999999,0.029999999999999999,0.01,-9.8305780177430534e-22
117,300,0.029999999999999999,-0.02,0.080000000000000002,-1.0644150025463516e-21
118,300,0.14000000000000001,0.014999999999999999,0.02,6.6688438007511457e-23
119,301,0.089999999999999997,0.044999999999999998,0.14999999999999999,942763.67426730925
120,300,-0.040000000000000001,0.11,0.025000000000000001,2.4795237402352714e-22
121,300,7.9566758966422125e-27,9.4020811488098082e-27,8.3647444939293291e-27,-1.0692015153140564e-21
122,300,0.12,0.025000000000000001,0.040000000000000001,-8.4468873205789381e-22
123,300,0.059999999999999998,0.10000000000000001,-0.035000000000000003,-7.8095681138136443e-22
124,300,-0.014999999999999999,0.029999999999999999,0.01,-2.0129493803601045e-22
125,300,0.029999999999999999,-0.02,0.080000000000000002,-7.1544162514582636e-23
126,300,0.14000000000000001,0.014999999999999999,0.02,-5.8029714964510306e-22
127,300,0.089999999999999997,0.044999999999999998,0.14999999999999999,2.4795237402328955e-22
128,301,-0.040000000000000001,0.11,0.025000000000000001,1075007.8486057157
