variable,maximum_absolute_difference,maximum_reference,maximum_difference_over_field_peak
vals_elem_var159eb1,0.0,0.0,0.0
vals_elem_var160eb1,0.0,0.0,0.0
vals_elem_var161eb1,0.0,0.0,0.0
vals_elem_var162eb1,0.0,0.0,0.0
vals_elem_var163eb1,0.0,0.0,0.0
vals_elem_var164eb1,0.0,0.0,0.0
vals_elem_var165eb1,0.0,0.0,0.0
vals_elem_var166eb1,0.0,0.0,0.0
vals_elem_var167eb1,0.0,0.0,0.0
vals_elem_var168eb1,0.0,0.0,0.0
vals_elem_var169eb1,0.0,0.0,0.0
vals_elem_var170eb1,0.0,0.0,0.0
vals_elem_var171eb1,0.0,0.0,0.0
vals_elem_var172eb1,0.0,0.0,0.0
vals_elem_var173eb1,0.0,0.0,0.0
vals_elem_var174eb1,0.0,0.0,0.0
vals_elem_var175eb1,0.0,0.0,0.0
vals_elem_var176eb1,0.0,0.0,0.0
vals_elem_var177eb1,0.0,0.0,0.0
vals_elem_var178eb1,0.0,0.0,0.0
vals_elem_var179eb1,0.0,0.0,0.0
vals_elem_var180eb1,0.0,0.0,0.0
vals_elem_var181eb1,0.0,0.0,0.0
vals_elem_var182eb1,0.0,0.0,0.0
vals_elem_var183eb1,0.0,0.0,0.0
vals_elem_var184eb1,0.0,0.0,0.0
vals_elem_var185eb1,0.0,0.0,0.0
vals_elem_var186eb1,0.0,0.0,0.0
vals_elem_var187eb1,0.0,0.0,0.0
vals_elem_var188eb1,0.0,0.0,0.0
vals_elem_var189eb1,0.0,0.0,0.0
vals_elem_var190eb1,0.0,0.0,0.0
vals_elem_var191eb1,0.0,0.0,0.0
vals_elem_var192eb1,0.0,0.0,0.0
vals_elem_var193eb1,0.0,0.0,0.0
vals_elem_var194eb1,0.0,0.0,0.0
vals_elem_var195eb1,0.0,0.0,0.0
vals_elem_var196eb1,0.0,0.0,0.0
vals_elem_var197eb1,0.0,0.0,0.0
vals_elem_var198eb1,0.0,0.0,0.0
vals_elem_var199eb1,0.0,0.0,0.0
vals_elem_var200eb1,0.0,0.0,0.0
vals_elem_var201eb1,0.0,0.0,0.0
vals_elem_var202eb1,0.0,0.0,0.0
vals_elem_var203eb1,0.0,0.0,0.0
vals_elem_var204eb1,0.0,0.0,0.0
vals_elem_var205eb1,0.0,0.0,0.0
vals_elem_var206eb1,0.0,0.0,0.0
vals_elem_var207eb1,0.0,0.0,0.0
vals_elem_var208eb1,0.0,0.0,0.0
vals_elem_var209eb1,0.0,0.0,0.0
vals_elem_var210eb1,0.0,0.0,0.0
vals_elem_var211eb1,0.0,0.0,0.0
vals_elem_var212eb1,0.0,0.0,0.0
vals_elem_var213eb1,0.0,0.0,0.0
vals_elem_var214eb1,0.0,0.0,0.0
vals_elem_var215eb1,0.0,0.0,0.0
vals_elem_var216eb1,0.0,0.0,0.0
vals_elem_var217eb1,1.110494075168278e-16,0.00025640145025399486,4.3310756396588513e-13
vals_elem_var218eb1,1.6940658945086007e-21,1.4472719515380387e-05,1.1705235444577573e-16
vals_elem_var219eb1,0.0,1.965753687088517e-06,0.0
vals_elem_var220eb1,1.6872896309305663e-17,2.5978832255411144e-05,6.494863257678257e-13
vals_elem_var221eb1,1.0158889652894451e-17,9.222432427562955e-07,1.1015412400889726e-11
vals_elem_var222eb1,1.66114145915103e-17,2.3325343876516987e-06,7.121616161137929e-12
vals_elem_var223eb1,0.0,0.0,0.0
vals_elem_var224eb1,0.0,0.0,0.0
vals_elem_var225eb1,0.0,0.0,0.0
vals_elem_var226eb1,0.0,0.0,0.0
vals_elem_var227eb1,0.0,0.0,0.0
vals_elem_var228eb1,0.0,0.0,0.0
vals_elem_var229eb1,0.0,0.0,0.0
vals_elem_var230eb1,0.0,0.0,0.0
vals_elem_var231eb1,0.0,0.0,0.0
vals_elem_var232eb1,0.0,0.0,0.0
vals_elem_var233eb1,0.0,0.0,0.0
vals_elem_var234eb1,0.0,0.0,0.0
vals_elem_var235eb1,1.110494075168278e-16,0.0002502623988388221,4.437318911353821e-13
vals_elem_var236eb1,1.1102399652841016e-16,6.563718326762764e-06,1.6914802098640234e-11
vals_elem_var237eb1,1.1102187894604203e-16,4.821960510851735e-07,2.3024219857501798e-10
vals_elem_var238eb1,2.423530668684004e-17,2.8051492999151315e-05,8.639578181301533e-13
vals_elem_var239eb1,2.1899110408973876e-17,1.2952856313633725e-06,1.6906780928252586e-11
vals_elem_var240eb1,2.528462499853296e-17,3.0682286854073092e-06,8.240788934276067e-12
vals_elem_var241eb1,0.0,0.0,0.0
vals_elem_var242eb1,0.0,0.0,0.0
vals_elem_var243eb1,0.0,0.0,0.0
vals_elem_var244eb1,0.0,0.0,0.0
vals_elem_var245eb1,0.0,0.0,0.0
vals_elem_var246eb1,0.0,0.0,0.0
vals_elem_var247eb1,0.0,0.0,0.0
vals_elem_var248eb1,0.0,0.0,0.0
vals_elem_var249eb1,0.0,0.0,0.0
vals_elem_var250eb1,0.0,0.0,0.0
vals_elem_var251eb1,0.0,0.0,0.0
vals_elem_var252eb1,0.0,0.0,0.0
vals_elem_var253eb1,1.1110361762545207e-16,0.0002737013566643574,4.0593009468235667e-13
vals_elem_var254eb1,3.3881317890172014e-21,1.5579610052503852e-05,2.1747218175545307e-16
vals_elem_var255eb1,1.0587911840678754e-22,1.074396220530302e-06,9.854755292654285e-17
vals_elem_var256eb1,1.9220871639094583e-17,2.8629912132376665e-05,6.713562916373154e-13
vals_elem_var257eb1,9.49809807491769e-18,7.830092142316573e-07,1.2130250707506525e-11
vals_elem_var258eb1,2.0147049227357957e-17,1.4511557654224288e-06,1.3883450493333628e-11
vals_elem_var259eb1,0.0,0.0,0.0
vals_elem_var260eb1,0.0,0.0,0.0
vals_elem_var261eb1,0.0,0.0,0.0
vals_elem_var262eb1,0.0,0.0,0.0
vals_elem_var263eb1,0.0,0.0,0.0
vals_elem_var264eb1,0.0,0.0,0.0
vals_elem_var265eb1,0.0,0.0,0.0
vals_elem_var266eb1,0.0,0.0,0.0
vals_elem_var267eb1,0.0,0.0,0.0
vals_elem_var268eb1,0.0,0.0,0.0
vals_elem_var269eb1,0.0,0.0,0.0
vals_elem_var270eb1,0.0,0.0,0.0
vals_elem_var271eb1,1.1107651257113993e-16,0.00025313081705885814,4.388107061073972e-13
vals_elem_var272eb1,3.3881317890172014e-21,4.938729858394372e-06,6.860330259324439e-16
vals_elem_var273eb1,2.220447108041497e-16,1.4667057714915778e-06,1.5139008458277193e-10
vals_elem_var274eb1,2.3083341878574193e-17,3.1393853237233053e-05,7.352822128631662e-13
vals_elem_var275eb1,3.0912996805637725e-17,1.0170223425854487e-06,3.03955926150565e-11
vals_elem_var276eb1,2.7829214542480834e-17,2.627602325427685e-06,1.0591105919329393e-11
vals_elem_var277eb1,0.0,0.0,0.0
vals_elem_var278eb1,0.0,0.0,0.0
vals_elem_var279eb1,0.0,0.0,0.0
vals_elem_var280eb1,0.0,0.0,0.0
vals_elem_var281eb1,0.0,0.0,0.0
vals_elem_var282eb1,0.0,0.0,0.0
vals_elem_var283eb1,0.0,0.0,0.0
vals_elem_var284eb1,0.0,0.0,0.0
vals_elem_var285eb1,0.0,0.0,0.0
vals_elem_var286eb1,0.0,0.0,0.0
vals_elem_var287eb1,0.0,0.0,0.0
vals_elem_var288eb1,0.0,0.0,0.0
vals_elem_var289eb1,1.1102230246251565e-16,0.0002564274000709839,4.329580319099386e-13
vals_elem_var290eb1,8.470329472543003e-22,1.452756223105352e-05,5.830523619742049e-17
vals_elem_var291eb1,2.117582368135751e-22,1.8988597857334546e-06,1.1151862733865905e-16
vals_elem_var292eb1,1.9366561306022323e-17,2.602391012056551e-05,7.441833766063391e-13
vals_elem_var293eb1,1.8282888529128852e-17,9.14180265912433e-07,1.9999215921469174e-11
vals_elem_var294eb1,3.354631635953294e-17,1.6723066310827436e-06,2.0059907516968464e-11
vals_elem_var295eb1,0.0,0.0,0.0
vals_elem_var296eb1,0.0,0.0,0.0
vals_elem_var297eb1,0.0,0.0,0.0
vals_elem_var298eb1,0.0,0.0,0.0
vals_elem_var299eb1,0.0,0.0,0.0
vals_elem_var300eb1,0.0,0.0,0.0
vals_elem_var301eb1,0.0,0.0,0.0
vals_elem_var302eb1,0.0,0.0,0.0
vals_elem_var303eb1,0.0,0.0,0.0
vals_elem_var304eb1,0.0,0.0,0.0
vals_elem_var305eb1,0.0,0.0,0.0
vals_elem_var306eb1,0.0,0.0,0.0
vals_elem_var307eb1,0.0,0.00024979591078373,0.0
vals_elem_var308eb1,1.110231494954629e-16,6.516126714249465e-06,1.7038212171761103e-11
vals_elem_var309eb1,2.220445784552517e-16,5.434212637033451e-07,4.086048767066029e-10
vals_elem_var310eb1,3.321046779594661e-17,2.801951628136295e-05,1.1852619960479615e-12
vals_elem_var311eb1,5.950538803359468e-17,1.3260877163277497e-06,4.487288985556639e-11
vals_elem_var312eb1,2.4740032444285198e-17,2.157555943197633e-06,1.1466693376960098e-11
vals_elem_var313eb1,0.0,0.0,0.0
vals_elem_var314eb1,0.0,0.0,0.0
vals_elem_var315eb1,0.0,0.0,0.0
vals_elem_var316eb1,0.0,0.0,0.0
vals_elem_var317eb1,0.0,0.0,0.0
vals_elem_var318eb1,0.0,0.0,0.0
vals_elem_var319eb1,0.0,0.0,0.0
vals_elem_var320eb1,0.0,0.0,0.0
vals_elem_var321eb1,0.0,0.0,0.0
vals_elem_var322eb1,0.0,0.0,0.0
vals_elem_var323eb1,0.0,0.0,0.0
vals_elem_var324eb1,0.0,0.0,0.0
vals_elem_var325eb1,5.421010862427522e-20,0.00027377460577380813,1.980099961099514e-16
vals_elem_var326eb1,3.3881317890172014e-21,1.5592849275743897e-05,2.172875354017402e-16
