time,scope,field,samples,relative_l2_percent,relative_absolute_peak_percent,maximum_pointwise_relative_percent,maximum_absolute_difference,worst_relative_sample,worst_relative_reference_norm,worst_relative_absolute_difference,worst_absolute_sample,zero_reference_samples,maximum_zero_reference_absolute_difference,nonzero_pointwise_failures,largest_failed_reference_norm,largest_failed_absolute_difference,largest_difference_sample,zero_reference_absolute_failures,zero_absolute_tolerance,strict_0_1_percent_passed
0.10000000149011612,frame,cladding_plastic_strain,4096,8.167946870339739e-07,5.1181015603985094e-06,1.4454110277137356e-05,1.725669344440775e-11,t=0.10000000149 element=690 point=1,0.00011736395353427765,1.6963915269452737e-11,t=0.10000000149 element=703 point=1,0,0.0,0,0.0,0.0,,0,1e-12,1
0.15000000596046448,frame,cladding_plastic_strain,4096,5.976044317159949e-07,3.0996800180884123e-06,7.879469219739057e-06,1.643486206833508e-11,t=0.15000000596 element=698 point=1,0.000204722216181433,1.6131024009983666e-11,t=0.15000000596 element=691 point=1,0,0.0,0,0.0,0.0,,0,1e-12,1
0.20000000298023224,frame,cladding_plastic_strain,4096,4.0830283200566625e-07,2.2893408533468995e-06,5.5028307823716824e-06,1.6587995255326412e-11,t=0.20000000298 element=698 point=1,0.00029333136893608684,1.6141528864167233e-11,t=0.20000000298 element=691 point=1,0,0.0,0,0.0,0.0,,0,1e-12,1
0.25,frame,cladding_plastic_strain,4096,2.4529759472974946e-06,1.291232900002217e-05,1.558500806563352e-05,1.2257497709508086e-10,t=0.25 element=1138 point=5,0.0007263313026260039,1.1319879209748371e-10,t=0.25 element=1144 point=5,0,0.0,0,0.0,0.0,,0,1e-12,1
0.30000001192092896,frame,cladding_plastic_strain,4096,1.7498801948508223e-06,1.0425233694538551e-05,1.2677933015466767e-05,1.2118104008027867e-10,t=0.300000011921 element=1138 point=5,0.0009056995433713435,1.148239814300073e-10,t=0.300000011921 element=1144 point=5,0,0.0,0,0.0,0.0,,0,1e-12,1
0.3499999940395355,frame,cladding_plastic_strain,4096,1.5772641464269415e-06,8.314937616692456e-06,1.0243369243979258e-05,1.173072573511246e-10,t=0.34999999404 element=1143 point=6,0.0010862524378097208,1.1126884812657585e-10,t=0.34999999404 element=1141 point=6,0,0.0,0,0.0,0.0,,0,1e-12,1
0.4000000059604645,frame,cladding_plastic_strain,4096,1.5674531486545323e-06,6.667949496787615e-06,8.444856611330088e-06,1.126821533256095e-10,t=0.40000000596 element=1143 point=6,0.001267515681305029,1.0703988181233334e-10,t=0.40000000596 element=1141 point=6,0,0.0,0,0.0,0.0,,0,1e-12,1
0.44999998807907104,frame,cladding_plastic_strain,4096,1.6960047153376292e-06,5.491374245571548e-06,7.078514839267284e-06,1.0772099220875705e-10,t=0.449999988079 element=1143 point=6,0.0014492655126250146,1.0258647437154474e-10,t=0.449999988079 element=1141 point=6,0,0.0,0,0.0,0.0,,0,1e-12,1
0.5,frame,cladding_plastic_strain,4096,1.9437684036958856e-06,4.615056235248362e-06,1.0865854534718711e-05,1.0277934262463522e-10,t=0.5 element=694 point=1,0.0002881189703694471,3.1306588207273426e-11,t=0.5 element=1141 point=6,0,0.0,0,0.0,0.0,,0,1e-12,1
0.550000011920929,frame,cladding_plastic_strain,4096,4.888744313242793e-06,2.0102335586496897e-05,2.7516103926942165e-05,4.862477639344332e-10,t=0.550000011921 element=1142 point=7,0.0017618576296665625,4.847945764238111e-10,t=0.550000011921 element=1152 point=7,0,0.0,0,0.0,0.0,,0,1e-12,1
0.6000000238418579,frame,cladding_plastic_strain,4096,2.659515461973455e-06,4.638309862969924e-06,1.771865844659988e-05,1.2103385971273656e-10,t=0.600000023842 element=694 point=1,0.00033133159253797987,5.870751320748466e-11,t=0.600000023842 element=1152 point=8,0,0.0,0,0.0,0.0,,0,1e-12,1
0.6499999761581421,frame,cladding_plastic_strain,4096,3.04478192748029e-06,4.895325160980285e-06,2.1124004256933893e-05,1.3700851955130335e-10,t=0.649999976158 element=694 point=1,0.000363130798676688,7.670776537070162e-11,t=0.649999976158 element=721 point=2,0,0.0,0,0.0,0.0,,0,1e-12,1
0.699999988079071,frame,cladding_plastic_strain,4096,3.473050070723156e-06,5.653551352532883e-06,2.3965242475347718e-05,1.6886030775001764e-10,t=0.699999988079 element=698 point=1,0.00040011883068120756,9.588944796227735e-11,t=0.699999988079 element=721 point=2,0,0.0,0,0.0,0.0,,0,1e-12,1
0.75,frame,cladding_plastic_strain,4096,3.980433891689165e-06,6.514845252884972e-06,2.6654050356753445e-05,2.0672683055830862e-10,t=0.75 element=702 point=1,0.0004411500011946969,1.1758434346725293e-10,t=0.75 element=721 point=2,0,0.0,0,0.0,0.0,,0,1e-12,1
0.800000011920929,frame,cladding_plastic_strain,4096,4.5210306933840285e-06,7.39488958937979e-06,2.897007449418486e-05,2.483257752208445e-10,t=0.800000011921 element=690 point=1,0.00048521963326775416,1.4056848921807897e-10,t=0.800000011921 element=721 point=2,0,0.0,0,0.0,0.0,,0,1e-12,1
0.8500000238418579,frame,cladding_plastic_strain,4096,4.974025547055458e-06,8.199023447562928e-06,2.8702047457085676e-05,2.9100258844043904e-10,t=0.850000023842 element=659 point=6,0.0004425772467005035,1.2702873138224166e-10,t=0.850000023842 element=721 point=2,0,0.0,0,0.0,0.0,,0,1e-12,1
0.8999999761581421,frame,cladding_plastic_strain,4096,5.466908281858532e-06,8.985839593288227e-06,2.8872784025207252e-05,3.357250698843351e-10,t=0.899999976158 element=659 point=5,0.0004907317534250684,1.416879193095326e-10,t=0.899999976158 element=721 point=2,0,0.0,0,0.0,0.0,,0,1e-12,1
0.949999988079071,frame,cladding_plastic_strain,4096,5.905006286071864e-06,9.598301441299887e-06,2.813319011135302e-05,3.7618245447861763e-10,t=0.949999988079 element=661 point=6,0.0005512049056851712,1.5507152401951333e-10,t=0.949999988079 element=721 point=2,0,0.0,0,0.0,0.0,,0,1e-12,1
1.0,frame,cladding_plastic_strain,4096,6.390530651331465e-06,1.0897146628601692e-05,2.645945828526884e-05,4.4665145234391206e-10,t=1 element=661 point=6,0.0006131946282621839,1.6224797687254186e-10,t=1 element=736 point=5,0,0.0,0,0.0,0.0,,0,1e-12,1
0.05000000074505806,frame,fuel_creep_strain,5120,nan,nan,nan,0.0,t=0.0500000007451 element=1 point=1,0.0,0.0,t=0.0500000007451 element=1 point=1,5120,0.0,0,0.0,0.0,,0,1e-12,1
0.10000000149011612,frame,fuel_creep_strain,5120,nan,nan,nan,0.0,t=0.10000000149 element=1 point=1,0.0,0.0,t=0.10000000149 element=1 point=1,5120,0.0,0,0.0,0.0,,0,1e-12,1
0.15000000596046448,frame,fuel_creep_strain,5120,nan,nan,nan,0.0,t=0.15000000596 element=1 point=1,0.0,0.0,t=0.15000000596 element=1 point=1,5120,0.0,0,0.0,0.0,,0,1e-12,1
0.20000000298023224,frame,fuel_creep_strain,5120,nan,nan,nan,0.0,t=0.20000000298 element=1 point=1,0.0,0.0,t=0.20000000298 element=1 point=1,5120,0.0,0,0.0,0.0,,0,1e-12,1
0.25,frame,fuel_creep_strain,5120,nan,nan,nan,0.0,t=0.25 element=1 point=1,0.0,0.0,t=0.25 element=1 point=1,5120,0.0,0,0.0,0.0,,0,1e-12,1
0.30000001192092896,frame,fuel_creep_strain,5120,nan,nan,nan,0.0,t=0.300000011921 element=1 point=1,0.0,0.0,t=0.300000011921 element=1 point=1,5120,0.0,0,0.0,0.0,,0,1e-12,1
0.3499999940395355,frame,fuel_creep_strain,5120,nan,nan,nan,0.0,t=0.34999999404 element=1 point=1,0.0,0.0,t=0.34999999404 element=1 point=1,5120,0.0,0,0.0,0.0,,0,1e-12,1
0.4000000059604645,frame,fuel_creep_strain,5120,nan,nan,nan,0.0,t=0.40000000596 element=1 point=1,0.0,0.0,t=0.40000000596 element=1 point=1,5120,0.0,0,0.0,0.0,,0,1e-12,1
0.44999998807907104,frame,fuel_creep_strain,5120,nan,nan,nan,0.0,t=0.449999988079 element=1 point=1,0.0,0.0,t=0.449999988079 element=1 point=1,5120,0.0,0,0.0,0.0,,0,1e-12,1
0.5,frame,fuel_creep_strain,5120,nan,nan,nan,0.0,t=0.5 element=1 point=1,0.0,0.0,t=0.5 element=1 point=1,5120,0.0,0,0.0,0.0,,0,1e-12,1
0.550000011920929,frame,fuel_creep_strain,5120,nan,nan,nan,0.0,t=0.550000011921 element=1 point=1,0.0,0.0,t=0.550000011921 element=1 point=1,5120,0.0,0,0.0,0.0,,0,1e-12,1
