stage,time_s,element,integration_point,x_m,y_m,z_m,temperature_k,s11_pa,s22_pa,s33_pa,s12_pa,s13_pa,s23_pa,e11,e22,e33,e12_engineering,e13_engineering,e23_engineering,ee11,ee22,ee33,ee12_engineering,ee13_engineering,ee23_engineering,pe11,pe22,pe33,pe12_engineering,pe13_engineering,pe23_engineering,peeq,ivol_m3
2,0.2,1,6,0.7886751345948151,0.211324865405185,0.788675134594815,600,201980198.0198024,5.960464477539062e-08,5.960464477539062e-08,-2.445785155553822e-10,-1.027229765332606e-08,2.934942186664587e-09,0.002,-0.0007980198019801976,-0.0007980198019801976,-6.776263578034403e-21,-2.846030702774449e-19,8.131516293641283e-20,0.001009900990099011,-0.0003029702970297033,-0.0003029702970297033,-3.17952070221997e-21,-1.335398694932387e-19,3.815424842663964e-20,0.0009900990099009886,-0.0004950495049504943,-0.0004950495049504943,-3.596742875814433e-21,-1.510632007842062e-19,4.31609145097732e-20,0.0009900990099012106,0.125
2,0.2,1,7,0.211324865405185,0.7886751345948151,0.7886751345948151,600,201980198.0198025,2.980232238769531e-08,4.470348358154297e-08,-3.913256248886118e-09,-3.424099217775354e-09,-2.396869452442748e-08,0.002,-0.0007980198019801977,-0.0007980198019801977,-1.084202172485504e-19,-9.486769009248164e-20,-6.640738306473715e-19,0.001009900990099012,-0.0003029702970297036,-0.0003029702970297036,-5.087233123551953e-20,-4.45132898310796e-20,-3.115930288175572e-19,0.0009900990099009877,-0.0004950495049504941,-0.0004950495049504941,-5.754788601303091e-20,-5.035440026140204e-20,-3.524808018298143e-19,0.0009900990099012096,0.125
2,0.2,1,8,0.7886751345948151,0.7886751345948151,0.7886751345948151,600,201980198.0198024,5.960464477539062e-08,5.960464477539062e-08,-4.891570311107645e-09,9.783140622215289e-09,4.28012402221919e-09,0.002,-0.0007980198019801976,-0.0007980198019801976,-1.355252715606881e-19,2.710505431213761e-19,1.18584612615602e-19,0.001009900990099011,-0.0003029702970297033,-0.0003029702970297033,-6.359041404439939e-20,1.271808280887988e-19,5.564161228884947e-20,0.0009900990099009886,-0.0004950495049504943,-0.0004950495049504943,-7.193485751628866e-20,1.438697150325773e-19,6.294300032675258e-20,0.0009900990099012106,0.125
3,0.3,1,1,0.2113248654051851,0.211324865405185,0.211324865405185,600,205940594.0594065,5.960464477539062e-08,1.490116119384766e-07,-5.008527265338747e-09,-4.702238823990324e-09,1.107400106168956e-09,0.004,-0.001794059405940594,-0.001794059405940594,-2.39710324072967e-19,-2.507217523872729e-19,6.776263578034403e-21,0.001029702970297032,-0.0003089108910891095,-0.0003089108910891093,-6.511085444940373e-20,-6.112910471187421e-20,1.439620138019641e-20,0.002970297029702968,-0.001485148514851484,-0.001485148514851485,-1.745994696235633e-19,-1.895926476753987e-19,-7.619937802162012e-21,0.00297029702970319,0.1250000000000001
3,0.3,1,2,0.7886751345948151,0.2113248654051851,0.2113248654051851,600,205940594.0594066,1.788139343261719e-07,1.192092895507812e-07,-4.018880818394523e-09,-2.856858485628983e-09,1.150633748935412e-09,0.004000000000000001,-0.001794059405940593,-0.001794059405940594,-1.821120836596746e-19,-1.321371397716709e-19,7.962109704190423e-20,0.001029702970297033,-0.0003089108910891093,-0.0003089108910891097,-5.22454506391288e-20,-3.713916031317678e-20,1.495823873616036e-20,0.002970297029702969,-0.001485148514851484,-0.001485148514851485,-1.298666330205458e-19,-9.499797945849408e-20,6.466285830574388e-20,0.002970297029703191,0.125
3,0.3,1,3,0.211324865405185,0.7886751345948151,0.2113248654051851,600,205940594.0594064,-5.960464477539062e-08,-1.192092895507812e-07,-1.809280676409234e-08,3.542580159566888e-09,-1.36745519474586e-08,0.003999999999999999,-0.001794059405940593,-0.001794059405940594,-8.470329472543003e-19,1.626303258728257e-19,-6.369687763352339e-19,0.001029702970297032,-0.0003089108910891097,-0.0003089108910891102,-2.352064879332004e-19,4.605354207436953e-20,-1.777691753169618e-19,0.002970297029702967,-0.001485148514851483,-0.001485148514851484,-6.118264593210999e-19,1.165767837984561e-19,-4.59199601018272e-19,0.002970297029703189,0.1250000000000001
3,0.3,1,4,0.7886751345948151,0.7886751345948151,0.211324865405185,600,205940594.0594067,1.788139343261719e-07,2.086162567138672e-07,-1.809280676409233e-08,1.305913866275123e-08,-3.204747489798408e-08,0.004,-0.001794059405940594,-0.001794059405940593,-8.470329472543003e-19,7.047314121155779e-19,-1.279019750353994e-18,0.001029702970297033,-0.0003089108910891093,-0.0003089108910891093,-2.352064879332003e-19,1.697688026157659e-19,-4.16617173673793e-19,0.002970297029702968,-0.001485148514851485,-0.001485148514851484,-6.118264593211e-19,5.349626094998119e-19,-8.624025766802006e-19,0.002970297029703189,0.125
3,0.3,1,5,0.211324865405185,0.211324865405185,0.7886751345948151,600,205940594.0594065,5.960464477539062e-08,2.980232238769531e-08,-1.367833381680595e-08,-1.747550254471128e-08,1.37295609561475e-08,0.004,-0.001794059405940594,-0.001794059405940594,-5.759824041329242e-19,-9.452887691357992e-19,3.659182332138577e-19,0.001029702970297032,-0.0003089108910891095,-0.0003089108910891097,-1.778183396184773e-19,-2.271815330812466e-19,1.784842924299175e-19,0.002970297029702968,-0.001485148514851484,-0.001485148514851484,-3.981640645144468e-19,-7.181072360545525e-19,1.874339407839402e-19,0.00297029702970319,0.125
3,0.3,1,6,0.7886751345948151,0.211324865405185,0.788675134594815,600,205940594.0594065,1.490116119384766e-07,8.940696716308594e-08,-1.367833381680595e-08,-1.549810058549651e-08,3.329832818462459e-08,0.004000000000000001,-0.001794059405940594,-0.001794059405940594,-5.759824041329242e-19,-7.995991022080595e-19,1.436567878543293e-18,0.001029702970297032,-0.0003089108910891093,-0.0003089108910891095,-1.778183396184773e-19,-2.014753076114546e-19,4.328782664001197e-19,0.002970297029702969,-0.001485148514851485,-0.001485148514851484,-3.981640645144468e-19,-5.981237945966049e-19,1.003689612143174e-18,0.002970297029703191,0.125
3,0.3,1,7,0.211324865405185,0.7886751345948151,0.7886751345948151,600,205940594.0594064,-5.960464477539062e-08,-2.980232238769531e-08,-5.044326096774586e-08,9.299960531471681e-09,-2.264308320157965e-09,0.004,-0.001794059405940594,-0.001794059405940594,-2.168404344971009e-18,3.388131789017201e-19,-4.472333961502706e-19,0.001029702970297032,-0.00030891089108911,-0.0003089108910891097,-6.557623925806962e-19,1.208994869091318e-19,-2.943600816205356e-20,0.002970297029702968,-0.001485148514851484,-0.001485148514851484,-1.512641952390313e-18,2.179136919925883e-19,-4.17797387988217e-19,0.00297029702970319,0.125
