time_s,element,integration_point,x_m,y_m,z_m,temperature_k,hfl_x_w_m2,hfl_y_w_m2,hfl_z_w_m2,s11_pa,s22_pa,s33_pa,s12_pa,s13_pa,s23_pa,e11,e22,e33,e12_engineering,e13_engineering,e23_engineering,ivol_m3
1,2,8,1.788675134594815,0.7886751345948151,0.7886751345948151,360,-274.4652271602431,0.0001316571137133144,-0.0006474819488948424,-12905184.38761719,-2481246.307841035,-2481246.610252259,8545642.671350583,8545643.82154984,-147619.0821780789,0.0003202284857287664,0.0003877154250493791,0.0003877154230915002,0.0001106528576826426,0.0001106528725759443,-1.911438837274918e-06,0.125
2,1,1,0.2113248654051851,0.211324865405185,0.211324865405185,300,-3.99812809141191,0.0002324562675526387,-0.001968231586233937,36238968.66477582,565435.0805397313,565432.5397377945,2973563.822393322,2973564.463327422,-970380.1078765945,0.0001857870088441746,-3.7172576057301e-05,-3.71725919373131e-05,3.716954777991652e-05,3.716955579159277e-05,-1.212975134845743e-05,0.1250000000000001
2,1,2,0.7886751345948151,0.2113248654051851,0.2113248654051851,300.9990980781909,-4.008114396643137,0.0008697054915963354,-0.007363887568544137,4414222.640257533,16475939.05303214,16475939.48590739,-12766228.79150611,-12766227.88699596,-670054.9344407693,-1.313900975236571e-05,6.229042394744367e-05,6.229042665448252e-05,-0.0001596703777922758,-0.0001596703664793439,-8.380542623121377e-06,0.125
2,1,3,0.211324865405185,0.7886751345948151,0.2113248654051851,300,-3.997493009078254,0.0002324562675526387,-0.001968222489262317,16126419.23726898,11947273.74458366,9296143.303200711,26844685.31049611,3031938.241715705,-2295943.914959159,6.008357492225678e-05,3.396391559297354e-05,1.739435033433013e-05,0.0003355585663812014,3.789922802144631e-05,-2.869929893698948e-05,0.1250000000000001
2,1,4,0.7886751345948151,0.7886751345948151,0.211324865405185,300.9988230834128,-4.007474979811375,0.0008697048951748724,-0.007363848483673275,-15959666.48882274,27578196.15124517,25747572.54524735,11091062.8087349,-12957986.28368788,-1585367.438776838,-0.0001405496162148539,0.0001317197430571477,0.0001202717140072667,0.000138718640809009,-0.0001620687102663697,-1.982857910756597e-05,0.125
2,1,5,0.211324865405185,0.211324865405185,0.7886751345948151,300,-4.003505400106428,0.0002324653645526809,-0.001968231586233937,16126419.49393094,9296145.8588796,11947270.93224279,3031937.409932329,26844687.43839429,-2295944.058167101,6.008357652639408e-05,1.73943663073232e-05,3.396389801584314e-05,3.789921762415411e-05,0.0003355585929799286,-2.869930072708876e-05,0.125
2,1,6,0.7886751345948151,0.211324865405185,0.788675134594815,301.0014265250967,-4.013528441359013,0.0008697445768211327,-0.007363930327787133,-15959626.20591529,25747548.10722988,27578170.56954741,-12957967.80421708,11091048.44485609,-1585364.665891474,-0.0001405496124381753,0.0001202717070481261,0.0001317197462396096,-0.0001620687239649175,0.0001387186707089919,-1.982857438004131e-05,0.125
2,1,7,0.211324865405185,0.7886751345948151,0.7886751345948151,300,-4.002870292919516,0.0002324653644194541,-0.001968222489281857,-4319784.975376359,20844812.04382376,20844809.21660594,27312779.78636211,27312782.62651949,-3621507.865249665,-6.770520140677655e-05,8.957352996322417e-05,8.957351229311279e-05,0.0003414097473295264,0.0003414097828314936,-4.526884831562081e-05,0.125
2,1,8,0.7886751345948151,0.7886751345948151,0.7886751345948151,301.0011515116786,-4.012888992031542,0.000869743980335901,-0.007363891242465274,-36666952.3745234,37016522.34254512,37016523.53138463,11308774.52839397,11308777.63084939,-2500676.079657997,-0.0002700455629119164,0.0001907436981634566,0.0001907437055980202,0.0001414418057404548,0.0001414418445436775,-3.127661086448591e-05,0.125
2,2,1,1.211324865405185,0.211324865405185,0.211324865405185,300.9990980781909,-477.1908032971859,0.0008697054915278547,-0.007363887568641109,26857867.58553932,-32230488.66719035,-32230486.300208,-15018844.82430906,-15018841.17608619,-434054.2813685525,0.001014211063483121,0.0006446947278415726,0.0006446947426437891,-0.0001878444030939289,-0.0001878443574647041,-5.428824143789701e-06,0.1250000000000001
