effective_creep_strain,effective_plastic_strain,id,vonmises_stress,x,y,z
4.566709724178099e-05,0.002793712430977795,787,56874248.61955589,0.002318243371396671,0.0034826393974598437,0.0009687500000000001
4.605690585242923e-05,0.002800542986736672,788,57010859.73473344,0.00080902920390352477,0.0041046925888542866,0.0009687500000000001
4.60538849359327e-05,0.002800490389584113,789,57009807.79168226,-0.00082335232601593751,0.0041018435427266388,0.0009687500000000001
4.566432793521126e-05,0.002793666092010125,790,56873321.84020253,-0.0023303859280068943,0.0034745260005231669,0.0009687500000000001
4.566709724178091e-05,0.002793712430977793,791,56874248.61955585,-0.0034826393974598437,0.0023182433713966714,0.0009687500000000001
4.605690585242959e-05,0.002800542986736657,792,57010859.73473316,-0.0041046925888542866,0.00080902920390352499,0.0009687500000000001
4.605388493593359e-05,0.002800490389584099,793,57009807.79168198,-0.0041018435427266388,-0.00082335232601593643,0.0009687500000000001
4.566432793521111e-05,0.002793666092010123,794,56873321.84020246,-0.0034745260005231674,-0.0023303859280068935,0.0009687500000000001
4.566709724178085e-05,0.002793712430977798,795,56874248.61955594,-0.0023182433713966706,-0.0034826393974598446,0.0009687500000000001
4.605690585242909e-05,0.002800542986736671,796,57010859.73473342,-0.00080902920390352445,-0.0041046925888542866,0.0009687500000000001
4.605388493593287e-05,0.002800490389584112,797,57009807.79168221,0.00082335232601593784,-0.0041018435427266388,0.0009687500000000001
4.566432793521086e-05,0.002793666092010125,798,56873321.8402025,0.0023303859280068943,-0.0034745260005231665,0.0009687500000000001
4.56670972417807e-05,0.002793712430977801,799,56874248.61955604,0.0034826393974598446,-0.002318243371396671,0.0009687500000000001
4.60569058524301e-05,0.002800542986736669,800,57010859.73473337,0.0041046925888542866,-0.00080902920390352401,0.0009687500000000001
3.145556606347218e-05,0.0024534600304827,801,50069200.609654,0.0043751795783650372,0.00087821835354297761,0.0014062499999999999
3.164472200899622e-05,0.002457203528625278,802,50144070.57250555,0.0037060592496129747,0.0024856767001764967,0.0014062499999999999
3.164325488280836e-05,0.002457177206229043,803,50143544.12458085,0.0024727249956180931,0.0037147133019235414,0.0014062499999999999
3.145340895529409e-05,0.002453418308842212,804,50068366.17684424,0.00086294077634826061,0.0043782184774126638,0.0014062499999999999
3.145556606347206e-05,0.002453460030482703,805,50069200.60965405,-0.0008782183535429775,0.0043751795783650372,0.0014062499999999999
3.164472200899627e-05,0.00245720352862528,806,50144070.57250559,-0.0024856767001764967,0.0037060592496129747,0.0014062499999999999
3.164325488280857e-05,0.002457177206229037,807,50143544.12458073,-0.0037147133019235414,0.0024727249956180935,0.0014062499999999999
3.145340895529424e-05,0.002453418308842204,808,50068366.17684406,-0.0043782184774126638,0.00086294077634826093,0.0014062499999999999
3.14555660634724e-05,0.002453460030482696,809,50069200.60965391,-0.004375179578365038,-0.0008782183535429762,0.0014062499999999999
3.164472200899644e-05,0.002457203528625276,810,50144070.57250553,-0.0037060592496129755,-0.0024856767001764958,0.0014062499999999999
3.164325488280829e-05,0.002457177206229042,811,50143544.12458083,-0.0024727249956180927,-0.0037147133019235423,0.0014062499999999999
3.145340895529398e-05,0.002453418308842208,812,50068366.17684414,-0.00086294077634826007,-0.0043782184774126638,0.0014062499999999999
3.145556606347205e-05,0.002453460030482699,813,50069200.60965399,0.00087821835354297772,-0.0043751795783650363,0.0014062499999999999
3.164472200899613e-05,0.002457203528625281,814,50144070.57250563,0.0024856767001764967,-0.0037060592496129747,0.0014062499999999999
3.164325488280832e-05,0.00245717720622904,815,50143544.12458077,0.0037147133019235414,-0.0024727249956180927,0.0014062499999999999
3.14534089552942e-05,0.002453418308842207,816,50068366.17684413,0.0043782184774126638,-0.00086294077634825996,0.0014062499999999999
4.761286756695582e-05,0.002811677291216751,817,57233545.82433502,0.0041018435427266388,0.00082335232601593762,0.0014062499999999999
4.710453107659052e-05,0.002802888298863321,818,57057765.97726642,0.0034745260005231669,0.0023303859280068948,0.0014062499999999999
4.710865487160769e-05,0.002802959839300322,819,57059196.78600643,0.002318243371396671,0.0034826393974598437,0.0014062499999999999
4.76169469356241e-05,0.002811747020634873,820,57234940.41269746,0.00080902920390352477,0.0041046925888542866,0.0014062499999999999
4.761286756695537e-05,0.002811677291216755,821,57233545.8243351,-0.00082335232601593751,0.0041018435427266388,0.0014062499999999999
4.710453107659053e-05,0.002802888298863322,822,57057765.97726643,-0.0023303859280068943,0.0034745260005231669,0.0014062499999999999
4.710865487160802e-05,0.002802959839300314,823,57059196.78600629,-0.0034826393974598437,0.0023182433713966714,0.0014062499999999999
4.761694693562437e-05,0.00281174702063486,824,57234940.4126972,-0.0041046925888542866,0.00080902920390352499,0.0014062499999999999
4.761286756695593e-05,0.002811677291216743,825,57233545.82433486,-0.0041018435427266388,-0.00082335232601593643,0.0014062499999999999
4.710453107659069e-05,0.002802888298863315,826,57057765.9772663,-0.0034745260005231674,-0.0023303859280068935,0.0014062499999999999
4.710865487160762e-05,0.00280295983930032,827,57059196.7860064,-0.0023182433713966706,-0.0034826393974598446,0.0014062499999999999
4.761694693562411e-05,0.00281174702063487,828,57234940.41269738,-0.00080902920390352445,-0.0041046925888542866,0.0014062499999999999
4.761286756695537e-05,0.002811677291216753,829,57233545.82433504,0.00082335232601593784,-0.0041018435427266388,0.0014062499999999999
4.710453107659002e-05,0.002802888298863322,830,57057765.97726643,0.0023303859280068943,-0.0034745260005231665,0.0014062499999999999
4.710865487160785e-05,0.002802959839300321,831,57059196.78600644,0.0034826393974598446,-0.002318243371396671,0.0014062499999999999
4.761694693562481e-05,0.002811747020634869,832,57234940.41269735,0.0041046925888542866,-0.00080902920390352401,0.0014062499999999999
3.452443933646921e-05,0.002521827515923378,833,51436550.31846754,0.0043751795783650372,0.00087821835354297761,0.0018437500000000001
3.466335024296511e-05,0.002523566831383744,834,51471336.62767487,0.0037060592496129747,0.0024856767001764967,0.0018437500000000001
3.466215766117878e-05,0.00252355009172699,835,51471001.83453978,0.0024727249956180931,0.0037147133019235414,0.0018437500000000001
3.45222765201349e-05,0.002521790358456371,836,51435807.16912742,0.00086294077634826061,0.0043782184774126638,0.0018437500000000001
3.452443933646912e-05,0.002521827515923382,837,51436550.31846763,-0.0008782183535429775,0.0043751795783650372,0.0018437500000000001
3.466335024296497e-05,0.002523566831383748,838,51471336.62767494,-0.0024856767001764967,0.0037060592496129747,0.0018437500000000001
3.466215766117907e-05,0.002523550091726981,839,51471001.83453964,-0.0037147133019235414,0.0024727249956180935,0.0018437500000000001
3.452227652013489e-05,0.002521790358456369,840,51435807.16912739,-0.0043782184774126638,0.00086294077634826093,0.0018437500000000001
3.452443933646928e-05,0.002521827515923377,841,51436550.31846754,-0.004375179578365038,-0.0008782183535429762,0.0018437500000000001
3.466335024296534e-05,0.002523566831383741,842,51471336.62767482,-0.0037060592496129755,-0.0024856767001764958,0.0018437500000000001
3.466215766117873e-05,0.002523550091726988,843,51471001.83453976,-0.0024727249956180927,-0.0037147133019235423,0.0018437500000000001
3.452227652013479e-05,0.002521790358456368,844,51435807.16912735,-0.00086294077634826007,-0.0043782184774126638,0.0018437500000000001
3.452443933646905e-05,0.002521827515923379,845,51436550.31846756,0.00087821835354297772,-0.0043751795783650363,0.0018437500000000001
3.466335024296486e-05,0.002523566831383751,846,51471336.627675,0.0024856767001764967,-0.0037060592496129747,0.0018437500000000001
3.466215766117904e-05,0.002523550091726983,847,51471001.83453967,0.0037147133019235414,-0.0024727249956180927,0.0018437500000000001
3.452227652013509e-05,0.002521790358456366,848,51435807.16912734,0.0043782184774126638,-0.00086294077634825996,0.0018437500000000001
5.039915487671062e-05,0.002859139403624191,849,58182788.07248382,0.0041018435427266388,0.00082335232601593762,0.0018437500000000001
5.000544034732493e-05,0.002853256338623897,850,58065126.77247793,0.0034745260005231669,0.0023303859280068948,0.0018437500000000001
5.000888456800072e-05,0.002853307245100309,851,58066144.90200618,0.002318243371396671,0.0034826393974598437,0.0018437500000000001
5.040267532013776e-05,0.002859191840811333,852,58183836.81622666,0.00080902920390352477,0.0041046925888542866,0.0018437500000000001
5.039915487671079e-05,0.002859139403624191,853,58182788.07248382,-0.00082335232601593751,0.0041018435427266388,0.0018437500000000001
5.000544034732468e-05,0.0028532563386239,854,58065126.77247798,-0.0023303859280068943,0.0034745260005231669,0.0018437500000000001
5.000888456800105e-05,0.002853307245100302,855,58066144.90200602,-0.0034826393974598437,0.0023182433713966714,0.0018437500000000001
5.040267532013697e-05,0.002859191840811336,856,58183836.81622671,-0.0041046925888542866,0.00080902920390352499,0.0018437500000000001
5.039915487671034e-05,0.002859139403624191,857,58182788.07248382,-0.0041018435427266388,-0.00082335232601593643,0.0018437500000000001
5.000544034732517e-05,0.002853256338623893,858,58065126.77247785,-0.0034745260005231674,-0.0023303859280068935,0.0018437500000000001
5.000888456800069e-05,0.002853307245100307,859,58066144.90200613,-0.0023182433713966706,-0.0034826393974598446,0.0018437500000000001
5.040267532013779e-05,0.002859191840811331,860,58183836.81622661,-0.00080902920390352445,-0.0041046925888542866,0.0018437500000000001
5.039915487671077e-05,0.00285913940362419,861,58182788.0724838,0.00082335232601593784,-0.0041018435427266388,0.0018437500000000001
5.000544034732429e-05,0.002853256338623898,862,58065126.77247795,0.0023303859280068943,-0.0034745260005231665,0.0018437500000000001
5.000888456800131e-05,0.002853307245100302,863,58066144.90200603,0.0034826393974598446,-0.002318243371396671,0.0018437500000000001
