normal_displacement,normal_x,normal_y,normal_z,id,x,y,z
-2.029689285242708e-06,0.9238795325112866,0.3826834323650899,0,95,1.016267485762415,0.4209517756015988,0.5
-1.123774645515655e-06,0.9238795325112867,0.3826834323650898,0,96,0.9238795325112867,0.3826834323650898,0.5
-1.759905837321694e-06,1,0,0,97,1.05,0,0
-2.074234424929491e-06,0.9807852804032304,0.1950903220161282,0,98,1.078863808443554,0.2145993542177411,0
-1.584558988135486e-06,0.9238795325112867,0.3826834323650898,0,99,0.9700735091368511,0.4018176039833443,0
-1.137413841644788e-06,0.9807852804032304,0.1950903220161282,0,100,0.9807852804032304,0.1950903220161282,0
-1.284941276636816e-06,1,0,0,101,1,0,0.25
-2.225163680785251e-06,1,0,0,102,1.1,0,0.25
-2.032962803511783e-06,0.9238795325112866,0.3826834323650899,0,103,1.016267485762415,0.4209517756015988,0.25
-1.127945851691026e-06,0.9238795325112867,0.3826834323650898,0,104,0.9238795325112867,0.3826834323650898,0.25
-1.758189690284148e-06,1,0,0,105,1.05,0,0.5
-2.072661965772066e-06,0.9807852804032304,0.1950903220161282,0,106,1.078863808443554,0.2145993542177411,0.5
-1.584333730120519e-06,0.9238795325112867,0.3826834323650898,0,107,0.9700735091368511,0.4018176039833443,0.5
-1.135889216821442e-06,0.9807852804032304,0.1950903220161282,0,108,0.9807852804032304,0.1950903220161282,0.5
-2.034418744882973e-06,0.7071067811865476,0.7071067811865475,0,109,0.7778174593052024,0.7778174593052023,0
-1.116758936046224e-06,0.7071067811865476,0.7071067811865475,0,110,0.7071067811865476,0.7071067811865475,0
-2.035454113294323e-06,0.7071067811865476,0.7071067811865475,0,111,0.7778174593052024,0.7778174593052023,0.5
-1.117183796984111e-06,0.7071067811865476,0.7071067811865475,0,112,0.7071067811865476,0.7071067811865475,0.5
-2.046569660494747e-06,0.8314696123025452,0.5555702330196022,0,113,0.9146165735327998,0.6111272563215624,0
-1.58544896565172e-06,0.7071067811865476,0.7071067811865475,0,114,0.742462120245875,0.7424621202458749,0
-1.121125210095941e-06,0.8314696123025452,0.5555702330196022,0,115,0.8314696123025452,0.5555702330196022,0
-2.034905092285442e-06,0.7071067811865476,0.7071067811865475,0,116,0.7778174593052024,0.7778174593052023,0.25
-1.12002909565959e-06,0.7071067811865476,0.7071067811865475,0,117,0.7071067811865476,0.7071067811865475,0.25
-2.047035056163074e-06,0.8314696123025452,0.5555702330196022,0,118,0.9146165735327998,0.6111272563215624,0.5
-1.586177274570004e-06,0.7071067811865476,0.7071067811865475,0,119,0.742462120245875,0.7424621202458749,0.5
-1.12153102403285e-06,0.8314696123025452,0.5555702330196022,0,120,0.8314696123025452,0.5555702330196022,0.5
-2.030115000194467e-06,0.3826834323650901,0.9238795325112866,0,121,0.4209517756015989,1.016267485762415,0
-1.123706119997491e-06,0.3826834323650898,0.9238795325112867,0,122,0.3826834323650898,0.9238795325112867,0
-2.029689301003039e-06,0.3826834323650901,0.9238795325112866,0,123,0.4209517756015989,1.016267485762415,0.5
-1.123774639795086e-06,0.3826834323650898,0.9238795325112867,0,124,0.3826834323650898,0.9238795325112867,0.5
-2.046569637569945e-06,0.5555702330196023,0.8314696123025452,0,125,0.6111272563215626,0.9146165735327998,0
-1.584558994531262e-06,0.3826834323650898,0.9238795325112867,0,126,0.4018176039833444,0.9700735091368511,0
-1.121125178923729e-06,0.5555702330196023,0.8314696123025452,0,127,0.5555702330196023,0.8314696123025452,0
-2.032962844079128e-06,0.3826834323650901,0.9238795325112866,0,128,0.4209517756015989,1.016267485762415,0.25
-1.127945886654204e-06,0.3826834323650898,0.9238795325112867,0,129,0.3826834323650898,0.9238795325112867,0.25
-2.047035034733874e-06,0.5555702330196023,0.8314696123025452,0,130,0.6111272563215626,0.9146165735327998,0.5
-1.584333735967627e-06,0.3826834323650898,0.9238795325112867,0,131,0.4018176039833444,0.9700735091368511,0.5
-1.121530993709444e-06,0.5555702330196023,0.8314696123025452,0,132,0.5555702330196023,0.8314696123025452,0.5
-2.21865050816306e-06,6.123233995736766e-17,1,0,133,6.735557395310444e-17,1.1,0
-1.276980317718226e-06,6.123233995736766e-17,1,0,134,6.123233995736766e-17,1,0
-2.216644400998229e-06,6.123233995736766e-17,1,0,135,6.735557395310444e-17,1.1,0.5
-1.275492349712667e-06,6.123233995736766e-17,1,0,136,6.123233995736766e-17,1,0.5
-2.074234412888215e-06,0.1950903220161283,0.9807852804032304,0,137,0.2145993542177412,1.078863808443554,0
-1.759905707846413e-06,6.123233995736766e-17,1,0,138,6.429395695523605e-17,1.05,0
-1.137413870254546e-06,0.1950903220161283,0.9807852804032304,0,139,0.1950903220161283,0.9807852804032304,0
-2.225163320863494e-06,6.123233995736766e-17,1,0,140,6.735557395310444e-17,1.1,0.25
-1.284940865800128e-06,6.123233995736766e-17,1,0,141,6.123233995736766e-17,1,0.25
-2.072661963826117e-06,0.1950903220161283,0.9807852804032304,0,142,0.2145993542177412,1.078863808443554,0.5
-1.758189580674669e-06,6.123233995736766e-17,1,0,143,6.429395695523605e-17,1.05,0.5
-1.13588925371401e-06,0.1950903220161283,0.9807852804032304,0,144,0.1950903220161283,0.9807852804032304,0.5
-1.269043256875442e-06,1,0,0,145,1,0,1
-2.204810007136292e-06,1,0,0,146,1.1,0,1
-2.029812306099457e-06,0.9238795325112866,0.3826834323650899,0,147,1.016267485762415,0.4209517756015988,1
-1.123169207654273e-06,0.9238795325112867,0.3826834323650898,0,148,0.9238795325112867,0.3826834323650898,1
-1.287050549415505e-06,1,0,0,149,1,0,0.75
-2.225550991203893e-06,1,0,0,150,1.1,0,0.75
-2.03384353761466e-06,0.9238795325112866,0.3826834323650899,0,151,1.016267485762415,0.4209517756015988,0.75
-1.128336650729397e-06,0.9238795325112867,0.3826834323650898,0,152,0.9238795325112867,0.3826834323650898,0.75
-1.749113549317154e-06,1,0,0,153,1.05,0,1
-2.064619604672872e-06,0.9807852804032304,0.1950903220161282,0,154,1.078863808443554,0.2145993542177411,1
-1.584277568527396e-06,0.9238795325112867,0.3826834323650898,0,155,0.9700735091368511,0.4018176039833443,1
-1.129757245287673e-06,0.9807852804032304,0.1950903220161282,0,156,0.9807852804032304,0.1950903220161282,1
-2.039368313384242e-06,0.7071067811865476,0.7071067811865475,0,157,0.7778174593052024,0.7778174593052023,1
-1.119464470570678e-06,0.7071067811865476,0.7071067811865475,0,158,0.7071067811865476,0.7071067811865475,1
-2.037119543004727e-06,0.7071067811865476,0.7071067811865475,0,159,0.7778174593052024,0.7778174593052023,0.75
-1.121778221785868e-06,0.7071067811865476,0.7071067811865475,0,160,0.7071067811865476,0.7071067811865475,0.75
-2.051202531686122e-06,0.8314696123025452,0.5555702330196022,0,161,0.9146165735327998,0.6111272563215624,1
-1.589324900814854e-06,0.7071067811865476,0.7071067811865475,0,162,0.742462120245875,0.7424621202458749,1
-1.124135246042639e-06,0.8314696123025452,0.5555702330196022,0,163,0.8314696123025452,0.5555702330196022,1
-2.029812316730393e-06,0.3826834323650901,0.9238795325112866,0,164,0.4209517756015989,1.016267485762415,1
-1.123169200095893e-06,0.3826834323650898,0.9238795325112867,0,165,0.3826834323650898,0.9238795325112867,1
-2.033843577380634e-06,0.3826834323650901,0.9238795325112866,0,166,0.4209517756015989,1.016267485762415,0.75
-1.128336684944917e-06,0.3826834323650898,0.9238795325112867,0,167,0.3826834323650898,0.9238795325112867,0.75
-2.051202508671778e-06,0.5555702330196023,0.8314696123025452,0,168,0.6111272563215626,0.9146165735327998,1
-1.584277571196229e-06,0.3826834323650898,0.9238795325112867,0,169,0.4018176039833444,0.9700735091368511,1
-1.124135214639796e-06,0.5555702330196023,0.8314696123025452,0,170,0.5555702330196023,0.8314696123025452,1
-2.204809941848638e-06,6.123233995736766e-17,1,0,171,6.735557395310444e-17,1.1,1
-1.269043218988783e-06,6.123233995736766e-17,1,0,172,6.123233995736766e-17,1,1
-2.225550601492352e-06,6.123233995736766e-17,1,0,173,6.735557395310444e-17,1.1,0.75
-1.287050115873127e-06,6.123233995736766e-17,1,0,174,6.123233995736766e-17,1,0.75
