id,x,y,z,gap,constraint_pressure,recovered_pressure,normal_force_x,normal_force_y,normal_force_z,tangential_force_x,tangential_force_y,tangential_force_z,slip_x,slip_y,slip_z,elastic_slip_x,elastic_slip_y,elastic_slip_z,projected,sliding,primary_face
251,-7.5683172187306446e-19,-0.0041200000000000004,0.00125,-8.628410966366709e-06,86284.109663667085,86685.327898365445,-5.7735404998537909e-12,0.027647007656407919,1.437108553033533e-05,-4.3463388492244935e-12,2.8689484882817772e-08,-5.637736026439053e-05,2.7306475960627014e-10,-2.5126597681051467e-07,0.00053212380990980091,2.3695201000341433e-12,-2.3665322508713769e-09,5.0117734744396026e-06,1,1,124
265,0.0015766557413441694,-0.0038063836739465019,0.00125,-8.6284049471831121e-06,86284.049471831124,86685.26666957351,-0.010580046469489325,0.025542498648878711,1.4371032809947777e-05,-1.0983550619336371e-08,2.6503967950700433e-08,-5.6377345006588022e-05,9.6412041367786649e-08,-2.3203247455203167e-07,0.0005321238122192875,9.0794717636633144e-10,-2.185425563935232e-09,5.0117734744423504e-06,1,1,125
266,0.0029132799384885754,-0.0029132799384885767,0.00125,-8.6283991368006381e-06,86283.991368006376,86685.207666099828,-0.019549375815724954,0.01954937582403379,1.4370991383060056e-05,-2.0289920163060578e-08,2.0283773490525186e-08,-5.6377329069238946e-05,1.7786353714599412e-07,-1.7747736531365706e-07,0.00053212381401738194,1.6750530714242424e-09,-1.6717020679270749e-09,5.0117734744485736e-06,1,1,126
267,0.0038063836739465019,-0.0015766557413441709,0.00125,-8.6284049136716105e-06,86284.049136716101,86685.266359516405,-0.025542498626466056,0.010580046460095305,1.4371032797671183e-05,-2.6507294476007517e-08,1.0975519614510547e-08,-5.6377344957032617e-05,2.3224146929624951e-07,-9.5907483433123089e-08,0.00053212381221852531,2.1872391158142607e-09,-9.0356887493230195e-10,5.0117734744424817e-06,1,1,127
292,0.0041200000000000004,0,0.0018749999999999999,-9.2431804442784135e-06,92431.804442784138,92786.131650435404,-0.030122840565257946,-7.112295127842394e-12,8.344112337498631e-06,-1.6656406145188426e-08,-5.6484256946412723e-12,-6.1426067934976158e-05,1.3427916053262218e-07,2.5192902732874191e-10,0.00053066269494343331,1.2681818315493518e-09,2.2149990347011492e-12,5.0117738727208014e-06,1,1,159
293,0.0038063836739465019,0.00157665574134417,0.0018749999999999999,-9.2431733810686281e-06,92431.733810686274,92786.059823834075,-0.027829868303432696,-0.011527505346353922,8.3440633742849188e-06,-1.5386387336995404e-08,-6.3801239425371274e-09,-6.1426048409009905e-05,1.2395835713690901e-07,5.1625348863350811e-08,0.00053066269652585402,1.1707314704810705e-09,4.8751300922699204e-10,5.0117738727216934e-06,1,1,145
294,0.0029132799384885763,0.0029132799384885759,0.0018749999999999999,-9.2431661585274306e-06,92431.661585274313,92785.986493351171,-0.021300051408022932,-0.021300051397729416,8.3440288739372277e-06,-1.1774350130249933e-08,-1.1782338248853981e-08,-6.142602904048149e-05,9.4770338629500371e-08,9.512662007738096e-08,0.00053066269773203284,8.9516215361626624e-10,8.9829463206808032e-10,5.0117738727249451e-06,1,1,146
295,0.0015766557413441702,0.0038063836739465019,0.0018749999999999999,-9.2431733407797905e-06,92431.733407797903,92786.059450818313,-0.011527505334290858,-0.027829868274744395,8.3440633656447575e-06,-6.3696869877048341e-09,-1.5390710448866266e-08,-6.1426048345548625e-05,5.1159844637259897e-08,1.2415117530604813e-07,0.00053066269652540863,4.834202251749324e-10,1.172426757191999e-09,5.0117738727218424e-06,1,1,147
296,2.522772406243548e-19,0.0041200000000000004,0.0018749999999999999,-9.2431804442779205e-06,92431.804442779205,92786.131650438067,7.1130208927766558e-12,-0.030122840565259459,8.3441123375039944e-06,5.6484254746475736e-12,-1.6656406145212001e-08,-6.1426067934979234e-05,-2.5192902707048392e-10,1.3427916053265421e-07,0.00053066269494343157,-2.214999036463455e-12,1.2681818315496583e-09,5.0117738727208023e-06,1,1,148
315,-0.0015766557413441698,0.0038063836739465019,0.0018749999999999999,-9.2431733810665596e-06,92431.733810665595,92786.05982382709,0.01152750534635511,-0.027829868303436596,8.3440633742864367e-06,6.3801239426542156e-09,-1.5386387337104195e-08,-6.1426048409018199e-05,-5.1625348861473892e-08,1.2395835713727318e-07,0.00053066269652585435,-4.8751300911479098e-10,1.170731470523642e-09,5.0117738727216942e-06,1,1,149
316,-0.0029132799384885759,0.0029132799384885763,0.0018749999999999999,-9.2431661585263227e-06,92431.661585263224,92785.986493346936,0.021300051397732125,-0.021300051408025007,8.3440288739354269e-06,1.1782338248750582e-08,-1.1774350130089483e-08,-6.1426029040488389e-05,-9.5126620070425721e-08,9.4770338635240342e-08,0.00053066269773203263,-8.9829463195646956e-10,8.9516215371640007e-10,5.0117738727249451e-06,1,1,150
317,-0.0038063836739465019,0.0015766557413441705,0.0018749999999999999,-9.2431733407810136e-06,92431.733407810141,92786.059450832516,0.027829868274746497,-0.011527505334291978,8.3440633656416133e-06,1.5390710448680303e-08,-6.3696869879966643e-09,-6.1426048345553463e-05,-1.2415117530485913e-07,5.1159844639134553e-08,0.00053066269652540365,-1.1724267572187327e-09,4.8342022510101813e-10,5.0117738727218424e-06,1,1,151
318,-0.0041200000000000004,5.0455448124870961e-19,0.0018749999999999999,-9.2431804442795824e-06,92431.804442795823,92786.13165044866,0.030122840565258276,7.1125310502351269e-12,8.3441123375227003e-06,1.6656406145371077e-08,5.6484252467530851e-12,-6.1426067934976835e-05,-1.342791605327468e-07,-2.5192902687766393e-10,0.00053066269494343385,-1.2681818315505275e-09,-2.2149990391096317e-12,5.0117738727208031e-06,1,1,152
337,-0.0038063836739465019,-0.0015766557413441696,0.0018749999999999999,-9.2431733810662665e-06,92431.73381066267,92786.059823824733,0.027829868303435052,0.011527505346354603,8.3440633743089678e-06,1.5386387337336212e-08,6.3801239421119243e-09,-6.1426048409014893e-05,-1.2395835713569616e-07,-5.1625348864425458e-08,0.00053066269652585337,-1.1707314704964385e-09,-4.8751300917238964e-10,5.0117738727216934e-06,1,1,153
338,-0.0029132799384885767,-0.0029132799384885754,0.0018749999999999999,-9.2431661585254435e-06,92431.661585254435,92785.98649333822,0.021300051408023463,0.021300051397729773,8.3440288739400246e-06,1.1774350130898213e-08,1.17823382479473e-08,-6.1426029040482778e-05,-9.4770338631084931e-08,-9.5126620074489427e-08,0.00053066269773203339,-8.9516215355469598e-10,-8.9829463211730584e-10,5.011773872724946e-06,1,1,154
