step,input_kind,input_index,delta_m,output_index,output_label,copen_m,cpress_pa,cnormf_x_n,cnormf_y_n,cnormf_z_n
T5_PLUS,tile,5,1e-06,9,37,-0.004882812499999989,61491.74804687489,-3843.234252929681,0,0
T5_MINUS,tile,5,-1e-06,1,7,-0.01464843749999994,125580.0683593747,-7848.754272460918,0,0
T5_MINUS,tile,5,-1e-06,2,11,-0.01123046874999997,110626.9238281247,-13828.36547851559,0,0
T5_MINUS,tile,5,-1e-06,3,15,-0.0126953125,110931.6308593749,-6933.226928710934,0,0
T5_MINUS,tile,5,-1e-06,4,23,-0.008789062500000038,92621.70898437512,-11577.71362304689,0,0
T5_MINUS,tile,5,-1e-06,5,25,-0.009033578124999988,89876.84570312478,-22469.21142578121,0,0
T5_MINUS,tile,5,-1e-06,6,27,-0.006835937500000023,77973.27148437504,-9746.65893554688,0,0
T5_MINUS,tile,5,-1e-06,7,33,-0.006835937500000012,76142.52929687503,-4758.908081054689,0,0
T5_MINUS,tile,5,-1e-06,8,35,-0.008301281249999974,79501.80664062464,-9937.725830078081,0,0
T5_MINUS,tile,5,-1e-06,9,37,-0.004882812499999989,61494.09179687486,-3843.380737304679,0,0
T6_PLUS,tile,6,1e-06,1,7,-0.01464843749999994,125579.7167968747,-7848.732299804669,0,0
T6_PLUS,tile,6,1e-06,2,11,-0.01123046874999997,110625.6347656248,-13828.2043457031,0,0
T6_PLUS,tile,6,1e-06,3,15,-0.0126953125,110929.873046875,-6933.117065429685,0,0
T6_PLUS,tile,6,1e-06,4,23,-0.008789062500000038,92620.41992187516,-11577.5524902344,0,0
T6_PLUS,tile,6,1e-06,5,25,-0.009033015624999965,89872.1191406249,-22468.02978515624,0,0
T6_PLUS,tile,6,1e-06,6,27,-0.00683518750000001,77966.82617187507,-9745.853271484384,0,0
T6_PLUS,tile,6,1e-06,7,33,-0.006835937500000012,76140.77148437509,-4758.798217773443,0,0
T6_PLUS,tile,6,1e-06,8,35,-0.008300531249999937,79495.36132812485,-9936.920166015609,0,0
T6_PLUS,tile,6,1e-06,9,37,-0.004881812499999947,61485.30273437493,-3842.831420898433,0,0
T6_MINUS,tile,6,-1e-06,1,7,-0.01464843749999994,125579.9511718747,-7848.746948242167,0,0
T6_MINUS,tile,6,-1e-06,2,11,-0.01123046874999997,110626.8066406247,-13828.35083007809,0,0
T6_MINUS,tile,6,-1e-06,3,15,-0.0126953125,110932.9199218749,-6933.307495117183,0,0
T6_MINUS,tile,6,-1e-06,4,23,-0.008789062500000038,92621.2792968751,-11577.65991210939,0,0
T6_MINUS,tile,6,-1e-06,5,25,-0.009033390624999981,89876.41601562474,-22469.1040039062,0,0
T6_MINUS,tile,6,-1e-06,6,27,-0.006836687500000031,77977.99804687494,-9747.249755859368,0,0
T6_MINUS,tile,6,-1e-06,7,33,-0.006835937500000012,76141.94335937501,-4758.871459960938,0,0
T6_MINUS,tile,6,-1e-06,8,35,-0.008301031249999946,79501.22070312458,-9937.652587890574,0,0
T6_MINUS,tile,6,-1e-06,9,37,-0.004883812500000004,61500.53710937459,-3843.783569335912,0,0
S1_PLUS,secondary,1,1e-06,1,7,-0.01464900000003421,125583.3600966736,-7848.960206763989,-0.01098030298114757,-0.01072598984667793
S1_PLUS,secondary,1,1e-06,2,11,-0.01123056281091997,110627.335956521,-13828.41726361959,-0.009746709538249708,-0.004971930565253691
S1_PLUS,secondary,1,1e-06,3,15,-0.0126953125,110931.5826683016,-6933.223916768849,0,0
S1_PLUS,secondary,1,1e-06,4,23,-0.008789156681128171,92621.96550188625,-11577.74596761279,-0.004717617430769938,-0.00847514386327726
S1_PLUS,secondary,1,1e-06,5,25,-0.009033218836522566,89874.62036616664,-22468.65526269555,-0.004386953361934141,-0.004132640227726965
S1_PLUS,secondary,1,1e-06,6,27,-0.006835937500000023,77972.4709625174,-9746.558870314675,0,0
S1_PLUS,secondary,1,1e-06,7,33,-0.006835937500000012,76141.54383119191,-4758.846489449495,0,0
S1_PLUS,secondary,1,1e-06,8,35,-0.00830078124999995,79498.34990633209,-9937.293738291513,0,0
S1_PLUS,secondary,1,1e-06,9,37,-0.004882812499999989,61492.92974157649,-3843.308108848531,0,0
S1_MINUS,secondary,1,-1e-06,1,7,-0.01464787500003411,125576.3078697755,-7848.519039965075,0.01097963760792695,0.01072532444036297
S1_MINUS,secondary,1,-1e-06,2,11,-0.01123037468908627,110625.1054494067,-13828.13791188523,0.009746393487618174,0.004971713639622936
S1_MINUS,secondary,1,-1e-06,3,15,-0.0126953125,110931.210300463,-6933.20064377894,0,0
S1_MINUS,secondary,1,-1e-06,4,23,-0.008788968318863125,92619.73371627666,-11577.46643446318,0.004717400472027196,0.008474827652340111
S1_MINUS,secondary,1,-1e-06,5,25,-0.009033187413481979,89873.91479008103,-22468.47852634138,0.004386850348517666,0.004132537180694223
S1_MINUS,secondary,1,-1e-06,6,27,-0.006835937500000023,77972.35325624328,-9746.54415703041,0,0
S1_MINUS,secondary,1,-1e-06,7,33,-0.006835937500000012,76141.17101254458,-4758.823188284036,0,0
S1_MINUS,secondary,1,-1e-06,8,35,-0.00830078124999995,79498.23212492316,-9937.279015615397,0,0
S1_MINUS,secondary,1,-1e-06,9,37,-0.004882812499999989,61492.91010217612,-3843.306881386008,0,0
S2_PLUS,secondary,2,1e-06,1,7,-0.01464862500001954,125582.0598805581,-7848.878703450316,0.01098018008022615,-0.004971945648346762
S2_PLUS,secondary,2,1e-06,2,11,-0.01123103076493112,110629.9289708474,-13828.74080363906,0.0004069009262035216,-0.01812049131414304
S2_PLUS,secondary,2,1e-06,3,15,-0.01269550000001686,110933.6221875467,-6933.35137839101,-0.009759476989900037,-0.004565044641713969
S2_PLUS,secondary,2,1e-06,4,23,-0.008789093893722707,92621.55340829042,-11577.6942566716,0.004717577326316233,-0.004132647344521678
S2_PLUS,secondary,2,1e-06,5,25,-0.009033296916566019,89875.43936938197,-22468.85988091619,0.0002034504886149157,-0.01590760967654133
S2_PLUS,secondary,2,1e-06,6,27,-0.006835968871611811,77973.11579742878,-9746.639551757489,-0.004107225765456045,-0.003725746308900039
