contact_pressure,contact_opening,shear_1,shear_2,normal_force_x,normal_force_y,normal_force_z,shear_force_x,shear_force_y,shear_force_z,heat_flow,id,x,y,z,current_x,current_y,current_z,generated,slip_1,slip_2,tangent_1_x,tangent_1_y,tangent_1_z,tangent_2_x,tangent_2_y,tangent_2_z
92298.6154707285,-9.202067297666354e-06,-5.718337405104842e-06,-184.5972309414568,-0.02156076556546463,-0.02156076555462771,-3.175891107149583e-07,-6.040952465869235e-09,-6.098057525202383e-09,6.217793338402807e-05,111282.8501323511,694,-0.0029132799384885767,-0.0029132799384885754,0.0043750000000000004,-0.0029145555930775707,-0.00291455559307887,0.0049746967403917174,0,3.124322450269353e-11,-0.0005251342833538375,0.7071067811867195,-0.7071067811863755,-5.778004830170727e-17,5.841262242339277e-06,5.841262269444629e-06,-0.9999999999658797
92298.71657621917,-9.202077225835189e-06,-1.350709722846654e-05,-184.5974331524377,-0.01166860295604421,-0.02817051141118608,-3.175934094357278e-07,-3.248240541472582e-09,-7.944937615091638e-09,6.217795976468697e-05,111283.2986169055,695,-0.0015766557413441707,-0.0038063836739465019,0.0043750000000000004,-0.0015773461343499932,-0.0038080504025955054,0.0049746967400713972,0,2.181555000536255e-11,-0.0005251342830475418,0.923879527676487,-0.3826834440373287,-2.419021412484272e-10,3.161161433532636e-06,7.632352645418437e-06,-0.9999999999658772
92298.81295024665,-9.202086616164978e-06,-5.717120768890906e-06,-184.5976259004931,7.619659027000014e-12,-0.03049155343593394,-3.175971593592881e-07,4.037714019583532e-11,-8.582841202906759e-09,6.217798739709308e-05,111283.6891900724,696,-7.5683172187306446e-19,-0.0041200000000000004,0.0043750000000000004,9.2000920844480202e-16,-0.0041218040680689825,0.0049746967398578033,0,3.124527672254644e-11,-0.0005251342828552707,1,2.466629225696252e-13,1.738841866127387e-16,-1.892989852344165e-14,8.261378149249477e-06,-0.9999999999658749
92298.71695890806,-9.202077266643478e-06,2.071458503307497e-06,-184.5974339178161,0.01166860296931714,-0.02817051144303271,-3.175934098678788e-07,3.322846138935944e-09,-7.914024413176671e-09,6.217795983507643e-05,111283.2986180006,710,0.0015766557413441694,-0.0038063836739465019,0.0043750000000000004,0.0015773461343516909,-0.0038080504025947977,0.0049746967400713972,0,4.067395692292865e-11,-0.0005251342830475918,0.9238795276762998,0.3826834440377809,2.419018124815894e-10,-3.161161469148059e-06,7.632352630691461e-06,-0.9999999999658771
92298.61547072859,-9.202067297666381e-06,-5.718338958545429e-06,-184.597230941457,0.02156076555462787,-0.02156076556546447,-3.175891107144222e-07,6.09805752517684e-09,-6.04095246579546e-09,6.217793338402805e-05,111282.8501323515,711,0.0029132799384885754,-0.0029132799384885767,0.0043750000000000004,0.00291455559307887,-0.0029145555930775707,0.0049746967403917174,0,3.12432241851374e-11,-0.0005251342833538363,0.7071067811863756,0.7071067811867194,-5.286618890126052e-17,-5.841262269459693e-06,5.841262242348774e-06,-0.9999999999658795
92298.7165762205,-9.202077225835364e-06,-1.459012184168997e-05,-188.9888183978138,0.02817051141118684,-0.01166860295604457,-3.175934094371881e-07,7.944937615169413e-09,-3.248240541367136e-09,6.21779597646887e-05,111283.298616906,712,0.0038063836739465019,-0.0015766557413441709,0.0043750000000000004,0.0038080504025955054,-0.0015773461343499935,0.0049746967400713972,0,2.181554936022554e-11,-0.000525134283047542,0.3826834440373288,0.923879527676487,-2.419013108560195e-10,-7.63235264518191e-06,3.16116143428084e-06,-0.9999999999658773
92062.07843397005,-9.178127167391466e-06,7.693589767760574e-06,160.8400068591225,0.01521473435474979,3.826994060193711e-12,-6.742896987914342e-08,-8.863030161541148e-07,2.710826905589387e-08,3.102569350347379e-05,114508.2059851338,737,0.0041200000000000004,0,0.0050000000000000001,0.004121806189075412,1.7779924521859433e-15,0.0055999999999999999,0,-3.057658180404483e-11,0.0005239278672676634,2.626569484118019e-13,-1,-2.951681770824597e-16,6.556867032225673e-07,4.53510910897692e-14,0.9999999999997852
92061.98175100915,-9.178117753807347e-06,-1.797896113578969e-06,184.1239635020183,0.01405657626377947,0.005822422042766747,-6.742550776425489e-08,-8.292093151578308e-07,-3.141274875783708e-07,3.102567958689331e-05,114507.8065452885,738,0.0038063836739465019,0.00157665574134417,0.0050000000000000001,0.0038080523620758993,0.0015773469460397293,0.0055999999999999999,0,-3.99967716960251e-11,0.0005239278673018241,0.3826834441248413,-0.9238795276402382,-3.02030751925375e-11,6.05935389378788e-07,2.509510373409733e-07,0.9999999999997849
92061.87949521998,-9.178107710261413e-06,5.976160989349384e-06,184.1237589904397,0.01075843242632911,0.01075843242089338,-6.742477612403782e-08,-6.458761400951147e-07,-6.075393243090124e-07,3.102566623433032e-05,114507.3478758695,739,0.0029132799384885763,0.0029132799384885759,0.0050000000000000001,0.00291455709275011,0.0029145570927526223,0.0055999999999999999,0,-3.05745470902564e-11,0.0005239278673695969,0.7071067811867316,-0.7071067811863634,-3.509419639854881e-16,4.636515363452497e-07,4.636516004934965e-07,0.9999999999997851
92061.98136680838,-9.178117712822787e-06,1.374920216681928e-05,184.1239627336161,0.005822422036106939,0.01405657624780094,-6.742550762054811e-08,-3.642169636559763e-07,-8.084614853919671e-07,3.102567955157913e-05,114507.8065445282,740,0.0015766557413441702,0.0038063836739465019,0.0050000000000000001,0.0015773469460364465,0.0038080523620772628,0.0055999999999999999,0,-2.115536924366491e-11,0.0005239278673018032,0.9238795276404381,-0.3826834441243584,3.020247932151688e-11,2.509509538759054e-07,6.059354249467825e-07,0.9999999999997849
