case	field	relative_l2	relative_absolute_peak	maximum_pointwise_relative	zero_reference_count	maximum_zero_reference_absolute_difference
b71_rz_finite_coupled	rz_temperature	4.236858288209e-17	0.000000000000e+00	1.894780628694e-16	0	0.000000000000e+00
b73_rz_finite_creep	rz_bottom_axial_reaction	1.151822727703e-05	1.188690074101e-05	1.531923536605e-05	0	0.000000000000e+00
b73_rz_finite_creep	rz_creep_tensor	3.616844415049e-05	3.435133122132e-05	4.629540614231e-05	0	0.000000000000e+00
b73_rz_finite_creep	rz_displacement	1.111379509371e-05	1.125848636263e-05	2.968933136610e-05	5	0.000000000000e+00
b73_rz_finite_creep	rz_elastic_tensor	1.168573563071e-05	1.273860128196e-05	1.543842085769e-05	0	0.000000000000e+00
b73_rz_finite_creep	rz_equivalent_creep_strain	3.616844415073e-05	3.435133122159e-05	4.629540614266e-05	0	0.000000000000e+00
b73_rz_finite_creep	rz_equivalent_plastic_strain	undefined	undefined	undefined	20	0.000000000000e+00
b73_rz_finite_creep	rz_plastic_tensor	undefined	undefined	undefined	20	0.000000000000e+00
b73_rz_finite_creep	rz_stress_tensor	1.168548052052e-05	1.273806916531e-05	1.543777597417e-05	0	0.000000000000e+00
b73_rz_finite_creep	rz_temperature	5.991822453038e-17	1.894780628694e-16	1.894780628694e-16	0	0.000000000000e+00
b74_rz_small_plastic	rz_bottom_axial_reaction	3.048952732251e-14	2.158656000325e-14	7.758876294126e-14	0	0.000000000000e+00
b74_rz_small_plastic	rz_creep_tensor	undefined	undefined	undefined	20	0.000000000000e+00
b74_rz_small_plastic	rz_displacement	7.903672999683e-16	9.157257258783e-16	2.039273311318e-15	5	0.000000000000e+00
b74_rz_small_plastic	rz_elastic_tensor	3.091833567783e-14	2.385135010408e-14	8.029402034136e-14	0	0.000000000000e+00
b74_rz_small_plastic	rz_equivalent_creep_strain	undefined	undefined	undefined	20	0.000000000000e+00
b74_rz_small_plastic	rz_equivalent_plastic_strain	2.806724327388e-14	2.233705966565e-14	5.636222958242e-14	0	0.000000000000e+00
b74_rz_small_plastic	rz_plastic_tensor	2.942334378123e-15	2.749110032245e-15	5.874521642561e-15	0	0.000000000000e+00
b74_rz_small_plastic	rz_stress_tensor	3.102338094768e-14	2.567032083703e-14	7.807678863375e-14	0	0.000000000000e+00
b74_rz_small_plastic	rz_temperature	7.338453819647e-17	0.000000000000e+00	1.894780628694e-16	0	0.000000000000e+00
b75_rz_finite_plastic	rz_bottom_axial_reaction	1.986338481214e-05	1.628578689457e-05	4.964327679870e-05	0	0.000000000000e+00
b75_rz_finite_plastic	rz_creep_tensor	undefined	undefined	undefined	20	0.000000000000e+00
b75_rz_finite_plastic	rz_displacement	6.270075137129e-06	5.450902409971e-06	1.624910129172e-05	5	0.000000000000e+00
b75_rz_finite_plastic	rz_elastic_tensor	1.994779090775e-05	1.640724825151e-05	4.952801004131e-05	0	0.000000000000e+00
b75_rz_finite_plastic	rz_equivalent_creep_strain	undefined	undefined	undefined	20	0.000000000000e+00
b75_rz_finite_plastic	rz_equivalent_plastic_strain	1.858010115013e-05	1.649799082529e-05	1.981833384874e-05	0	0.000000000000e+00
b75_rz_finite_plastic	rz_plastic_tensor	1.858010111989e-05	1.649799080067e-05	1.981833378740e-05	0	0.000000000000e+00
b75_rz_finite_plastic	rz_stress_tensor	1.994784082964e-05	1.640720664227e-05	4.952800631953e-05	0	0.000000000000e+00
b75_rz_finite_plastic	rz_temperature	4.236858288209e-17	0.000000000000e+00	1.894780628694e-16	0	0.000000000000e+00
b76_rz_small_thermal	rz_bottom_axial_reaction	7.071800066233e-15	7.527030030159e-15	9.408787537698e-15	0	0.000000000000e+00
b76_rz_small_thermal	rz_creep_tensor	undefined	undefined	undefined	20	0.000000000000e+00
b76_rz_small_thermal	rz_displacement	6.989245374656e-15	7.949078428079e-15	7.981656618358e-15	10	0.000000000000e+00
b76_rz_small_thermal	rz_elastic_tensor	7.319202996643e-15	8.145042257663e-15	1.229635927129e-14	0	0.000000000000e+00
b76_rz_small_thermal	rz_equivalent_creep_strain	undefined	undefined	undefined	20	0.000000000000e+00
b76_rz_small_thermal	rz_equivalent_plastic_strain	undefined	undefined	undefined	20	0.000000000000e+00
b76_rz_small_thermal	rz_plastic_tensor	undefined	undefined	undefined	20	0.000000000000e+00
b76_rz_small_thermal	rz_stress_tensor	8.858517008934e-15	9.980328651799e-15	3.310150393867e-14	0	0.000000000000e+00
b76_rz_small_thermal	rz_temperature	7.188951127037e-16	1.136868377216e-15	1.136868377216e-15	0	0.000000000000e+00
b77_rz_finite_thermal	rz_bottom_axial_reaction	1.850286884359e-07	2.187945670061e-07	2.187945670061e-07	0	0.000000000000e+00
b77_rz_finite_thermal	rz_creep_tensor	undefined	undefined	undefined	20	0.000000000000e+00
b77_rz_finite_thermal	rz_displacement	8.460045472065e-06	8.469986960100e-06	8.469986960100e-06	10	0.000000000000e+00
b77_rz_finite_thermal	rz_elastic_tensor	3.128244591319e-14	3.631702896291e-14	7.145662223334e-14	0	0.000000000000e+00
b77_rz_finite_thermal	rz_equivalent_creep_strain	undefined	undefined	undefined	20	0.000000000000e+00
b77_rz_finite_thermal	rz_equivalent_plastic_strain	undefined	undefined	undefined	20	0.000000000000e+00
b77_rz_finite_thermal	rz_plastic_tensor	undefined	undefined	undefined	20	0.000000000000e+00
b77_rz_finite_thermal	rz_stress_tensor	7.082524173642e-14	8.367317406762e-14	1.688214234053e-13	0	0.000000000000e+00
b77_rz_finite_thermal	rz_temperature	1.216894190188e-16	1.624097681737e-16	1.833658672929e-16	0	0.000000000000e+00
b78_rz_small_contact	rz_contact_gap	1.719234873511e-12	1.719234873511e-12	1.719234873511e-12	0	0.000000000000e+00
b78_rz_small_contact	rz_contact_heat_rate	1.286357671170e-14	1.286357671170e-14	1.286357671170e-14	0	0.000000000000e+00
b78_rz_small_contact	rz_contact_nodal_normal_force	1.965518961501e-12	1.965466475713e-12	1.965600967740e-12	0	0.000000000000e+00
b78_rz_small_contact	rz_contact_normal_force	1.965526249947e-12	1.965526249947e-12	1.965526249947e-12	0	0.000000000000e+00
b78_rz_small_contact	rz_contact_pressure	1.966743730006e-12	1.966743730006e-12	1.966743730006e-12	0	0.000000000000e+00
b78_rz_small_contact	rz_displacement	4.256823999349e-14	3.743885626864e-14	9.989694821681e-14	2	0.000000000000e+00
b78_rz_small_contact	rz_stress_tensor	9.965028860802e-14	1.000499906616e-13	1.000499906616e-13	0	0.000000000000e+00
b78_rz_small_contact	rz_temperature	6.174600799994e-17	0.000000000000e+00	1.755458523643e-16	0	0.000000000000e+00
b79_rz_finite_contact	rz_contact_gap	4.131537484293e-06	4.131537484293e-06	4.131537484293e-06	0	0.000000000000e+00
b79_rz_finite_contact	rz_contact_heat_rate	8.375138943522e-07	8.375138943522e-07	8.375138943522e-07	0	0.000000000000e+00
b79_rz_finite_contact	rz_contact_nodal_normal_force	4.131537637632e-06	4.131537638026e-06	4.131537638026e-06	0	0.000000000000e+00
b79_rz_finite_contact	rz_contact_normal_force	4.131537637428e-06	4.131537637428e-06	4.131537637428e-06	0	0.000000000000e+00
b79_rz_finite_contact	rz_contact_pressure	4.131537638852e-06	4.131537639405e-06	4.131537639405e-06	0	0.000000000000e+00
b79_rz_finite_contact	rz_displacement	1.192072147259e-07	1.043107955274e-07	2.783457459859e-07	2	0.000000000000e+00
b79_rz_finite_contact	rz_stress_tensor	4.131589376361e-06	4.131590084018e-06	4.131590084018e-06	0	0.000000000000e+00
b79_rz_finite_contact	rz_temperature	2.166332139907e-09	0.000000000000e+00	3.079475363259e-09	0	0.000000000000e+00
b72_rz_small_creep	abaqus_native_integration_creep	5.614145431804e-10	3.536121455747e-10	3.220956525265e-09	4	0.000000000000e+00
b72_rz_small_creep	abaqus_native_integration_creep_increment	9.242967667967e-10	9.656175598699e-15	4.533320002833e-09	4	0.000000000000e+00
b72_rz_small_creep	abaqus_native_integration_displacement	5.717317433682e-10	1.385594522100e-09	2.904938231934e-09	10	2.094395102393e-35
b72_rz_small_creep	abaqus_native_integration_elastic	4.405341458036e-10	1.181227183719e-09	1.476533979649e-09	0	0.000000000000e+00
b72_rz_small_creep	abaqus_native_integration_equiv_creep	5.614145191098e-10	3.535946080155e-10	3.220956486901e-09	4	0.000000000000e+00
b72_rz_small_creep	abaqus_native_integration_equiv_plastic	9.563826222020e-10	3.671325396470e-12	4.029540553949e-09	8	0.000000000000e+00
b72_rz_small_creep	abaqus_native_integration_heat_reaction	undefined	undefined	undefined	40	0.000000000000e+00
b72_rz_small_creep	abaqus_native_integration_plastic	9.563826280221e-10	2.417724368511e-09	4.029540614184e-09	8	0.000000000000e+00
b72_rz_small_creep	abaqus_native_integration_plastic_increment	5.589176123858e-09	6.035108122884e-09	6.035108122884e-09	28	0.000000000000e+00
b72_rz_small_creep	abaqus_native_integration_reaction	3.005604627383e-10	7.237528875153e-16	1.007383614999e-09	0	0.000000000000e+00
b72_rz_small_creep	abaqus_native_integration_stress	3.681097391165e-10	9.870317439247e-10	1.233789679906e-09	0	0.000000000000e+00
b72_rz_small_creep	abaqus_native_integration_temperature	8.473716576417e-17	1.894780628694e-16	1.894780628694e-16	0	0.000000000000e+00
b72_rz_small_creep	cross_solver_diagnostic_displacement	1.858190806303e-03	1.508546265270e-03	1.000000000000e+00	0	0.000000000000e+00
b72_rz_small_creep	cross_solver_diagnostic_equiv_creep	1.713629022724e-02	9.501188005405e-03	8.000000000000e+00	4	1.600000000000e-07
b72_rz_small_creep	fuelsim_backward_euler_creep	5.343925914145e-15	5.381175465469e-15	1.352929549885e-14	0	0.000000000000e+00
b72_rz_small_creep	fuelsim_backward_euler_creep_increment	5.694769799539e-15	0.000000000000e+00	1.431328822907e-14	0	0.000000000000e+00
b72_rz_small_creep	fuelsim_backward_euler_displacement	1.344666437107e-15	1.844705775724e-15	4.795249927844e-15	10	0.000000000000e+00
b72_rz_small_creep	fuelsim_backward_euler_elastic	1.437325812311e-15	2.445960401302e-15	3.336625954696e-15	0	0.000000000000e+00
b72_rz_small_creep	fuelsim_backward_euler_equiv_creep	5.404318764545e-15	5.181848618497e-15	1.352899846309e-14	0	0.000000000000e+00
b72_rz_small_creep	fuelsim_backward_euler_equiv_plastic	1.283605700924e-15	4.336808689942e-16	1.016439536705e-14	8	0.000000000000e+00
b72_rz_small_creep	fuelsim_backward_euler_heat_reaction	undefined	undefined	undefined	40	6.503812536460e-16
b72_rz_small_creep	fuelsim_backward_euler_plastic	1.285302376538e-15	2.493783925790e-15	1.025581180510e-14	8	0.000000000000e+00
b72_rz_small_creep	fuelsim_backward_euler_plastic_increment	5.687936787804e-15	7.047314121156e-15	1.016439536705e-14	28	0.000000000000e+00
b72_rz_small_creep	fuelsim_backward_euler_reaction	1.147949085725e-15	1.447505775031e-15	2.261727773485e-15	0	0.000000000000e+00
b72_rz_small_creep	fuelsim_backward_euler_stress	1.536587269812e-15	1.765079589050e-15	2.941799315084e-15	0	0.000000000000e+00
b72_rz_small_creep	fuelsim_backward_euler_temperature	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0	0.000000000000e+00
