stage,time_s,node,temperature_k,ux_m,uy_m,uz_m,reaction_heat_flux_w,rfx_n,rfy_n,rfz_n
5,0.5,2,600,0.002864453024866129,-5.289366852587174e-34,-5.289366852549241e-34,0,0,-0.1227967187039485,-0.1227967232059174
5,0.5,3,600,0.002864453024866131,-0.001128862900583861,-5.2893668525661e-34,0,0,0,-0.1227967239732126
5,0.5,4,600,7.976089761402957e-33,-0.001128862900583859,-5.289366852539744e-34,-1.685343310637123e-15,-74999999.74763395,0,-0.1227967231292619
5,0.5,5,600,7.976089761400154e-33,-5.289366852542946e-34,-0.00112886290058386,7.000596394145618e-15,-74999999.74763393,-0.1227967236850823,0
5,0.5,6,600,0.00286445302486613,-5.289366852590787e-34,-0.001128862900583861,0,0,-0.1227967185279487,0
5,0.5,7,600,0.002864453024866131,-0.001128862900583861,-0.00112886290058386,0,0,0,0
5,0.5,8,600,7.976089761405759e-33,-0.00112886290058386,-0.001128862900583859,8.651108465284452e-15,-74999999.74763392,0,0
6,0.6000000000000001,1,600,7.985762254351834e-33,-5.292757206839099e-34,-5.292757206913379e-34,-2.606734987305749e-15,-74999999.74696597,-0.1231709379695656,-0.1231709327706583
6,0.6000000000000001,2,600,0.003137738319130159,-5.292757206773578e-34,-5.292757206735644e-34,0,0,-0.1231709306146991,-0.1231709372746266
6,0.6000000000000001,3,600,0.003137738319130161,-0.00126485185559831,-5.292757206661419e-34,0,0,0,-0.1231709438724337
6,0.6000000000000001,4,600,7.985762254343426e-33,-0.001264851855598309,-5.292757206922329e-34,-6.71706202950334e-15,-74999999.74696599,0,-0.1231709303216063
6,0.6000000000000001,5,600,7.985762254340624e-33,-5.292757206820434e-34,-0.00126485185559831,4.026584104968623e-15,-74999999.74696596,-0.1231709349233302,0
6,0.6000000000000001,6,600,0.003137738319130161,-5.292757206707125e-34,-0.00126485185559831,0,0,-0.1231709375745919,0
6,0.6000000000000001,7,600,0.00313773831913016,-0.00126485185559831,-0.001264851855598309,0,0,0,0
6,0.6000000000000001,8,600,7.985762254337821e-33,-0.001264851855598309,-0.001264851855598309,4.909617218911945e-15,-74999999.74696594,0,0
7,0.7000000000000001,1,600,7.995454072488723e-33,-5.296145000706072e-34,-5.296145000759332e-34,-1.75114305367291e-14,-74999999.74629569,-0.1235465706598747,-0.1235465568824373
7,0.7000000000000001,2,600,0.003411321812344371,-5.296145000759661e-34,-5.296145000847844e-34,0,0,-0.1235465691484049,-0.1235465606262643
7,0.7000000000000001,3,600,0.003411321812344372,-0.001400933534756679,-5.296145000906742e-34,0,0,0,-0.1235465601741431
7,0.7000000000000001,4,600,7.995454072498532e-33,-0.001400933534756677,-5.296145000761275e-34,3.90287896299927e-15,-74999999.74629562,0,-0.1235465652516812
