stage,time_s,element,integration_point,x_m,y_m,z_m,temperature_k,s11_pa,s22_pa,s33_pa,s12_pa,s13_pa,s23_pa,le11,le22,le33,le12_engineering,le13_engineering,le23_engineering,ee11,ee22,ee33,ee12_engineering,ee13_engineering,ee23_engineering,ce11,ce22,ce33,ce12_engineering,ce13_engineering,ce23_engineering,ceeq,ivol_m3
3,0.3,1,8,0.7905038945915741,0.7879991117598741,0.787999111759874,600,300514958.5702165,0.4874986112117767,0.4874986112117767,9.604331760037873e-09,8.406451623568673e-09,2.097319154076318e-08,0.002316090551428901,-0.0008575301815584132,-0.0008575301815584132,0,0,0,0.001502574791388587,-0.0004507724361490799,-0.00045077243614908,1.248563128804924e-19,1.092838711063927e-19,2.726514900299214e-19,0.0008135154743685194,-0.0004067577371842597,-0.0004067577371842597,-1.31598441981969e-19,-9.770688465950054e-20,1.440887200191944e-19,0.0008135154743685194,0.1250751513553933
4,0.4,1,1,0.2118725064738278,0.2111150268867132,0.2111150268867133,600,300596667.4702677,0.4889155030250549,0.4889155030250549,1.117420946050788e-09,-4.659499340843043e-10,9.292749656261496e-09,0.002588113304679444,-0.0009934598486515938,-0.0009934598486515938,0,0,0,0.001502983335884592,-0.0004508949994941973,-0.0004508949994941974,1.452647229866024e-20,-6.057349143095955e-21,1.208057455313994e-19,0.001085129681445752,-0.0005425648407228761,-0.0005425648407228765,6.415575860981082e-20,5.533735580109755e-20,3.843644855240902e-20,0.001085129681445752,0.1250751717950593
4,0.4,1,2,0.7907189588873011,0.2111150268867132,0.2111150268867133,600,300596667.4702676,0.4889154732227325,0.4889154732227325,4.175063506646928e-08,2.349777631700913e-08,-2.065177808127309e-10,0.002588113304679444,-0.0009934598486515938,-0.0009934598486515938,0,0,0,0.001502983335884592,-0.0004508949994941974,-0.0004508949994941976,5.427582558641007e-19,3.054710921211187e-19,-2.684731150565499e-21,0.001085129681445753,-0.0005425648407228763,-0.0005425648407228765,6.188976591155319e-19,5.090801473224196e-19,3.82601149352461e-20,0.001085129681445753,0.1250751717950593
4,0.4,1,3,0.2118725064738278,0.7878920065824935,0.2111150268867133,600,300596667.4702677,0.4889154732227325,0.4889154732227325,-3.418491688560638e-08,5.866737448698323e-09,1.630246451434838e-08,0.002588113304679444,-0.0009934598486515938,-0.0009934598486515938,0,0,0,0.001502983335884592,-0.0004508949994941973,-0.0004508949994941973,-4.444039195128828e-19,7.626758683307818e-20,2.119320386865289e-19,0.001085129681445753,-0.0005425648407228765,-0.0005425648407228766,-2.727847595964383e-19,-3.631982298812625e-20,-1.203226313451397e-20,0.001085129681445753,0.1250751717950593
4,0.4,1,4,0.7907189588873011,0.7878920065824935,0.2111150268867133,600,300596667.4702677,0.4889154583215714,0.4889154583215714,6.448297234812126e-09,7.338440996821743e-08,-2.04278405860138e-09,0.002588113304679444,-0.0009934598486515938,-0.0009934598486515938,0,0,0,0.001502983335884592,-0.0004508949994941974,-0.0004508949994941974,8.382786405255764e-20,9.539973295868263e-19,-2.655619276181792e-20,0.001085129681445754,-0.0005425648407228768,-0.0005425648407228767,2.819571409092834e-19,3.107073151664577e-19,2.740322570907224e-20,0.001085129681445754,0.1250751717950593
4,0.4,1,5,0.2118725064738278,0.2111150268867132,0.7878920065824935,600,300596667.4702675,0.4889155030250549,0.4889155030250549,9.096000948536604e-09,-2.37390923982728e-08,1.71581545198181e-08,0.002588113304679444,-0.0009934598486515938,-0.0009934598486515938,0,0,0,0.001502983335884592,-0.0004508949994941972,-0.0004508949994941976,1.182480123309759e-19,-3.086082011775464e-19,2.230560087576353e-19,0.001085129681445753,-0.0005425648407228765,-0.0005425648407228766,-5.341367837963831e-21,-2.222522482215877e-19,7.509958867587837e-20,0.001085129681445753,0.1250751717950593
4,0.4,1,6,0.7907189588873011,0.2111150268867132,0.7878920065824934,600,300596667.4702677,0.4889154732227325,0.4889154732227325,7.945866729106526e-08,2.246338528206398e-10,-1.925824560334973e-10,0.002588113304679444,-0.0009934598486515938,-0.0009934598486515938,0,0,0,0.001502983335884592,-0.0004508949994941973,-0.0004508949994941973,1.032962674783848e-18,2.920240086668267e-21,-2.503571928435463e-21,0.001085129681445754,-0.0005425648407228767,-0.0005425648407228769,2.82184048456155e-19,2.314905432997345e-19,1.456521400144123e-19,0.001085129681445754,0.1250751717950593
4,0.4,1,7,0.2118725064738278,0.7878920065824934,0.7878920065824934,600,300596667.4702677,0.4889154732227325,0.488915428519249,-3.847169400555387e-08,-2.982847094745873e-08,2.30198428956546e-08,0.002588113304679444,-0.0009934598486515938,-0.0009934598486515938,0,0,0,0.001502983335884593,-0.0004508949994941975,-0.0004508949994941977,-5.001320220722005e-19,-3.877701223169636e-19,2.992579576435099e-19,0.001085129681445753,-0.0005425648407228767,-0.0005425648407228768,-3.312663687765005e-19,-2.70739865653414e-19,1.245016694607261e-20,0.001085129681445753,0.1250751717950593
4,0.4,1,8,0.790718958887301,0.7878920065824935,0.7878920065824933,600,300596667.4702677,0.4889154583215714,0.4889154583215714,3.202662180103602e-08,3.193343809333072e-08,-2.270324536586793e-09,0.002588113304679444,-0.0009934598486515938,-0.0009934598486515938,0,0,0,0.001502983335884593,-0.0004508949994941977,-0.0004508949994941978,4.163460834134684e-19,4.151346952132996e-19,-2.951421897562833e-20,0.001085129681445754,-0.0005425648407228769,-0.0005425648407228769,-4.550991754110687e-20,-1.152366451564015e-20,1.379344362241788e-19,0.001085129681445754,0.1250751717950593
5,0.5,1,1,0.2119301955551243,0.2110863086046582,0.2110863086046583,600,300678465.3556004,0.4903374910354614,0.4903374910354614,4.15402683432674e-09,1.339996314280757e-09,2.513366479713996e-09,0.002860358296873845,-0.001129500546229563,-0.001129500546229563,0,0,0,0.00150339232530699,-0.0004510176963172193,-0.0004510176963172194,5.400234884624761e-20,1.741995208564984e-20,3.267376423628196e-20,0.001356965682536196,-0.0006784828412680979,-0.0006784828412680984,7.535624080724141e-20,5.89772437253427e-20,4.525326691111367e-20,0.001356965682536196,0.1250751922569887
