increment,time_s,node,temperature_k,u1_m,u2_m,u3_m,reaction_heat_flux_w,rf1_n,rf2_n,rf3_n
3,0.05999999865889549,6,300.0000130040082,-9.515245858817915e-06,1.267215935689015e-06,-1.267215935664873e-06,0,0,0,0
3,0.05999999865889549,7,300,-5.793111047990538e-40,-2.532703536605675e-41,2.532705488258474e-41,-1.594330163950821e-06,296.0866860610965,37.94915957309721,-37.94915957312326
3,0.05999999865889549,8,300.0000002125747,-4.51125091834468e-06,-1.674493800088788e-06,1.67449380009709e-06,0,0,0,0
3,0.05999999865889549,9,300.0000130040082,-9.515245858879164e-06,-1.267215935690531e-06,1.267215935714683e-06,0,0,0,0
3,0.05999999865889549,10,300,-5.793112448091605e-40,2.532704776233957e-41,2.532703977611865e-41,-1.59433011808003e-06,296.0866860611067,-37.94915957315911,-37.94915957319601
3,0.05999999865889549,11,300.0000002125747,-4.5112509183244e-06,1.674493800096265e-06,1.674493800108176e-06,0,0,0,0
3,0.05999999865889549,12,300.0000130040082,-9.515245858753189e-06,1.267215935659304e-06,1.267215935693992e-06,0,0,0,0
3,0.05999999865889549,13,300.0002310859205,-0.0001106995870934025,-1.163009991940345e-06,-1.16300999189816e-06,0,0,0,0
3,0.05999999865889549,14,300.0093549178658,-0.0001169910066835916,-3.356648265566374e-06,-3.356648265551894e-06,0,0,0,0
3,0.05999999865889549,15,300.6,-0.00012,1.191776471884371e-40,1.191776388788116e-40,65.49170628333015,-296.0866860562282,83.01428400511259,83.01428400507608
3,0.05999999865889549,16,300.0002310859205,-0.0001106995870932719,1.163009991955763e-06,-1.163009991926764e-06,0,0,0,0
3,0.05999999865889549,17,300.0093549178658,-0.000116991006683578,3.356648265551684e-06,-3.356648265541748e-06,0,0,0,0
3,0.05999999865889549,18,300.6,-0.00012,-1.191776594243539e-40,1.191776777773418e-40,65.49170628333022,-296.0866860561122,-83.0142840050507,83.01428400502607
3,0.05999999865889549,19,300.0002310859205,-0.0001106995870931974,-1.163009991957936e-06,1.16300999198695e-06,0,0,0,0
3,0.05999999865889549,20,300.0093549178658,-0.0001169910066835419,-3.356648265545305e-06,3.356648265555257e-06,0,0,0,0
3,0.05999999865889549,21,300.6,-0.00012,1.191776697927704e-40,-1.191776514559653e-40,65.49170628333019,-296.0866860564551,83.01428400498924,-83.01428400501403
3,0.05999999865889549,22,300.0002310859205,-0.0001106995870933511,1.163009991919595e-06,1.163009991961746e-06,0,0,0,0
