id,x,y,z,temperature,displacement_x,displacement_y,displacement_z
56,0,0.002,0.00025000000000000001,628.08034300930319,4.714264175016614e-37,-1.1082907168056058e-36,-1.3346670058798854e-36
57,0.002,0.002,0,600,2.1577999654771538e-07,-1.6762611835049898e-07,-1.0803408412623442e-06
58,0.002,0.002,0.00025000000000000001,603.89219258505068,4.8872539225406433e-07,-2.6701962002048069e-07,-1.0820695211907028e-06
59,0.0030000000000000001,0.002,0,600,5.7915226107045521e-08,-1.6403819317923473e-07,-2.7600576550904943e-06
60,0.0030000000000000001,0.002,0.00025000000000000001,606.95103468034688,5.7839507360690108e-07,-3.1704809544579595e-07,-2.7221034333213844e-06
61,0.0040000000000000001,0.002,0,600,1.4709097739868012e-07,-1.1010346496655543e-07,-5.2081646846706372e-06
62,0.0040000000000000001,0.002,0.00025000000000000001,606.27981376695277,8.2057487469629713e-07,-2.9293341993070914e-07,-5.2104510763342615e-06
63,0.0050000000000000001,0.002,0,600,1.3537738796316619e-08,-9.6561096165435478e-08,-8.4698249005153009e-06
64,0.0050000000000000001,0.002,0.00025000000000000001,606.42830065474777,9.5410609936753807e-07,-2.8287062228170958e-07,-8.4359601545871576e-06
65,0.0060000000000000001,0.002,0,600,1.5101814967243544e-07,-5.7019781900269038e-08,-1.2435734633648439e-05
66,0.0060000000000000001,0.002,0.00025000000000000001,606.38911406430532,1.1809738187142952e-06,-2.6928221721471209e-07,-1.24323311148653e-05
67,0.007000000000000001,0.002,0,600,3.3168108429314974e-08,-5.7651029488455059e-08,-1.7168812907136752e-05
68,0.007000000000000001,0.002,0.00025000000000000001,606.42830065474766,1.3643245063625443e-06,-2.5639605035857097e-07,-1.7139551937029561e-05
69,0.0080000000000000002,0.002,0,600,1.8651972211443667e-07,-3.7423755156730731e-08,-2.2588774438732477e-05
70,0.0080000000000000002,0.002,0.00025000000000000001,606.27981376695277,1.5651446165087561e-06,-2.5580400716998001e-07,-2.257942499597117e-05
71,0.0090000000000000011,0.002,0,600,7.6147648954942505e-08,-3.4096051827344113e-08,-2.8766002659234271e-05
72,0.0090000000000000011,0.002,0.00025000000000000001,606.95103468034688,1.7830255099781909e-06,-2.3526615175917906e-07,-2.87387414774139e-05
73,0.01,0.002,0,600,2.4721152019940125e-07,-2.2870717988325887e-08,-3.5621042230479818e-05
74,0.01,0.002,0.00025000000000000001,603.89219258505068,1.9728546626149521e-06,-2.2977743441416072e-07,-3.5611758177070403e-05
