case,node,rf_x_n,rf_y_n,rf_z_n
warped_hourglass_x_large_weak,3,-182709216.6214021,-223687696.5751182,200098109.0398096
warped_hourglass_x_large_weak,4,197335787.2425468,-194419651.5970407,200704578.4977383
warped_hourglass_x_large_weak,5,206384734.4124127,199993004.9584855,-198218481.3597552
warped_hourglass_x_large_weak,6,-225948887.7415281,202795648.7577801,-199089616.65929
warped_hourglass_x_large_weak,7,-143856141.8939958,-214851873.397588,-197033551.8259775
warped_hourglass_x_large_weak,8,261634530.810802,-193531141.1901731,-193360992.215986
warped_hourglass_y_large_default,1,127428559.00587,245389429.299622,198875889.4322367
warped_hourglass_y_large_default,2,-226342871.8977709,244728284.0157806,194718721.9547396
warped_hourglass_y_large_default,3,-155438557.5044618,-264243154.5517623,193321983.9656881
warped_hourglass_y_large_default,4,174794209.4860466,-214389808.631454,200284842.1949069
warped_hourglass_y_large_default,5,176604214.769096,225918401.2580592,-197755108.7085981
warped_hourglass_y_large_default,6,-200084649.5116132,234854845.6297076,-198968205.3319573
warped_hourglass_y_large_default,7,-125055546.4357623,-256244760.0240356,-197248456.2825037
warped_hourglass_y_large_default,8,228094642.0885954,-216013236.9959175,-193229667.2245123
warped_hourglass_y_large_weak,1,127431308.4290856,251158949.0260443,198875498.7417422
warped_hourglass_y_large_weak,2,-226345367.008151,239745642.445893,194719076.5076161
warped_hourglass_y_large_weak,3,-155435808.4043761,-258769074.6528676,193321593.3211094
warped_hourglass_y_large_weak,4,174791602.209278,-219840541.0453512,200285212.6865226
warped_hourglass_y_large_weak,5,176606781.9628157,231307978.9255525,-197755473.5044502
warped_hourglass_y_large_weak,6,-200087335.2340337,229479530.4149267,-198967823.6932865
warped_hourglass_y_large_weak,7,-125053017.1639428,-251213080.3260639,-197248815.6896886
warped_hourglass_y_large_weak,8,228091835.2093242,-221869404.7881337,-193229268.369565
warped_hourglass_z_large_default,1,148113257.4889956,193713506.7593802,173943995.0941452
warped_hourglass_z_large_default,2,-178677056.1608803,161013944.3479587,139702196.7722365
warped_hourglass_z_large_default,3,-145600851.7014358,-233921959.3828443,187393899.1914861
warped_hourglass_z_large_default,4,161333031.2832888,-180843399.7250625,200974607.6882012
warped_hourglass_z_large_default,5,160807435.3111099,210081336.5985879,-174916026.2851762
warped_hourglass_z_large_default,6,-186631357.6003884,189809439.6240889,-214691498.4987374
warped_hourglass_z_large_default,7,-143463404.5119089,-190251889.21682,-165771775.1744478
warped_hourglass_z_large_default,8,184118945.8912192,-149600979.0052889,-146635398.7877076
warped_hourglass_z_large_weak,1,148116006.9122112,193709794.4979898,168950690.6081092
warped_hourglass_z_large_weak,2,-178679551.2712605,161017313.2370684,144448175.2163698
warped_hourglass_z_large_weak,3,-145598102.6013503,-233925671.2079456,182402270.3167756
warped_hourglass_z_large_weak,4,161330424.0065203,-180839879.3892965,205932129.5804658
warped_hourglass_z_large_weak,5,160810002.5048298,210077870.3828108,-179797617.1110809
warped_hourglass_z_large_weak,6,-186634043.322809,189813065.8768937,-209820404.3579966
warped_hourglass_z_large_weak,7,-143460875.2400896,-190255304.2305826,-170582687.6857821
warped_hourglass_z_large_weak,8,184116139.011948,-149597189.1669379,-141532556.5668607
