case	metric	value
b125_cax8rt_finite_coupled	rz_equivalent_plastic_strain_maximum_zero_reference_absolute_difference	0.000000000000e+00
b125_cax8rt_finite_coupled	rz_equivalent_creep_strain_relative_l2	3.186620673853e-12
b125_cax8rt_finite_coupled	rz_equivalent_creep_strain_relative_absolute_peak	4.393362390202e-12
b125_cax8rt_finite_coupled	rz_equivalent_creep_strain_maximum_pointwise_relative	1.792578080976e-11
b125_cax8rt_finite_coupled	rz_equivalent_creep_strain_maximum_pointwise_relative_index	1
b125_cax8rt_finite_coupled	rz_equivalent_creep_strain_maximum_pointwise_relative_actual	1.031043451081e-06
b125_cax8rt_finite_coupled	rz_equivalent_creep_strain_maximum_pointwise_relative_reference	1.031043451062e-06
b125_cax8rt_finite_coupled	rz_equivalent_creep_strain_maximum_absolute_difference_index	17
b125_cax8rt_finite_coupled	rz_equivalent_creep_strain_maximum_absolute_difference_actual	2.075373804891e-04
b125_cax8rt_finite_coupled	rz_equivalent_creep_strain_maximum_absolute_difference_reference	2.075373804901e-04
b125_cax8rt_finite_coupled	rz_equivalent_creep_strain_zero_reference_count	0
b125_cax8rt_finite_coupled	rz_equivalent_creep_strain_maximum_zero_reference_absolute_difference	0.000000000000e+00
b125_cax8rt_finite_coupled	rz_accepted_frames	5
b124_cax8rt_small_coupled	rz_temperature_relative_l2	2.995911226519e-17
b124_cax8rt_small_coupled	rz_temperature_relative_absolute_peak	1.894780628694e-16
b124_cax8rt_small_coupled	rz_temperature_maximum_pointwise_relative	1.894780628694e-16
b124_cax8rt_small_coupled	rz_temperature_maximum_pointwise_relative_index	27
b124_cax8rt_small_coupled	rz_temperature_maximum_pointwise_relative_actual	6.000000000000e+02
b124_cax8rt_small_coupled	rz_temperature_maximum_pointwise_relative_reference	6.000000000000e+02
b124_cax8rt_small_coupled	rz_temperature_maximum_absolute_difference_index	27
b124_cax8rt_small_coupled	rz_temperature_maximum_absolute_difference_actual	6.000000000000e+02
b124_cax8rt_small_coupled	rz_temperature_maximum_absolute_difference_reference	6.000000000000e+02
b124_cax8rt_small_coupled	rz_temperature_zero_reference_count	0
b124_cax8rt_small_coupled	rz_temperature_maximum_zero_reference_absolute_difference	0.000000000000e+00
b124_cax8rt_small_coupled	rz_displacement_relative_l2	1.328394390511e-12
b124_cax8rt_small_coupled	rz_displacement_relative_absolute_peak	1.770825223038e-12
b124_cax8rt_small_coupled	rz_displacement_maximum_pointwise_relative	6.594586718398e-12
b124_cax8rt_small_coupled	rz_displacement_maximum_pointwise_relative_index	9
b124_cax8rt_small_coupled	rz_displacement_maximum_pointwise_actual_norm	1.926526667775e-06
b124_cax8rt_small_coupled	rz_displacement_maximum_pointwise_reference_norm	1.926526667763e-06
b124_cax8rt_small_coupled	rz_displacement_maximum_difference_index	33
b124_cax8rt_small_coupled	rz_displacement_maximum_absolute_group_difference	1.965878767283e-17
b124_cax8rt_small_coupled	rz_displacement_zero_reference_count	5
b124_cax8rt_small_coupled	rz_displacement_maximum_zero_reference_absolute_difference	0.000000000000e+00
b124_cax8rt_small_coupled	rz_bottom_axial_reaction_relative_l2	1.891712976237e-11
b124_cax8rt_small_coupled	rz_bottom_axial_reaction_relative_absolute_peak	2.845959798480e-13
b124_cax8rt_small_coupled	rz_bottom_axial_reaction_maximum_pointwise_relative	5.614482244238e-11
b124_cax8rt_small_coupled	rz_bottom_axial_reaction_maximum_pointwise_relative_index	1
b124_cax8rt_small_coupled	rz_bottom_axial_reaction_maximum_pointwise_relative_actual	-2.308232807519e+02
b124_cax8rt_small_coupled	rz_bottom_axial_reaction_maximum_pointwise_relative_reference	-2.308232807648e+02
b124_cax8rt_small_coupled	rz_bottom_axial_reaction_maximum_absolute_difference_index	1
b124_cax8rt_small_coupled	rz_bottom_axial_reaction_maximum_absolute_difference_actual	-2.308232807519e+02
b124_cax8rt_small_coupled	rz_bottom_axial_reaction_maximum_absolute_difference_reference	-2.308232807648e+02
b124_cax8rt_small_coupled	rz_bottom_axial_reaction_zero_reference_count	0
b124_cax8rt_small_coupled	rz_bottom_axial_reaction_maximum_zero_reference_absolute_difference	0.000000000000e+00
b124_cax8rt_small_coupled	rz_stress_tensor_relative_l2	3.296380619758e-11
b124_cax8rt_small_coupled	rz_stress_tensor_relative_absolute_peak	4.096028077551e-11
b124_cax8rt_small_coupled	rz_stress_tensor_maximum_pointwise_relative	9.973758273685e-11
b124_cax8rt_small_coupled	rz_stress_tensor_maximum_pointwise_relative_index	4
b124_cax8rt_small_coupled	rz_stress_tensor_maximum_pointwise_actual_norm	7.347333222470e+07
b124_cax8rt_small_coupled	rz_stress_tensor_maximum_pointwise_reference_norm	7.347333222883e+07
b124_cax8rt_small_coupled	rz_stress_tensor_maximum_difference_index	4
b124_cax8rt_small_coupled	rz_stress_tensor_maximum_absolute_group_difference	7.328052552124e-03
