step,time,id,x,y,z,disp_x,disp_y,disp_z
1,1,28,0.6363961030678928,0.6363961030678927,0.25,0,0,9.69476252013399e-07
1,1,29,0.8314696123025452,0.5555702330196022,0.5,-8.102961231708782e-07,-5.405500846389427e-07,1.807513938278043e-06
1,1,30,0.6717514421272202,0.67175144212722,0.5,-3.585268272645729e-07,-3.585268262750205e-07,1.799600372943613e-06
1,1,31,0.7483226510722907,0.500013209717642,0.5,0,0,1.81065201055848e-06
1,1,32,0.3826834323650898,0.9238795325112867,0,-3.488927009818261e-07,-7.946521374017953e-07,0
1,1,33,0.3444150891285809,0.831491579260158,0,0,0,0
1,1,34,0.3826834323650898,0.9238795325112867,0.5,-4.023994951613825e-07,-9.099233059806048e-07,1.80190166704386e-06
1,1,35,0.3444150891285809,0.831491579260158,0.5,0,0,1.804920375777249e-06
1,1,36,0.5555702330196023,0.8314696123025452,0,-4.792565357851521e-07,-7.191057463364171e-07,0
1,1,37,0.3635492607468353,0.8776855558857224,0,-1.763926295905494e-07,-3.983645974725272e-07,0
1,1,38,0.5000132097176421,0.7483226510722907,0,0,0,0
1,1,39,0.3826834323650898,0.9238795325112867,0.25,-4.251857936073763e-07,-9.754318242510384e-07,1.056467061531039e-06
1,1,40,0.3444150891285809,0.831491579260158,0.25,0,0,9.700130499213413e-07
1,1,41,0.5555702330196023,0.8314696123025452,0.5,-5.405500926220065e-07,-8.102961342672438e-07,1.807513937333156e-06
1,1,42,0.3635492607468353,0.8776855558857224,0.5,-2.040169880663735e-07,-4.638338422482163e-07,1.790256782477404e-06
1,1,43,0.5000132097176421,0.7483226510722907,0.5,0,0,1.810652008738024e-06
1,1,44,6.123233995736766e-17,1,0,-4.249678970696399e-07,-9.659001643462536e-07,0
1,1,45,5.51091059616309e-17,0.9,0,0,0,0
1,1,46,6.123233995736766e-17,1,0.5,-5.89776983616054e-07,-1.118521800872093e-06,1.789093866186971e-06
1,1,47,5.51091059616309e-17,0.9,0.5,0,0,1.796374613073168e-06
1,1,48,0.1950903220161283,0.9807852804032304,0,-2.412789008729921e-07,-8.317472596013721e-07,0
1,1,49,5.817072295949927e-17,0.95,0,-2.525053372354329e-07,-4.86564178666017e-07,0
1,1,50,0.1755812898145155,0.8827067523629074,0,0,0,0
1,1,51,6.123233995736766e-17,1,0.25,-6.022957967953974e-07,-1.185401764931311e-06,1.052282168720928e-06
1,1,52,5.51091059616309e-17,0.9,0.25,0,0,9.631374184748519e-07
1,1,53,0.1950903220161283,0.9807852804032304,0.5,-2.795415465739134e-07,-9.363761531606034e-07,1.804109939130903e-06
1,1,54,5.817072295949927e-17,0.95,0.5,-3.540607366650176e-07,-5.68834271076122e-07,1.77891385247788e-06
1,1,55,0.1755812898145155,0.8827067523629074,0.5,0,0,1.806675482464533e-06
1,1,56,0.9,0,1,0,0,3.276344632744998e-06
1,1,57,1,0,1,-9.541767781256924e-07,-4.823301615704444e-07,3.142513725147402e-06
1,1,58,0.9238795325112867,0.3826834323650898,1,-7.729498085527814e-07,-3.506222454276002e-07,3.175196267201153e-06
1,1,59,0.831491579260158,0.3444150891285808,1,0,0,3.277568298472132e-06
1,1,60,0.9,0,0.75,0,0,2.503077659957973e-06
1,1,61,1,0,0.75,-1.173315844785943e-06,-6.359457308699148e-07,2.47134688183546e-06
1,1,62,0.9238795325112867,0.3826834323650898,0.75,-9.605440121228722e-07,-4.1590740723643e-07,2.477557604317621e-06
1,1,63,0.831491579260158,0.3444150891285808,0.75,0,0,2.513045789204522e-06
1,1,64,0.95,0,1,-4.834876250813291e-07,-2.882204795478588e-07,3.238823100444432e-06
1,1,65,0.9807852804032304,0.1950903220161282,1,-8.017200289349904e-07,-2.446434712489437e-07,3.120608819955203e-06
