step,side,local_node,node_label,copen_m,cpress_pa,cnormf_x_n,cnormf_y_n,cnormf_z_n
BASE,primary,22,52,,117.0560332338913,-6.523097695906892,3.508092189261498e-16,-1.065213082538175e-15
BASE,primary,23,54,,4319.506212774037,-26.13144676701301,1.773940299564665e-15,-5.068400891469685e-15
SHIFT,secondary,1,57,-0.0001000000000000416,10000.00000000281,-999.9999999999751,-2.479234370795783e-14,-1.48079043931072e-13
SHIFT,secondary,2,60,-0.0001000000000000032,10000.00000000113,-1000.000000000032,3.233515093718174e-14,-5.248843063668553e-14
SHIFT,secondary,3,64,-0.0001000000000000115,9999.9999999999,-1000.000000000072,7.182047643919465e-14,-2.539921055036616e-14
SHIFT,secondary,4,61,-0.0001000000000000636,10000.00000000295,-999.999999999977,-2.294665537556521e-14,1.112320100536022e-14
SHIFT,secondary,5,68,-0.0001000000000000408,10000.00000000197,4000.000000000542,-5.411093118947148e-13,1.74500541452477e-13
SHIFT,secondary,6,72,-0.0001000000000000002,10000.00000000051,4000.000000000228,-2.288881982761094e-13,3.518644398973808e-13
SHIFT,secondary,7,76,-9.999999999999424e-05,10000.00000000143,4000.000000000114,-1.141891453871324e-13,5.291839338879518e-13
SHIFT,secondary,8,69,-9.999999999998087e-05,10000.00000000288,4000.000000000174,-1.742054656947886e-13,2.245453672274361e-13
SHIFT,primary,1,2,,4148.630299469749,147.209554424702,-1.11528535021831e-14,1.939618770996117e-16
SHIFT,primary,2,3,,10000.00000000636,398.3021575379581,5.502399654592155e-14,7.286825275898286e-14
SHIFT,primary,3,7,,10000.00000000636,398.3021575379551,5.834477596011625e-14,-5.903092351025585e-14
SHIFT,primary,4,6,,4148.630299469643,147.2095544247049,-1.397497884338623e-14,1.067187607653897e-14
SHIFT,primary,5,10,,7492.270128345425,-367.169598028468,4.014796094486152e-14,1.044109685019283e-14
SHIFT,primary,6,15,,10000.00000000636,-2518.612670117048,7.514378009398548e-14,-1.033804641778285e-13
SHIFT,primary,7,18,,7492.270128346348,-367.1695980284838,5.600645977192507e-14,-4.694006660644084e-14
SHIFT,primary,8,14,,4148.630299469696,-154.2673562006046,8.258746070483077e-15,-4.274250794750693e-15
SHIFT,primary,9,21,,4234.949352720208,841.6513085669983,4.26054881137756e-14,8.986207035430786e-14
SHIFT,primary,10,23,,4234.949352719568,841.6513085671359,-9.480810927762235e-14,2.031521584574098e-14
SHIFT,primary,11,25,,7529.264008309918,-1691.593977306892,2.181395246695844e-13,-3.612798042632154e-14
SHIFT,primary,12,28,,4234.949352719888,-3306.495688860376,2.030707620899081e-13,-2.627494329759941e-13
SHIFT,primary,13,30,,7529.264008310253,-1691.593977306697,2.398931467085099e-14,-2.067246127148147e-13
SHIFT,primary,14,33,,9953.186097490132,344.1246384763695,-2.970836764876843e-14,2.189149956131414e-14
SHIFT,primary,15,35,,9953.186097490678,344.1246384763657,-2.518915790096701e-14,5.751212302404625e-15
SHIFT,primary,16,37,,7529.26400830905,-1656.018457449244,2.177130434901075e-13,-1.304706629956853e-13
SHIFT,primary,17,40,,9953.186097490405,-2014.101187126466,1.162695664975949e-13,-2.049404460937057e-13
SHIFT,primary,18,42,,7529.264008308992,-1656.018457449086,5.978055811855167e-14,-2.356492982673448e-13
SHIFT,primary,19,45,,117.0560332338933,9.62582054505495,-4.8874584329938e-16,1.538383087923484e-15
SHIFT,primary,20,47,,117.0560332338933,9.625820545055221,-6.074784755306568e-16,1.767073422696248e-15
SHIFT,primary,21,49,,4319.506212774172,-26.13144676701364,1.286457895491312e-15,-4.129687952533154e-15
SHIFT,primary,22,52,,117.0560332338933,-6.523097695907243,3.508092189262109e-16,-1.065213082538243e-15
SHIFT,primary,23,54,,4319.506212774463,-26.13144676701478,1.773940299564904e-15,-5.068400891470124e-15
OPEN,secondary,1,57,9.999999999995836e-05,0,0,0,0
OPEN,secondary,2,60,9.999999999999674e-05,0,0,0,0
OPEN,secondary,3,64,9.999999999998842e-05,0,0,0,0
