time,field,node,component,value
0.20000000298023224,CSHEAR1  SECONDARY_TWO/PRIMARY_TWO,11,0,0.0
0.20000000298023224,CSHEAR1  SECONDARY_TWO/PRIMARY_TWO,13,0,0.0
0.20000000298023224,CSHEAR1  SECONDARY_TWO/PRIMARY_TWO,16,0,0.0
0.20000000298023224,CSHEARF  SECONDARY_ONE/PRIMARY_ONE,2,0,0.0
0.20000000298023224,CSHEARF  SECONDARY_ONE/PRIMARY_ONE,2,1,0.0
0.20000000298023224,CSHEARF  SECONDARY_ONE/PRIMARY_ONE,3,0,0.0
0.20000000298023224,CSHEARF  SECONDARY_ONE/PRIMARY_ONE,3,1,0.0
0.20000000298023224,CSHEARF  SECONDARY_ONE/PRIMARY_ONE,5,0,0.0
0.20000000298023224,CSHEARF  SECONDARY_ONE/PRIMARY_ONE,5,1,0.0
0.20000000298023224,CSHEARF  SECONDARY_ONE/PRIMARY_ONE,8,0,0.0
0.20000000298023224,CSHEARF  SECONDARY_ONE/PRIMARY_ONE,8,1,0.0
0.20000000298023224,CSHEARF  SECONDARY_TWO/PRIMARY_TWO,10,0,0.0
0.20000000298023224,CSHEARF  SECONDARY_TWO/PRIMARY_TWO,10,1,0.0
0.20000000298023224,CSHEARF  SECONDARY_TWO/PRIMARY_TWO,11,0,0.0
0.20000000298023224,CSHEARF  SECONDARY_TWO/PRIMARY_TWO,11,1,0.0
0.20000000298023224,CSHEARF  SECONDARY_TWO/PRIMARY_TWO,13,0,0.0
0.20000000298023224,CSHEARF  SECONDARY_TWO/PRIMARY_TWO,13,1,0.0
0.20000000298023224,CSHEARF  SECONDARY_TWO/PRIMARY_TWO,16,0,0.0
0.20000000298023224,CSHEARF  SECONDARY_TWO/PRIMARY_TWO,16,1,0.0
0.20000000298023224,CSLIP1   SECONDARY_ONE/PRIMARY_ONE,2,0,0.0
0.20000000298023224,CSLIP1   SECONDARY_ONE/PRIMARY_ONE,3,0,0.0
0.20000000298023224,CSLIP1   SECONDARY_TWO/PRIMARY_TWO,10,0,0.0
0.20000000298023224,CSLIP1   SECONDARY_TWO/PRIMARY_TWO,11,0,0.0
0.20000000298023224,HFL      SECONDARY_ONE/PRIMARY_ONE,2,0,0.0
0.20000000298023224,HFL      SECONDARY_ONE/PRIMARY_ONE,3,0,0.0
0.20000000298023224,HFL      SECONDARY_TWO/PRIMARY_TWO,10,0,0.0
0.20000000298023224,HFL      SECONDARY_TWO/PRIMARY_TWO,11,0,0.0
0.30000001192092896,CNORMF   SECONDARY_ONE/PRIMARY_ONE,2,0,0.0
0.30000001192092896,CNORMF   SECONDARY_ONE/PRIMARY_ONE,2,1,0.0
0.30000001192092896,CNORMF   SECONDARY_ONE/PRIMARY_ONE,3,0,0.0
0.30000001192092896,CNORMF   SECONDARY_ONE/PRIMARY_ONE,3,1,0.0
